#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS:  80 112
# Band-Index    1
   0.00000    -33.330163    -33.330165
   0.05871    -33.330082    -33.330084
   0.11742    -33.329848    -33.329850
   0.17613    -33.329471    -33.329473
   0.23484    -33.328970    -33.328972
   0.29355    -33.328368    -33.328370
   0.35226    -33.327699    -33.327701
   0.41097    -33.327000    -33.327002
   0.46968    -33.326316    -33.326318
   0.52839    -33.325708    -33.325710
   0.58710    -33.325262    -33.325264
   0.64581    -33.325094    -33.325096
   0.64581    -33.330161    -33.330163
   0.67598    -33.330161    -33.330163
   0.70615    -33.330161    -33.330163
   0.73632    -33.330162    -33.330164
   0.76649    -33.330163    -33.330165
   0.76649    -33.330163    -33.330165
   0.82518    -33.330083    -33.330085
   0.88387    -33.329852    -33.329854
   0.94255    -33.329481    -33.329483
   1.00124    -33.328986    -33.328988
   1.05993    -33.328394    -33.328396
   1.11861    -33.327738    -33.327740
   1.17730    -33.327056    -33.327058
   1.23599    -33.326393    -33.326395
   1.29467    -33.325811    -33.325813
   1.35336    -33.325392    -33.325394
   1.41204    -33.325236    -33.325238
   1.41204    -33.325092    -33.325094
   1.46679    -33.325235    -33.325237
   1.52154    -33.325618    -33.325620
   1.57629    -33.326154    -33.326156
   1.63103    -33.326767    -33.326769
   1.68578    -33.327408    -33.327410
   1.74053    -33.328040    -33.328042
   1.79528    -33.328629    -33.328631
   1.85002    -33.329148    -33.329150
   1.90477    -33.329578    -33.329580
   1.95952    -33.329897    -33.329899
   2.01427    -33.330095    -33.330097
   2.06901    -33.330163    -33.330165
   2.06901    -33.330163    -33.330165
   2.12373    -33.330096    -33.330098
   2.17845    -33.329901    -33.329903
   2.23316    -33.329586    -33.329588
   2.28788    -33.329163    -33.329165
   2.34260    -33.328651    -33.328653
   2.39731    -33.328073    -33.328075
   2.45203    -33.327455    -33.327457
   2.50675    -33.326830    -33.326832
   2.56146    -33.326237    -33.326239
   2.61618    -33.325727    -33.325729
   2.67090    -33.325367    -33.325369
   2.72561    -33.325234    -33.325236
   2.72561    -33.325093    -33.325095
   2.78433    -33.325262    -33.325264
   2.84304    -33.325707    -33.325709
   2.90176    -33.326315    -33.326317
   2.96047    -33.327000    -33.327002
   3.01918    -33.327698    -33.327700
   3.07790    -33.328367    -33.328369
   3.13661    -33.328969    -33.328971
   3.19533    -33.329471    -33.329473
   3.25404    -33.329848    -33.329850
   3.31275    -33.330082    -33.330084
   3.37147    -33.330163    -33.330165
   3.37147    -33.330163    -33.330165
   3.42621    -33.330095    -33.330097
   3.48095    -33.329897    -33.329899
   3.53570    -33.329578    -33.329580
   3.59044    -33.329149    -33.329151
   3.64518    -33.328629    -33.328631
   3.69993    -33.328040    -33.328042
   3.75467    -33.327409    -33.327411
   3.80941    -33.326767    -33.326769
   3.86416    -33.326154    -33.326156
   3.91890    -33.325619    -33.325621
   3.97364    -33.325235    -33.325237
   4.02838    -33.325092    -33.325094
 
# Band-Index    2
   4.02838    -33.321876    -33.321878
   3.97364    -33.321792    -33.321794
   3.91890    -33.321581    -33.321584
   3.86416    -33.321321    -33.321323
   3.80941    -33.321065    -33.321067
   3.75467    -33.320840    -33.320842
   3.69993    -33.320655    -33.320657
   3.64518    -33.320513    -33.320515
   3.59044    -33.320408    -33.320410
   3.53570    -33.320336    -33.320338
   3.48095    -33.320290    -33.320292
   3.42621    -33.320265    -33.320267
   3.37147    -33.320257    -33.320259
   3.37147    -33.320257    -33.320259
   3.31275    -33.320266    -33.320268
   3.25404    -33.320296    -33.320298
   3.19533    -33.320353    -33.320355
   3.13661    -33.320442    -33.320444
   3.07790    -33.320571    -33.320573
   3.01918    -33.320749    -33.320751
   2.96047    -33.320977    -33.320979
   2.90176    -33.321248    -33.321250
   2.84304    -33.321534    -33.321536
   2.78433    -33.321775    -33.321777
   2.72561    -33.321876    -33.321878
   2.72561    -33.321740    -33.321742
   2.67090    -33.321667    -33.321669
   2.61618    -33.321480    -33.321482
   2.56146    -33.321244    -33.321246
   2.50675    -33.321007    -33.321009
   2.45203    -33.320797    -33.320799
   2.39731    -33.320625    -33.320627
   2.34260    -33.320493    -33.320495
   2.28788    -33.320396    -33.320398
   2.23316    -33.320329    -33.320331
   2.17845    -33.320287    -33.320289
   2.12373    -33.320264    -33.320266
   2.06901    -33.320257    -33.320259
   2.06901    -33.320257    -33.320259
   2.01427    -33.320265    -33.320267
   1.95952    -33.320289    -33.320292
   1.90477    -33.320336    -33.320338
   1.85002    -33.320407    -33.320410
   1.79528    -33.320512    -33.320514
   1.74053    -33.320654    -33.320656
   1.68578    -33.320838    -33.320841
   1.63103    -33.321064    -33.321066
   1.57629    -33.321320    -33.321322
   1.52154    -33.321580    -33.321582
   1.46679    -33.321790    -33.321792
   1.41204    -33.321874    -33.321876
   1.41204    -33.321742    -33.321744
   1.35336    -33.321654    -33.321656
   1.29467    -33.321438    -33.321440
   1.23599    -33.321177    -33.321179
   1.17730    -33.320927    -33.320929
   1.11861    -33.320714    -33.320716
   1.05993    -33.320548    -33.320550
   1.00124    -33.320427    -33.320430
   0.94255    -33.320345    -33.320347
   0.88387    -33.320293    -33.320295
   0.82518    -33.320266    -33.320268
   0.76649    -33.320257    -33.320259
   0.76649    -33.320257    -33.320259
   0.73632    -33.320257    -33.320259
   0.70615    -33.320257    -33.320259
   0.67598    -33.320257    -33.320259
   0.64581    -33.320257    -33.320259
   0.64581    -33.321878    -33.321880
   0.58710    -33.321777    -33.321779
   0.52839    -33.321536    -33.321538
   0.46968    -33.321249    -33.321251
   0.41097    -33.320978    -33.320980
   0.35226    -33.320750    -33.320752
   0.29355    -33.320572    -33.320574
   0.23484    -33.320442    -33.320444
   0.17613    -33.320353    -33.320355
   0.11742    -33.320297    -33.320299
   0.05871    -33.320267    -33.320269
   0.00000    -33.320257    -33.320259
 
# Band-Index    3
   0.00000    -33.309290    -33.309289
   0.05871    -33.309216    -33.309214
   0.11742    -33.309001    -33.309000
   0.17613    -33.308660    -33.308659
   0.23484    -33.308212    -33.308211
   0.29355    -33.307685    -33.307684
   0.35226    -33.307117    -33.307115
   0.41097    -33.306548    -33.306547
   0.46968    -33.306025    -33.306024
   0.52839    -33.305599    -33.305598
   0.58710    -33.305318    -33.305316
   0.64581    -33.305220    -33.305219
   0.64581    -33.309287    -33.309286
   0.67598    -33.309288    -33.309287
   0.70615    -33.309288    -33.309287
   0.73632    -33.309289    -33.309288
   0.76649    -33.309290    -33.309289
   0.76649    -33.309290    -33.309289
   0.82518    -33.309216    -33.309215
   0.88387    -33.309004    -33.309002
   0.94255    -33.308665    -33.308664
   1.00124    -33.308220    -33.308219
   1.05993    -33.307698    -33.307697
   1.11861    -33.307135    -33.307133
   1.17730    -33.306572    -33.306570
   1.23599    -33.306055    -33.306053
   1.29467    -33.305634    -33.305632
   1.35336    -33.305357    -33.305355
   1.41204    -33.305260    -33.305259
   1.41204    -33.305215    -33.305214
   1.46679    -33.305298    -33.305296
   1.52154    -33.305537    -33.305536
   1.57629    -33.305905    -33.305903
