#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 115  32
# Band-Index    1
   0.00000    -36.152896    -36.152895
   0.05567    -36.152604    -36.152602
   0.11134    -36.151744    -36.151742
   0.16701    -36.150352    -36.150350
   0.22268    -36.148487    -36.148485
   0.27835    -36.146231    -36.146229
   0.33402    -36.143684    -36.143682
   0.38969    -36.140953    -36.140951
   0.44536    -36.138159    -36.138157
   0.50103    -36.135422    -36.135420
   0.55670    -36.132865    -36.132863
   0.61237    -36.130599    -36.130597
   0.66804    -36.128723    -36.128721
   0.72371    -36.127320    -36.127318
   0.77938    -36.126453    -36.126451
   0.83505    -36.126161    -36.126159
   0.83505    -36.126160    -36.126158
   0.89072    -36.126452    -36.126451
   0.94639    -36.127319    -36.127317
   1.00206    -36.128722    -36.128720
   1.05773    -36.130598    -36.130596
   1.11340    -36.132864    -36.132863
   1.16907    -36.135422    -36.135420
   1.22474    -36.138158    -36.138157
   1.28041    -36.140953    -36.140951
   1.33608    -36.143684    -36.143682
   1.39175    -36.146231    -36.146229
   1.44741    -36.148487    -36.148485
   1.50308    -36.150352    -36.150350
   1.55875    -36.151744    -36.151742
   1.61442    -36.152604    -36.152602
   1.67009    -36.152896    -36.152895
   1.67009    -36.152896    -36.152895
   1.72864    -36.152893    -36.152891
   1.78719    -36.152894    -36.152892
   1.84574    -36.152893    -36.152891
   1.90428    -36.152890    -36.152888
   1.90428    -36.100167    -36.100165
   1.95744    -36.100433    -36.100431
   2.01060    -36.101224    -36.101222
   2.06375    -36.102524    -36.102522
   2.11691    -36.104313    -36.104311
   2.17007    -36.106548    -36.106546
   2.22323    -36.109187    -36.109185
   2.27638    -36.112181    -36.112179
   2.32954    -36.115466    -36.115464
   2.38270    -36.118975    -36.118973
   2.43586    -36.122644    -36.122642
   2.48901    -36.126395    -36.126393
   2.54217    -36.130150    -36.130148
   2.59533    -36.133833    -36.133831
   2.64849    -36.137369    -36.137368
   2.70164    -36.140688    -36.140686
   2.75480    -36.143716    -36.143714
   2.80796    -36.146394    -36.146392
   2.86112    -36.148666    -36.148664
   2.91427    -36.150486    -36.150484
   2.96743    -36.151814    -36.151813
   3.02059    -36.152623    -36.152621
   3.07375    -36.152896    -36.152895
   3.07375    -36.152896    -36.152895
   3.12942    -36.152603    -36.152601
   3.18510    -36.151742    -36.151740
   3.24077    -36.150350    -36.150348
   3.29645    -36.148485    -36.148483
   3.35212    -36.146228    -36.146227
   3.40780    -36.143681    -36.143679
   3.46347    -36.140949    -36.140947
   3.51914    -36.138155    -36.138153
   3.57482    -36.135418    -36.135416
   3.63049    -36.132860    -36.132858
   3.68617    -36.130593    -36.130592
   3.74184    -36.128717    -36.128715
