#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 104  48
# Band-Index    1
   0.00000    -37.592292    -37.592295
   0.05652    -37.592171    -37.592174
   0.11305    -37.591812    -37.591815
   0.16957    -37.591231    -37.591234
   0.22609    -37.590452    -37.590454
   0.28261    -37.589511    -37.589514
   0.33914    -37.588448    -37.588450
   0.39566    -37.587308    -37.587311
   0.45218    -37.586143    -37.586146
   0.50871    -37.585003    -37.585006
   0.56523    -37.583939    -37.583941
   0.62175    -37.582995    -37.582998
   0.67828    -37.582214    -37.582216
   0.73480    -37.581632    -37.581634
   0.79132    -37.581272    -37.581274
   0.84784    -37.581151    -37.581153
   0.84784    -37.592293    -37.592296
   0.88127    -37.592293    -37.592295
   0.91469    -37.592293    -37.592295
   0.94812    -37.592292    -37.592294
   0.98155    -37.592292    -37.592295
   0.98155    -37.592292    -37.592295
   1.03806    -37.592171    -37.592174
   1.09458    -37.591813    -37.591815
   1.15110    -37.591232    -37.591235
   1.20762    -37.590453    -37.590455
   1.26414    -37.589513    -37.589516
   1.32066    -37.588451    -37.588453
   1.37717    -37.587312    -37.587315
   1.43369    -37.586148    -37.586150
   1.49021    -37.585009    -37.585011
   1.54673    -37.583945    -37.583948
   1.60325    -37.583002    -37.583005
   1.65977    -37.582221    -37.582224
   1.71628    -37.581640    -37.581642
   1.77280    -37.581280    -37.581282
   1.82932    -37.581159    -37.581161
   1.82932    -37.581147    -37.581150
   1.88297    -37.581253    -37.581256
   1.93663    -37.581570    -37.581573
   1.99028    -37.582085    -37.582088
   2.04394    -37.582779    -37.582781
   2.09759    -37.583624    -37.583627
   2.15124    -37.584589    -37.584592
   2.20490    -37.585636    -37.585639
   2.25855    -37.586724    -37.586726
   2.31220    -37.587811    -37.587814
   2.36586    -37.588857    -37.588860
   2.41951    -37.589819    -37.589822
   2.47317    -37.590663    -37.590666
   2.52682    -37.591356    -37.591359
   2.58047    -37.591870    -37.591873
   2.63413    -37.592186    -37.592188
   2.68778    -37.592292    -37.592295
   2.68778    -37.592292    -37.592295
   2.74142    -37.592186    -37.592188
   2.79506    -37.591870    -37.591873
   2.84870    -37.591357    -37.591359
   2.90234    -37.590665    -37.590667
   2.95598    -37.589822    -37.589824
   3.00962    -37.588861    -37.588863
   3.06326    -37.587816    -37.587819
   3.11690    -37.586730    -37.586733
   3.17054    -37.585644    -37.585646
   3.22418    -37.584598    -37.584601
   3.27782    -37.583634    -37.583637
   3.33146    -37.582790    -37.582792
   3.38510    -37.582097    -37.582100
   3.43874    -37.581582    -37.581585
   3.49237    -37.581265    -37.581268
