#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 153  64
# Band-Index    1
   0.00000    -14.893401    -14.893382
   0.05284    -14.891763    -14.891744
   0.10568    -14.886796    -14.886777
   0.15852    -14.878653    -14.878633
   0.21137    -14.867436    -14.867417
   0.26421    -14.853415    -14.853396
   0.31705    -14.836906    -14.836887
   0.36989    -14.818249    -14.818230
   0.42273    -14.797771    -14.797751
   0.47557    -14.775922    -14.775902
   0.52841    -14.753173    -14.753153
   0.58126    -14.729979    -14.729959
   0.63410    -14.706782    -14.706762
   0.68694    -14.684082    -14.684062
   0.73978    -14.662261    -14.662242
   0.79262    -14.641729    -14.641710
   0.84546    -14.622858    -14.622839
   0.89830    -14.605909    -14.605890
   0.95115    -14.591129    -14.591111
   1.00399    -14.578598    -14.578581
   1.05683    -14.568452    -14.568437
   1.10967    -14.560820    -14.560810
   1.16251    -14.556310    -14.556306
   1.16251    -14.556310    -14.556305
   1.22065    -14.559854    -14.559849
   1.27878    -14.564831    -14.564826
   1.33691    -14.570669    -14.570664
   1.39505    -14.576920    -14.576915
   1.45318    -14.583106    -14.583101
   1.51131    -14.588817    -14.588812
   1.56945    -14.593690    -14.593684
   1.62758    -14.597401    -14.597396
   1.68572    -14.599716    -14.599710
   1.74385    -14.600501    -14.600495
   1.74385    -14.600501    -14.600495
   1.79683    -14.606112    -14.606097
   1.84982    -14.616726    -14.616708
   1.90280    -14.630484    -14.630465
   1.95579    -14.646896    -14.646877
   2.00877    -14.665576    -14.665556
   2.06176    -14.686078    -14.686059
   2.11475    -14.707895    -14.707875
   2.16773    -14.730489    -14.730469
   2.22072    -14.753313    -14.753293
   2.27370    -14.775863    -14.775843
   2.32669    -14.797612    -14.797592
   2.37967    -14.818061    -14.818041
   2.43266    -14.836768    -14.836748
   2.48564    -14.853290    -14.853270
   2.53863    -14.867336    -14.867317
   2.59161    -14.878570    -14.878551
   2.64460    -14.886770    -14.886751
   2.69758    -14.891756    -14.891737
   2.75057    -14.893401    -14.893382
   2.75057    -14.893401    -14.893382
   2.80426    -14.891652    -14.891633
   2.85795    -14.886359    -14.886340
   2.91165    -14.877669    -14.877650
   2.96534    -14.865756    -14.865737
   3.01903    -14.850893    -14.850873
   3.07272    -14.833462    -14.833443
   3.12642    -14.813775    -14.813756
   3.18011    -14.792368    -14.792349
   3.23380    -14.769742    -14.769722
   3.28749    -14.746506    -14.746487
