#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 125  56
# Band-Index    1
   0.00000    -11.588714    -11.588720
   0.05346    -11.585939    -11.585945
   0.10692    -11.577686    -11.577691
   0.16039    -11.564203    -11.564209
   0.21385    -11.545921    -11.545926
   0.26731    -11.523410    -11.523416
   0.32077    -11.497369    -11.497375
   0.37424    -11.468638    -11.468644
   0.42770    -11.438142    -11.438147
   0.48116    -11.406843    -11.406849
   0.53462    -11.375735    -11.375742
   0.58809    -11.345767    -11.345773
   0.64155    -11.317834    -11.317841
   0.69501    -11.292699    -11.292706
   0.74847    -11.270987    -11.270993
   0.80194    -11.253209    -11.253216
   0.85540    -11.239876    -11.239883
   0.90886    -11.231662    -11.231670
   0.96232    -11.229084    -11.229092
   0.96232    -11.229084    -11.229092
   1.02246    -11.231627    -11.231634
   1.08260    -11.237571    -11.237578
   1.14274    -11.245160    -11.245167
   1.20287    -11.253134    -11.253141
   1.26301    -11.260464    -11.260471
   1.32315    -11.266322    -11.266329
   1.38329    -11.270091    -11.270098
   1.44342    -11.271390    -11.271397
   1.44342    -11.271390    -11.271397
   1.49899    -11.277371    -11.277378
   1.55455    -11.292048    -11.292055
   1.61011    -11.312630    -11.312636
   1.66567    -11.337794    -11.337800
   1.72123    -11.366412    -11.366418
   1.77680    -11.397287    -11.397293
   1.83236    -11.429183    -11.429189
   1.88792    -11.460833    -11.460839
   1.94348    -11.491038    -11.491044
   1.99904    -11.518666    -11.518671
   2.05461    -11.542705    -11.542711
   2.11017    -11.562316    -11.562321
   2.16573    -11.576823    -11.576829
   2.22129    -11.585721    -11.585727
   2.27685    -11.588714    -11.588720
   2.27685    -11.588714    -11.588720
   2.33316    -11.585556    -11.585562
   2.38946    -11.576166    -11.576172
   2.44576    -11.560852    -11.560857
   2.50206    -11.540142    -11.540148
   2.55836    -11.514736    -11.514742
   2.61466    -11.485517    -11.485523
   2.67096    -11.453547    -11.453553
   2.72727    -11.420035    -11.420041
   2.78357    -11.386320    -11.386326
   2.83987    -11.353972    -11.353979
   2.89617    -11.325199    -11.325206
   2.95247    -11.303283    -11.303290
   3.00877    -11.289009    -11.289016
   3.06508    -11.280774    -11.280781
   3.12138    -11.278047    -11.278054
   3.12138    -11.278047    -11.278054
   3.18152    -11.276589    -11.276596
   3.24165    -11.272346    -11.272352
   3.30179    -11.265708    -11.265714
   3.36193    -11.257300    -11.257307
   3.42207    -11.247998    -11.248005
   3.48221    -11.238986    -11.238993
   3.54234    -11.231923    -11.231930
   3.60248    -11.229082    -11.229089
   3.60248    -11.229082    -11.229090
   3.65594    -11.231383    -11.231390
   3.70941    -11.238186    -11.238193
   3.76287    -11.249232    -11.249239
   3.81633    -11.264353    -11.264360
   3.86979    -11.283309    -11.283316
   3.92325    -11.305720    -11.305727
   3.97672    -11.331035    -11.331042
   4.03018    -11.358551    -11.358557
   4.08364    -11.387417    -11.387423
   4.13710    -11.416700    -11.416706
   4.19057    -11.445425    -11.445431
   4.24403    -11.472633    -11.472639
   4.29749    -11.497400    -11.497406
   4.35095    -11.518886    -11.518892
   4.40442    -11.536370    -11.536376
   4.45788    -11.549289    -11.549295
   4.51134    -11.557216    -11.557222
   4.56480    -11.559885    -11.559891
   4.56480    -11.559885    -11.559891
   4.59892    -11.568894    -11.568900
   4.63303    -11.579571    -11.579577
   4.66714    -11.586397    -11.586402
   4.70125    -11.588714    -11.588720
   4.70125    -11.273870    -11.273876
   4.75755    -11.277592    -11.277598
   4.81385    -11.288538    -11.288545
   4.87015    -11.306081    -11.306087
   4.92645    -11.329283    -11.329289
   4.98275    -11.356984    -11.356991
   5.03904    -11.387852    -11.387858
   5.09534    -11.420447    -11.420453
   5.15164    -11.453288    -11.453294
   5.20794    -11.484960    -11.484966
   5.26424    -11.514137    -11.514142
   5.32054    -11.539651    -11.539657
   5.37683    -11.560531    -11.560536
   5.43313    -11.576009    -11.576015
   5.48943    -11.585514    -11.585520
   5.54573    -11.588714    -11.588720
   5.54573    -11.588714    -11.588720
   5.60129    -11.585680    -11.585685
   5.65685    -11.576658    -11.576663
   5.71240    -11.561947    -11.561953
   5.76796    -11.542062    -11.542067
   5.82352    -11.517684    -11.517690
   5.87908    -11.489668    -11.489674
   5.93464    -11.459039    -11.459044
   5.99020    -11.426946    -11.426952
   6.04576    -11.394612    -11.394618
   6.10131    -11.363323    -11.363329
   6.15687    -11.334339    -11.334345
   6.21243    -11.308874    -11.308880
   6.26799    -11.288079    -11.288085
   6.32355    -11.273284    -11.273291
   6.37911    -11.267275    -11.267282
 
# Band-Index    2
   6.37911    -11.252118    -11.252124
   6.32355    -11.252130    -11.252137
   6.26799    -11.255113    -11.255120
   6.21243    -11.262981    -11.262987
   6.15687    -11.275681    -11.275687
   6.10131    -11.292541    -11.292548
   6.04576    -11.312631    -11.312637
   5.99020    -11.334857    -11.334864
   5.93464    -11.358046    -11.358053
   5.87908    -11.381011    -11.381018
   5.82352    -11.402624    -11.402631
   5.76796    -11.421848    -11.421856
   5.71240    -11.437774    -11.437781
   5.65685    -11.449668    -11.449675
   5.60129    -11.457013    -11.457021
   5.54573    -11.459497    -11.459505
   5.54573    -11.459497    -11.459505
   5.48943    -11.462682    -11.462688
   5.43313    -11.461579    -11.461585
   5.37683    -11.455443    -11.455449
   5.32054    -11.444508    -11.444514
   5.26424    -11.429219    -11.429225
   5.20794    -11.410223    -11.410229
   5.15164    -11.388332    -11.388338
   5.09534    -11.364480    -11.364486
   5.03904    -11.339724    -11.339730
   4.98275    -11.315169    -11.315175
   4.92645    -11.291960    -11.291966
   4.87015    -11.271199    -11.271205
   4.81385    -11.253894    -11.253900
   4.75755    -11.241027    -11.241034
   4.70125    -11.235037    -11.235044
   4.70125    -11.459497    -11.459505
   4.66714    -11.483383    -11.483389
   4.63303    -11.507482    -11.507488
   4.59892    -11.529009    -11.529014
   4.56480    -11.541710    -11.541716
   4.56480    -11.541710    -11.541716
   4.51134    -11.539060    -11.539066
   4.45788    -11.531188    -11.531193
   4.40442    -11.518361    -11.518366
   4.35095    -11.501006    -11.501012
   4.29749    -11.479689    -11.479694
   4.24403    -11.455128    -11.455134
   4.19057    -11.428163    -11.428169
   4.13710    -11.399717    -11.399722
   4.08364    -11.370743    -11.370748
   4.03018    -11.342207    -11.342213
   3.97672    -11.315034    -11.315039
   3.92325    -11.290054    -11.290060
   3.86979    -11.267946    -11.267952
   3.81633    -11.249220    -11.249225
   3.76287    -11.234182    -11.234188
   3.70941    -11.222939    -11.222945
   3.65594    -11.215372    -11.215377
   3.60248    -11.211277    -11.211285
   3.60248    -11.211277    -11.211285
   3.54234    -11.214346    -11.214352
   3.48221    -11.217876    -11.217882
   3.42207    -11.222165    -11.222172
   3.36193    -11.226963    -11.226970
   3.30179    -11.231643    -11.231650
   3.24165    -11.235544    -11.235551
   3.18152    -11.238118    -11.238125
   3.12138    -11.239016    -11.239023
   3.12138    -11.239016    -11.239023
   3.06508    -11.248356    -11.248363
   3.00877    -11.265549    -11.265555
   2.95247    -11.286577    -11.286582
   2.89617    -11.308174    -11.308179
   2.83987    -11.329205    -11.329211
   2.78357    -11.350757    -11.350763
   2.72727    -11.372667    -11.372672
   2.67096    -11.394098    -11.394104
   2.61466    -11.414055    -11.414061
   2.55836    -11.431584    -11.431590
   2.50206    -11.445827    -11.445833
   2.44576    -11.456076    -11.456082
   2.38946    -11.461810    -11.461816
   2.33316    -11.462724    -11.462730
   2.27685    -11.459497    -11.459505
   2.27685    -11.459497    -11.459505
   2.22129    -11.457049    -11.457056
   2.16573    -11.449812    -11.449819
   2.11017    -11.438095    -11.438103
   2.05461    -11.422415    -11.422422
   1.99904    -11.403495    -11.403502
   1.94348    -11.382238    -11.382245
   1.88792    -11.359667    -11.359674
   1.83236    -11.336898    -11.336904
   1.77680    -11.315098    -11.315105
   1.72123    -11.295425    -11.295431
   1.66567    -11.278950    -11.278957
   1.61011    -11.266585    -11.266591
   1.55455    -11.258983    -11.258990
   1.49899    -11.256183    -11.256189
   1.44342    -11.256245    -11.256250
   1.44342    -11.256245    -11.256250
   1.38329    -11.254955    -11.254961
   1.32315    -11.251213    -11.251218
   1.26301    -11.245390    -11.245395
   1.20287    -11.238079    -11.238084
   1.14274    -11.230061    -11.230066
   1.08260    -11.222255    -11.222261
   1.02246    -11.215640    -11.215646
   0.96232    -11.211279    -11.211288
   0.96232    -11.211279    -11.211288
   0.90886    -11.214135    -11.214140
   0.85540    -11.217869    -11.217875
   0.80194    -11.223518    -11.223524
   0.74847    -11.232034    -11.232041
   0.69501    -11.243784    -11.243791
   0.64155    -11.258735    -11.258742
   0.58809    -11.276584    -11.276591
   0.53462    -11.296826    -11.296833
   0.48116    -11.318781    -11.318788
   0.42770    -11.341652    -11.341660
   0.37424    -11.364571    -11.364578
   0.32077    -11.386654    -11.386661
   0.26731    -11.407034    -11.407042
   0.21385    -11.424918    -11.424925
   0.16039    -11.439601    -11.439608
   0.10692    -11.450510    -11.450517
   0.05346    -11.457229    -11.457236
   0.00000    -11.459497    -11.459505
 
# Band-Index    3
   0.00000    -11.457695    -11.457700
   0.05346    -11.455381    -11.455386
   0.10692    -11.448526    -11.448531
   0.16039    -11.437393    -11.437398
   0.21385    -11.422402    -11.422407
   0.26731    -11.404131    -11.404136
   0.32077    -11.383294    -11.383299
   0.37424    -11.360696    -11.360701
   0.42770    -11.337217    -11.337222
   0.48116    -11.313757    -11.313762
   0.53462    -11.291209    -11.291214
   0.58809    -11.270393    -11.270399
   0.64155    -11.252024    -11.252030
   0.69501    -11.236653    -11.236659
   0.74847    -11.224663    -11.224668
   0.80194    -11.216237    -11.216243
   0.85540    -11.211354    -11.211359
   0.90886    -11.209797    -11.209802
   0.96232    -11.211100    -11.211103
   0.96232    -11.211100    -11.211103
   1.02246    -11.208941    -11.208946
   1.08260    -11.208601    -11.208607
   1.14274    -11.210056    -11.210062
   1.20287    -11.212674    -11.212680
   1.26301    -11.215702    -11.215708
   1.32315    -11.218434    -11.218440
   1.38329    -11.220310    -11.220316
   1.44342    -11.220977    -11.220984
   1.44342    -11.220977    -11.220984
   1.49899    -11.223652    -11.223658
   1.55455    -11.231558    -11.231564
   1.61011    -11.244322    -11.244328
   1.66567    -11.261327    -11.261333
   1.72123    -11.281780    -11.281786
   1.77680    -11.304734    -11.304740
   1.83236    -11.329143    -11.329149
   1.88792    -11.353900    -11.353906
   1.94348    -11.377916    -11.377921
   1.99904    -11.400168    -11.400173
   2.05461    -11.419739    -11.419744
   2.11017    -11.435834    -11.435839
   2.16573    -11.447812    -11.447817
   2.22129    -11.455198    -11.455202
   2.27685    -11.457695    -11.457700
   2.27685    -11.457695    -11.457700
   2.33316    -11.449617    -11.449623
   2.38946    -11.436202    -11.436208
   2.44576    -11.418760    -11.418766
   2.50206    -11.398013    -11.398019
   2.55836    -11.374838    -11.374844
   2.61466    -11.350233    -11.350240
   2.67096    -11.325278    -11.325284
   2.72727    -11.301097    -11.301104
   2.78357    -11.278806    -11.278812
   2.83987    -11.259470    -11.259476
   2.89617    -11.244040    -11.244047
   2.95247    -11.233323    -11.233330
   3.00877    -11.227945    -11.227951
   3.06508    -11.228160    -11.228166
   3.12138    -11.231690    -11.231695
   3.12138    -11.231690    -11.231695
   3.18152    -11.230784    -11.230790
   3.24165    -11.228195    -11.228200
   3.30179    -11.224293    -11.224299
   3.36193    -11.219682    -11.219688
   3.42207    -11.215140    -11.215145
   3.48221    -11.211574    -11.211579
   3.54234    -11.209942    -11.209947
   3.60248    -11.211097    -11.211100
   3.60248    -11.211097    -11.211100
   3.65594    -11.208834    -11.208839
   3.70941    -11.207959    -11.207965
   3.76287    -11.209501    -11.209507
   3.81633    -11.213981    -11.213987
   3.86979    -11.221596    -11.221602
   3.92325    -11.232296    -11.232302
   3.97672    -11.245812    -11.245818
   4.03018    -11.261696    -11.261703
   4.08364    -11.279349    -11.279356
   4.13710    -11.298065    -11.298072
   4.19057    -11.317082    -11.317088
   4.24403    -11.335590    -11.335596
   4.29749    -11.352808    -11.352814
   4.35095    -11.368002    -11.368008
   4.40442    -11.380533    -11.380540
   4.45788    -11.389876    -11.389882
   4.51134    -11.395645    -11.395651
   4.56480    -11.397594    -11.397600
   4.56480    -11.397594    -11.397600
   4.59892    -11.402294    -11.402301
   4.63303    -11.415539    -11.415545
   4.66714    -11.435166    -11.435173
   4.70125    -11.457695    -11.457700
   4.70125    -11.227717    -11.227722
   4.75755    -11.226721    -11.226727
   4.81385    -11.228641    -11.228647
   4.87015    -11.235287    -11.235293
   4.92645    -11.246585    -11.246592
   4.98275    -11.262080    -11.262087
   5.03904    -11.281130    -11.281137
   5.09534    -11.302934    -11.302941
   5.15164    -11.326564    -11.326570
   5.20794    -11.351002    -11.351009
   5.26424    -11.375198    -11.375204
   5.32054    -11.398103    -11.398109
   5.37683    -11.418722    -11.418728
   5.43313    -11.436140    -11.436147
   5.48943    -11.449588    -11.449594
   5.54573    -11.457695    -11.457700
   5.54573    -11.457695    -11.457700
   5.60129    -11.455162    -11.455167
   5.65685    -11.447668    -11.447673
   5.71240    -11.435514    -11.435519
   5.76796    -11.419179    -11.419184
   5.82352    -11.399310    -11.399315
   5.87908    -11.376711    -11.376716
   5.93464    -11.352311    -11.352317
   5.99020    -11.327148    -11.327153
   6.04576    -11.302327    -11.302333
   6.10131    -11.278978    -11.278984
   6.15687    -11.258166    -11.258172
   6.21243    -11.240858    -11.240864
   6.26799    -11.227864    -11.227870
   6.32355    -11.219815    -11.219821
   6.37911    -11.217091    -11.217097
 
# Band-Index    4
   6.37911    -10.280871    -10.280877
   6.32355    -10.285467    -10.285474
   6.26799    -10.298942    -10.298949
   6.21243    -10.320425    -10.320432
   6.15687    -10.348585    -10.348592
   6.10131    -10.381803    -10.381810
