#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS:  94  64
# Band-Index    1
   0.00000    -45.751441    -45.751444
   0.05760    -45.751438    -45.751441
   0.11519    -45.751442    -45.751446
   0.17279    -45.751438    -45.751441
   0.23038    -45.751438    -45.751441
   0.28798    -45.751435    -45.751438
   0.34557    -45.751424    -45.751427
   0.40317    -45.751424    -45.751427
   0.46076    -45.751418    -45.751421
   0.51836    -45.751424    -45.751427
   0.57595    -45.751421    -45.751424
   0.63355    -45.751425    -45.751429
   0.69114    -45.751427    -45.751430
   0.69114    -45.751418    -45.751421
   0.74878    -45.751430    -45.751433
   0.80641    -45.751430    -45.751433
   0.86405    -45.751436    -45.751439
   0.92169    -45.751441    -45.751444
   0.92169    -45.751441    -45.751444
   0.97915    -45.751435    -45.751438
   1.03662    -45.751441    -45.751444
   1.09408    -45.751435    -45.751438
   1.15155    -45.751430    -45.751433
   1.20901    -45.751435    -45.751438
   1.26648    -45.751427    -45.751430
   1.32394    -45.751427    -45.751430
   1.38141    -45.751433    -45.751436
   1.43887    -45.751435    -45.751438
   1.49634    -45.751438    -45.751441
   1.55381    -45.751435    -45.751438
   1.55381    -45.751373    -45.751376
   1.60672    -45.751382    -45.751385
   1.65963    -45.751388    -45.751391
   1.71254    -45.751393    -45.751396
   1.76545    -45.751397    -45.751401
   1.81836    -45.751402    -45.751404
   1.87128    -45.751407    -45.751410
   1.92419    -45.751410    -45.751413
   1.97710    -45.751407    -45.751410
   2.03001    -45.751413    -45.751416
   2.08292    -45.751413    -45.751416
   2.13583    -45.751416    -45.751418
   2.18875    -45.751427    -45.751430
   2.24166    -45.751432    -45.751435
   2.29457    -45.751430    -45.751432
   2.34748    -45.751430    -45.751432
   2.40039    -45.751438    -45.751441
   2.45330    -45.751432    -45.751435
   2.50622    -45.751441    -45.751444
   2.50622    -45.751441    -45.751444
   2.56085    -45.751438    -45.751441
   2.61548    -45.751441    -45.751444
   2.67011    -45.751439    -45.751442
   2.72474    -45.751435    -45.751438
   2.77937    -45.751418    -45.751421
   2.83400    -45.751416    -45.751418
   2.88863    -45.751418    -45.751421
   2.94326    -45.751421    -45.751424
   2.99790    -45.751432    -45.751435
   3.05253    -45.751435    -45.751438
   3.10716    -45.751421    -45.751424
   3.16179    -45.751402    -45.751404
   3.16179    -45.751379    -45.751382
   3.21686    -45.751388    -45.751391
   3.27192    -45.751397    -45.751401
   3.32699    -45.751404    -45.751407
   3.38206    -45.751410    -45.751413
   3.43712    -45.751408    -45.751411
   3.49219    -45.751407    -45.751410
   3.54726    -45.751407    -45.751410
   3.60232    -45.751413    -45.751416
   3.65739    -45.751415    -45.751418
   3.71246    -45.751418    -45.751421
   3.76752    -45.751421    -45.751424
   3.82259    -45.751425    -45.751429
   3.87766    -45.751430    -45.751433
   3.93273    -45.751432    -45.751435
   3.98779    -45.751435    -45.751438
   4.04286    -45.751435    -45.751438
   4.09793    -45.751441    -45.751444
   4.09793    -45.751441    -45.751444
   4.15394    -45.751439    -45.751442
   4.20996    -45.751441    -45.751444
