#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS:  75  32
# Band-Index    1
   0.00000    -28.119411    -28.119503
   0.06018    -28.119408    -28.119500
   0.12036    -28.119399    -28.119491
   0.18054    -28.119386    -28.119478
   0.24073    -28.119373    -28.119465
   0.30091    -28.119366    -28.119458
   0.36109    -28.119363    -28.119455
   0.36109    -28.119363    -28.119455
   0.41836    -28.119382    -28.119474
   0.47564    -28.119441    -28.119533
   0.53292    -28.119548    -28.119640
   0.59019    -28.119717    -28.119809
   0.64747    -28.119954    -28.120045
   0.70474    -28.120252    -28.120344
   0.76202    -28.120615    -28.120706
   0.81929    -28.121027    -28.121119
   0.87657    -28.121477    -28.121569
   0.93385    -28.121952    -28.122043
   0.99112    -28.122440    -28.122531
   1.04840    -28.122926    -28.123018
   1.04840    -28.123163    -28.123255
   1.10868    -28.123675    -28.123767
   1.16897    -28.124172    -28.124264
   1.22926    -28.124639    -28.124732
   1.28955    -28.125054    -28.125147
   1.34983    -28.125387    -28.125479
   1.41012    -28.125602    -28.125694
   1.47041    -28.125676    -28.125769
   1.47041    -28.125676    -28.125769
   1.52471    -28.125562    -28.125655
   1.57902    -28.125231    -28.125323
   1.63333    -28.124703    -28.124795
   1.68763    -28.124018    -28.124110
   1.74194    -28.123227    -28.123319
   1.79625    -28.122387    -28.122479
   1.85055    -28.121566    -28.121658
   1.90486    -28.120824    -28.120915
   1.95917    -28.120211    -28.120303
   2.01347    -28.119764    -28.119856
   2.06778    -28.119498    -28.119590
   2.12209    -28.119411    -28.119503
   2.12209    -28.119411    -28.119503
   2.17678    -28.119428    -28.119520
   2.23147    -28.119487    -28.119579
   2.28616    -28.119595    -28.119687
   2.34085    -28.119759    -28.119851
   2.39554    -28.119986    -28.120077
   2.45023    -28.120275    -28.120367
   2.50492    -28.120624    -28.120715
   2.55961    -28.121023    -28.121114
   2.61430    -28.121465    -28.121556
   2.66899    -28.121936    -28.122027
   2.72368    -28.122425    -28.122516
   2.77837    -28.122921    -28.123012
   2.83306    -28.123410    -28.123502
   2.88775    -28.123877    -28.123970
   2.88775    -28.123016    -28.123107
   2.95648    -28.121799    -28.121891
   3.02521    -28.120645    -28.120737
   3.09394    -28.119710    -28.119802
   3.16267    -28.119110    -28.119202
   3.23141    -28.118904    -28.118995
   3.23141    -28.118904    -28.118995
   3.28842    -28.118910    -28.119001
   3.34544    -28.118927    -28.119018
   3.40246    -28.118958    -28.119049
   3.45948    -28.118999    -28.119091
   3.51649    -28.119052    -28.119144
   3.57351    -28.119115    -28.119207
   3.63053    -28.119183    -28.119275
   3.68755    -28.119252    -28.119343
   3.74456    -28.119315    -28.119406
   3.80158    -28.119366    -28.119458
   3.85860    -28.119400    -28.119492
   3.91562    -28.119411    -28.119503
 
# Band-Index    2
   3.91562    -28.115431    -28.115524
   3.85860    -28.115328    -28.115421
   3.80158    -28.115030    -28.115123
   3.74456    -28.114563    -28.114656
   3.68755    -28.113960    -28.114053
   3.63053    -28.113271    -28.113364
   3.57351    -28.112551    -28.112643
   3.51649    -28.111849    -28.111940
   3.45948    -28.111213    -28.111304
   3.40246    -28.110683    -28.110773
   3.34544    -28.110286    -28.110375
   3.28842    -28.110043    -28.110132
   3.23141    -28.109962    -28.110050
   3.23141    -28.109962    -28.110050
   3.16267    -28.110067    -28.110155
   3.09394    -28.110370    -28.110457
   3.02521    -28.110847    -28.110930
   2.95648    -28.111484    -28.111557
   2.88775    -28.112264    -28.112322
   2.88775    -28.112801    -28.112842
   2.83306    -28.112756    -28.112816
   2.77837    -28.112812    -28.112886
   2.72368    -28.112958    -28.113041
   2.66899    -28.113172    -28.113259
   2.61430    -28.113432    -28.113523
   2.55961    -28.113724    -28.113815
   2.50492    -28.114034    -28.114126
   2.45023    -28.114346    -28.114439
   2.39554    -28.114644    -28.114737
   2.34085    -28.114912    -28.115005
   2.28616    -28.115134    -28.115227
   2.23147    -28.115297    -28.115390
   2.17678    -28.115397    -28.115490
