#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS:  89  96
# Band-Index    1
   0.00000    -26.461545    -26.461546
   0.05654    -26.461553    -26.461554
   0.11307    -26.461572    -26.461573
   0.16961    -26.461602    -26.461603
   0.22614    -26.461642    -26.461643
   0.28268    -26.461690    -26.461691
   0.33922    -26.461742    -26.461743
   0.39575    -26.461795    -26.461796
   0.45229    -26.461847    -26.461848
   0.50883    -26.461895    -26.461896
   0.56536    -26.461936    -26.461937
   0.62190    -26.461968    -26.461969
   0.67843    -26.461987    -26.461988
   0.73497    -26.461994    -26.461995
   0.73497    -26.461548    -26.461549
   0.76727    -26.461547    -26.461548
   0.79958    -26.461546    -26.461547
   0.83188    -26.461549    -26.461550
   0.86418    -26.461545    -26.461546
   0.86418    -26.461545    -26.461546
   0.92069    -26.461553    -26.461554
   0.97719    -26.461573    -26.461574
   1.03369    -26.461604    -26.461605
   1.09019    -26.461645    -26.461646
   1.14669    -26.461694    -26.461695
   1.20320    -26.461747    -26.461748
   1.25970    -26.461802    -26.461803
   1.31620    -26.461856    -26.461857
   1.37270    -26.461905    -26.461906
   1.42921    -26.461947    -26.461948
   1.48571    -26.461980    -26.461981
   1.54221    -26.461999    -26.462000
   1.59871    -26.462006    -26.462007
   1.59871    -26.462019    -26.462020
   1.65611    -26.462011    -26.462012
   1.71352    -26.461989    -26.461990
   1.77092    -26.461956    -26.461957
   1.82832    -26.461914    -26.461915
   1.88572    -26.461864    -26.461865
   1.94313    -26.461809    -26.461810
   2.00053    -26.461753    -26.461753
   2.05793    -26.461699    -26.461700
   2.11534    -26.461649    -26.461650
   2.17274    -26.461607    -26.461608
   2.23014    -26.461574    -26.461575
   2.28754    -26.461553    -26.461554
   2.34495    -26.461545    -26.461546
   2.34495    -26.461545    -26.461546
   2.40231    -26.461553    -26.461554
   2.45968    -26.461573    -26.461574
   2.51704    -26.461604    -26.461605
   2.57441    -26.461646    -26.461647
   2.63178    -26.461694    -26.461695
   2.68914    -26.461747    -26.461748
   2.74651    -26.461802    -26.461803
   2.80388    -26.461856    -26.461857
   2.86124    -26.461905    -26.461906
   2.91861    -26.461946    -26.461947
   2.97598    -26.461978    -26.461979
   3.03334    -26.461999    -26.462000
   3.09071    -26.462006    -26.462007
   3.09071    -26.462019    -26.462020
   3.14725    -26.462011    -26.462012
   3.20379    -26.461991    -26.461992
   3.26033    -26.461957    -26.461958
   3.31687    -26.461914    -26.461915
   3.37341    -26.461864    -26.461865
   3.42995    -26.461809    -26.461810
   3.48650    -26.461753    -26.461754
   3.54304    -26.461698    -26.461699
   3.59958    -26.461648    -26.461649
   3.65612    -26.461606    -26.461607
   3.71266    -26.461574    -26.461575
   3.76920    -26.461553    -26.461554
   3.82574    -26.461545    -26.461546
   3.82574    -26.461545    -26.461546
   3.88314    -26.461553    -26.461554
   3.94054    -26.461572    -26.461573
   3.99795    -26.461603    -26.461604
   4.05535    -26.461643    -26.461644
   4.11275    -26.461690    -26.461691
   4.17015    -26.461742    -26.461743
   4.22755    -26.461795    -26.461796
   4.28495    -26.461848    -26.461849
   4.34235    -26.461895    -26.461896
   4.39975    -26.461935    -26.461936
   4.45716    -26.461966    -26.461967
   4.51456    -26.461986    -26.461987
   4.57196    -26.461993    -26.461994
 
# Band-Index    2
   4.57196    -26.459919    -26.459920
   4.51456    -26.459912    -26.459913
   4.45716    -26.459894    -26.459895
   4.39975    -26.459866    -26.459867
   4.34235    -26.459829    -26.459830
   4.28495    -26.459786    -26.459787
   4.22755    -26.459738    -26.459739
   4.17015    -26.459690    -26.459690
   4.11275    -26.459643    -26.459643
   4.05535    -26.459599    -26.459600
   3.99795    -26.459563    -26.459563
   3.94054    -26.459534    -26.459535
   3.88314    -26.459517    -26.459517
   3.82574    -26.459510    -26.459510
   3.82574    -26.459510    -26.459510
   3.76920    -26.459517    -26.459518
   3.71266    -26.459535    -26.459535
   3.65612    -26.459561    -26.459562
   3.59958    -26.459596    -26.459597
   3.54304    -26.459638    -26.459638
   3.48650    -26.459683    -26.459684
   3.42995    -26.459730    -26.459731
   3.37341    -26.459776    -26.459776
   3.31687    -26.459817    -26.459818
   3.26033    -26.459853    -26.459854
   3.20379    -26.459881    -26.459882
   3.14725    -26.459898    -26.459899
   3.09071    -26.459905    -26.459906
   3.09071    -26.459897    -26.459897
   3.03334    -26.459890    -26.459891
   2.97598    -26.459873    -26.459874
   2.91861    -26.459847    -26.459847
   2.86124    -26.459812    -26.459813
   2.80388    -26.459771    -26.459772
   2.74651    -26.459726    -26.459727
   2.68914    -26.459680    -26.459681
   2.63178    -26.459636    -26.459637
   2.57441    -26.459595    -26.459595
   2.51704    -26.459560    -26.459561
   2.45968    -26.459533    -26.459534
   2.40231    -26.459516    -26.459517
   2.34495    -26.459510    -26.459510
   2.34495    -26.459510    -26.459510
   2.28754    -26.459517    -26.459517
   2.23014    -26.459534    -26.459535
   2.17274    -26.459562    -26.459563
   2.11534    -26.459597    -26.459598
   2.05793    -26.459639    -26.459639
   2.00053    -26.459683    -26.459684
   1.94313    -26.459730    -26.459731
   1.88572    -26.459776    -26.459777
   1.82832    -26.459817    -26.459818
   1.77092    -26.459852    -26.459853
   1.71352    -26.459880    -26.459881
   1.65611    -26.459898    -26.459899
   1.59871    -26.459905    -26.459906
   1.59871    -26.459897    -26.459898
   1.54221    -26.459891    -26.459892
   1.48571    -26.459875    -26.459876
   1.42921    -26.459847    -26.459848
   1.37270    -26.459812    -26.459813
   1.31620    -26.459771    -26.459772
   1.25970    -26.459726    -26.459727
   1.20320    -26.459680    -26.459681
   1.14669    -26.459635    -26.459636
   1.09019    -26.459594    -26.459595
   1.03369    -26.459559    -26.459560
   0.97719    -26.459534    -26.459534
   0.92069    -26.459516    -26.459517
   0.86418    -26.459510    -26.459510
   0.86418    -26.459510    -26.459510
   0.83188    -26.459513    -26.459514
   0.79958    -26.459511    -26.459512
   0.76727    -26.459512    -26.459513
   0.73497    -26.459512    -26.459513
   0.73497    -26.459919    -26.459920
   0.67843    -26.459913    -26.459913
   0.62190    -26.459896    -26.459896
   0.56536    -26.459867    -26.459867
   0.50883    -26.459829    -26.459830
   0.45229    -26.459786    -26.459787
   0.39575    -26.459738    -26.459739
   0.33922    -26.459689    -26.459690
   0.28268    -26.459642    -26.459643
   0.22614    -26.459598    -26.459599
   0.16961    -26.459562    -26.459563
   0.11307    -26.459535    -26.459536
   0.05654    -26.459517    -26.459517
   0.00000    -26.459510    -26.459510
 
# Band-Index    3
   0.00000    -26.456682    -26.456684
   0.05654    -26.456680    -26.456682
   0.11307    -26.456669    -26.456671
   0.16961    -26.456648    -26.456649
   0.22614    -26.456617    -26.456618
   0.28268    -26.456576    -26.456578
   0.33922    -26.456524    -26.456526
   0.39575    -26.456461    -26.456463
   0.45229    -26.456387    -26.456389
   0.50883    -26.456306    -26.456307
   0.56536    -26.456223    -26.456225
   0.62190    -26.456149    -26.456151
   0.67843    -26.456095    -26.456097
   0.73497    -26.456076    -26.456078
   0.73497    -26.456685    -26.456687
   0.76727    -26.456684    -26.456686
   0.79958    -26.456684    -26.456685
   0.83188    -26.456686    -26.456688
   0.86418    -26.456682    -26.456684
   0.86418    -26.456682    -26.456684
   0.92069    -26.456680    -26.456682
   0.97719    -26.456669    -26.456671
   1.03369    -26.456647    -26.456649
   1.09019    -26.456616    -26.456618
   1.14669    -26.456575    -26.456577
   1.20320    -26.456522    -26.456523
   1.25970    -26.456456    -26.456458
   1.31620    -26.456379    -26.456381
   1.37270    -26.456293    -26.456294
   1.42921    -26.456204    -26.456206
   1.48571    -26.456123    -26.456125
   1.54221    -26.456063    -26.456065
   1.59871    -26.456041    -26.456043
   1.59871    -26.456067    -26.456069
   1.65611    -26.456086    -26.456088
   1.71352    -26.456141    -26.456143
   1.77092    -26.456219    -26.456220
   1.82832    -26.456304    -26.456306
   1.88572    -26.456388    -26.456389
   1.94313    -26.456462    -26.456464
   2.00053    -26.456526    -26.456528
   2.05793    -26.456579    -26.456581
   2.11534    -26.456620    -26.456622
   2.17274    -26.456650    -26.456651
   2.23014    -26.456669    -26.456671
   2.28754    -26.456680    -26.456682
   2.34495    -26.456682    -26.456684
   2.34495    -26.456682    -26.456684
   2.40231    -26.456680    -26.456682
   2.45968    -26.456668    -26.456670
   2.51704    -26.456648    -26.456649
   2.57441    -26.456617    -26.456619
   2.63178    -26.456576    -26.456578
   2.68914    -26.456522    -26.456524
   2.74651    -26.456456    -26.456457
   2.80388    -26.456378    -26.456380
   2.86124    -26.456292    -26.456294
   2.91861    -26.456203    -26.456205
   2.97598    -26.456122    -26.456123
   3.03334    -26.456063    -26.456064
   3.09071    -26.456041    -26.456043
   3.09071    -26.456068    -26.456069
   3.14725    -26.456087    -26.456089
   3.20379    -26.456143    -26.456145
   3.26033    -26.456220    -26.456221
   3.31687    -26.456304    -26.456306
   3.37341    -26.456388    -26.456389
   3.42995    -26.456462    -26.456464
   3.48650    -26.456526    -26.456528
   3.54304    -26.456578    -26.456580
   3.59958    -26.456619    -26.456620
   3.65612    -26.456649    -26.456651
   3.71266    -26.456670    -26.456672
   3.76920    -26.456680    -26.456682
   3.82574    -26.456682    -26.456684
   3.82574    -26.456682    -26.456684
   3.88314    -26.456680    -26.456682
   3.94054    -26.456668    -26.456670
   3.99795    -26.456648    -26.456650
   4.05535    -26.456618    -26.456619
   4.11275    -26.456577    -26.456579
   4.17015    -26.456524    -26.456526
   4.22755    -26.456461    -26.456462
   4.28495    -26.456387    -26.456388
   4.34235    -26.456305    -26.456307
   4.39975    -26.456222    -26.456224
   4.45716    -26.456148    -26.456150
   4.51456    -26.456095    -26.456097
   4.57196    -26.456075    -26.456077
 
# Band-Index    4
   4.57196    -26.454173    -26.454174
   4.51456    -26.454133    -26.454135
   4.45716    -26.454024    -26.454026
   4.39975    -26.453861    -26.453862
   4.34235    -26.453661    -26.453663
   4.28495    -26.453442    -26.453443
   4.22755    -26.453215    -26.453217
   4.17015    -26.452994    -26.452996
   4.11275    -26.452791    -26.452792
   4.05535    -26.452610    -26.452612
   3.99795    -26.452462    -26.452463
   3.94054    -26.452351    -26.452352
   3.88314    -26.452281    -26.452283
   3.82574    -26.452258    -26.452260
   3.82574    -26.452258    -26.452260
   3.76920    -26.452282    -26.452284
   3.71266    -26.452353    -26.452355
   3.65612    -26.452466    -26.452467
   3.59958    -26.452616    -26.452618
   3.54304    -26.452800    -26.452802
   3.48650    -26.453010    -26.453012
   3.42995    -26.453235    -26.453236
   3.37341    -26.453465    -26.453467
   3.31687    -26.453691    -26.453692
   3.26033    -26.453897    -26.453899
   3.20379    -26.454067    -26.454069
   3.14725    -26.454181    -26.454182
   3.09071    -26.454222    -26.454224
   3.09071    -26.454257    -26.454258
   3.03334    -26.454214    -26.454216
   2.97598    -26.454096    -26.454098
   2.91861    -26.453923    -26.453925
   2.86124    -26.453713    -26.453715
   2.80388    -26.453483    -26.453485
   2.74651    -26.453248    -26.453249
   2.68914    -26.453018    -26.453020
   2.63178    -26.452807    -26.452809
   2.57441    -26.452621    -26.452623
   2.51704    -26.452468    -26.452470
   2.45968    -26.452353    -26.452355
   2.40231    -26.452282    -26.452284
   2.34495    -26.452258    -26.452260
   2.34495    -26.452258    -26.452260
   2.28754    -26.452283    -26.452284
   2.23014    -26.452353    -26.452355
   2.17274    -26.452466    -26.452468
   2.11534    -26.452618    -26.452619
   2.05793    -26.452801    -26.452803
   2.00053    -26.453009    -26.453011
   1.94313    -26.453234    -26.453236
   1.88572    -26.453466    -26.453468
   1.82832    -26.453691    -26.453693
   1.77092    -26.453897    -26.453899
   1.71352    -26.454066    -26.454068
   1.65611    -26.454180    -26.454182
   1.59871    -26.454222    -26.454224
   1.59871    -26.454257    -26.454259
   1.54221    -26.454215    -26.454216
   1.48571    -26.454098    -26.454100
   1.42921    -26.453923    -26.453925
   1.37270    -26.453712    -26.453714
   1.31620    -26.453482    -26.453483
   1.25970    -26.453247    -26.453249
   1.20320    -26.453019    -26.453021
   1.14669    -26.452806    -26.452808
   1.09019    -26.452620    -26.452621
   1.03369    -26.452467    -26.452469
   0.97719    -26.452353    -26.452355
   0.92069    -26.452282    -26.452284
   0.86418    -26.452258    -26.452260
   0.86418    -26.452258    -26.452260
   0.83188    -26.452261    -26.452263
   0.79958    -26.452260    -26.452261
   0.76727    -26.452262    -26.452263
   0.73497    -26.452262    -26.452264
   0.73497    -26.454173    -26.454175
   0.67843    -26.454134    -26.454135
   0.62190    -26.454025    -26.454027
   0.56536    -26.453861    -26.453862
   0.50883    -26.453660    -26.453662
   0.45229    -26.453440    -26.453442
   0.39575    -26.453215    -26.453216
   0.33922    -26.452995    -26.452997
   0.28268    -26.452789    -26.452791
   0.22614    -26.452609    -26.452611
   0.16961    -26.452461    -26.452463
   0.11307    -26.452351    -26.452352
   0.05654    -26.452282    -26.452283
   0.00000    -26.452258    -26.452260
 
# Band-Index    5
   0.00000    -26.450332    -26.450332
   0.05654    -26.450350    -26.450350
   0.11307    -26.450398    -26.450398
   0.16961    -26.450476    -26.450476
   0.22614    -26.450580    -26.450580
   0.28268    -26.450707    -26.450706
   0.33922    -26.450848    -26.450848
   0.39575    -26.450997    -26.450997
   0.45229    -26.451145    -26.451145
   0.50883    -26.451283    -26.451283
   0.56536    -26.451402    -26.451402
   0.62190    -26.451493    -26.451493
   0.67843    -26.451549    -26.451549
   0.73497    -26.451568    -26.451568
   0.73497    -26.450335    -26.450335
   0.76727    -26.450334    -26.450334
   0.79958    -26.450334    -26.450334
   0.83188    -26.450336    -26.450336
   0.86418    -26.450332    -26.450332
   0.86418    -26.450332    -26.450332
   0.92069    -26.450350    -26.450350
   0.97719    -26.450398    -26.450398
   1.03369    -26.450476    -26.450475
   1.09019    -26.450579    -26.450579
   1.14669    -26.450706    -26.450705
   1.20320    -26.450847    -26.450847
   1.25970    -26.450995    -26.450995
   1.31620    -26.451142    -26.451142
   1.37270    -26.451279    -26.451279
   1.42921    -26.451397    -26.451397
   1.48571    -26.451488    -26.451488
   1.54221    -26.451544    -26.451544
   1.59871    -26.451563    -26.451563
   1.59871    -26.451580    -26.451580
   1.65611    -26.451559    -26.451559
   1.71352    -26.451499    -26.451499
