#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS:  72 128
# Band-Index    1
   0.00000    -43.879680    -43.879677
   0.06140    -43.879678    -43.879675
   0.12280    -43.879678    -43.879675
   0.18420    -43.879679    -43.879676
   0.24560    -43.879679    -43.879675
   0.24560    -43.876700    -43.876697
   0.30274    -43.876800    -43.876797
   0.35988    -43.877085    -43.877082
   0.41702    -43.877507    -43.877504
   0.47416    -43.878009    -43.878006
   0.53130    -43.878524    -43.878521
   0.58844    -43.878992    -43.878989
   0.64558    -43.879362    -43.879359
   0.70272    -43.879599    -43.879595
   0.75986    -43.879680    -43.879677
   0.75986    -43.879680    -43.879677
   0.81961    -43.879645    -43.879641
   0.87935    -43.879541    -43.879538
   0.93910    -43.879379    -43.879376
   0.99885    -43.879171    -43.879168
   1.05859    -43.878939    -43.878936
   1.11834    -43.878703    -43.878700
   1.17809    -43.878487    -43.878484
   1.23783    -43.878313    -43.878310
   1.29758    -43.878201    -43.878198
   1.35733    -43.878162    -43.878159
   1.35733    -43.878162    -43.878159
   1.41411    -43.878193    -43.878190
   1.47090    -43.878286    -43.878283
   1.52768    -43.878433    -43.878430
   1.58447    -43.878619    -43.878616
   1.64125    -43.878830    -43.878827
   1.69804    -43.879046    -43.879043
   1.75483    -43.879250    -43.879246
   1.81161    -43.879427    -43.879424
   1.86840    -43.879564    -43.879560
   1.92518    -43.879650    -43.879647
   1.98197    -43.879680    -43.879677
   1.98197    -43.879680    -43.879677
   2.04171    -43.879644    -43.879641
   2.10146    -43.879541    -43.879538
   2.16121    -43.879378    -43.879375
   2.22095    -43.879171    -43.879167
   2.28070    -43.878938    -43.878935
   2.34045    -43.878702    -43.878699
   2.40019    -43.878486    -43.878483
   2.45994    -43.878312    -43.878309
   2.51969    -43.878199    -43.878196
   2.57943    -43.878161    -43.878158
   2.57943    -43.878163    -43.878160
   2.63622    -43.878194    -43.878191
   2.69300    -43.878288    -43.878285
   2.74979    -43.878434    -43.878431
   2.80657    -43.878620    -43.878617
   2.86336    -43.878831    -43.878828
   2.92015    -43.879047    -43.879044
   2.97693    -43.879250    -43.879247
   3.03372    -43.879427    -43.879424
   3.09050    -43.879564    -43.879561
   3.14729    -43.879650    -43.879647
   3.20407    -43.879680    -43.879677
   3.20407    -43.879680    -43.879677
   3.26106    -43.879613    -43.879609
