Label,Energy (eV),Density (Spin Up) (states/eV),Density (Spin Down) (states/eV)
N$_p$,-24.022998980899658,0.0,0.0
N$_p$,-24.01799898089966,0.0,0.0
N$_p$,-24.012998980899656,0.0,0.0
N$_p$,-24.007998980899657,0.0,0.0
N$_p$,-24.002998980899658,0.0,0.0
N$_p$,-23.99799898089966,0.0,0.0
N$_p$,-23.992998980899657,0.0,0.0
N$_p$,-23.987998980899658,0.0,0.0
N$_p$,-23.98299898089966,0.0,0.0
N$_p$,-23.977998980899656,0.0,0.0
N$_p$,-23.972998980899657,0.0,0.0
N$_p$,-23.967998980899658,0.0,0.0
N$_p$,-23.96299898089966,0.0,0.0
N$_p$,-23.957998980899657,0.0,0.0
N$_p$,-23.952998980899658,0.0,0.0
N$_p$,-23.94799898089966,0.0,0.0
N$_p$,-23.94299898089966,0.0,0.0
N$_p$,-23.937998980899657,0.0,0.0
N$_p$,-23.932998980899658,0.0,0.0
N$_p$,-23.92799898089966,0.0,0.0
N$_p$,-23.922998980899656,0.0,0.0
N$_p$,-23.917998980899657,0.0,0.0
N$_p$,-23.91299898089966,0.0,0.0
N$_p$,-23.90799898089966,0.0,0.0
N$_p$,-23.902998980899657,0.0,0.0
N$_p$,-23.897998980899658,0.0,0.0
N$_p$,-23.89299898089966,0.0,0.0
N$_p$,-23.887998980899656,0.0,0.0
N$_p$,-23.882998980899657,0.0,0.0
N$_p$,-23.877998980899658,0.0,0.0
N$_p$,-23.87299898089966,0.0,0.0
N$_p$,-23.867998980899657,0.0,0.0
N$_p$,-23.862998980899658,0.0,0.0
N$_p$,-23.85799898089966,0.0,0.0
N$_p$,-23.852998980899656,0.0,0.0
N$_p$,-23.847998980899657,0.0,0.0
N$_p$,-23.842998980899658,0.0,0.0
N$_p$,-23.83799898089966,0.0,0.0
N$_p$,-23.832998980899657,0.0,0.0
N$_p$,-23.827998980899658,0.0,0.0
N$_p$,-23.82299898089966,0.0,0.0
N$_p$,-23.81799898089966,0.0,0.0
N$_p$,-23.812998980899657,0.0,0.0
N$_p$,-23.807998980899658,0.0,0.0
N$_p$,-23.80299898089966,0.0,0.0
N$_p$,-23.797998980899656,0.0,0.0
N$_p$,-23.792998980899657,0.0,0.0
N$_p$,-23.78799898089966,0.0,0.0
N$_p$,-23.78299898089966,0.0,0.0
N$_p$,-23.777998980899657,0.0,0.0
N$_p$,-23.772998980899658,0.0,0.0
N$_p$,-23.76799898089966,0.0,0.0
N$_p$,-23.762998980899656,0.0,0.0
N$_p$,-23.757998980899657,0.0,0.0
N$_p$,-23.752998980899658,0.0,0.0
N$_p$,-23.74799898089966,0.0,0.0
N$_p$,-23.742998980899657,0.0,0.0
N$_p$,-23.737998980899658,0.0,0.0
N$_p$,-23.73299898089966,0.0,0.0
N$_p$,-23.727998980899656,0.0,0.0
N$_p$,-23.722998980899657,0.0,0.0
N$_p$,-23.717998980899658,0.0,0.0
N$_p$,-23.71299898089966,0.0,0.0
N$_p$,-23.707998980899657,0.0,0.0
N$_p$,-23.702998980899658,0.0,0.0
N$_p$,-23.69799898089966,0.0,0.0
N$_p$,-23.69299898089966,0.0,0.0
N$_p$,-23.687998980899657,0.0,0.0
N$_p$,-23.682998980899658,0.0,0.0
N$_p$,-23.67799898089966,0.0,0.0
N$_p$,-23.672998980899656,0.0,0.0
N$_p$,-23.667998980899657,0.0,0.0
N$_p$,-23.66299898089966,0.0,0.0
N$_p$,-23.65799898089966,0.0,0.0
N$_p$,-23.652998980899657,0.0,0.0
N$_p$,-23.647998980899658,0.0,0.0
N$_p$,-23.64299898089966,0.0,0.0
N$_p$,-23.637998980899656,0.0,0.0
N$_p$,-23.632998980899657,0.0,0.0
N$_p$,-23.627998980899658,0.0,0.0
N$_p$,-23.62289898089966,0.0,0.0
N$_p$,-23.617898980899657,0.0,0.0
N$_p$,-23.612898980899658,0.0,0.0
N$_p$,-23.60789898089966,0.0,0.0
N$_p$,-23.602898980899656,0.0,0.0
N$_p$,-23.597898980899657,0.0,0.0
N$_p$,-23.59289898089966,0.0,0.0
N$_p$,-23.58789898089966,0.0,0.0
N$_p$,-23.582898980899657,0.0,0.0
N$_p$,-23.577898980899658,0.0,0.0
N$_p$,-23.57289898089966,0.0,0.0
N$_p$,-23.567898980899656,0.0,0.0
N$_p$,-23.562898980899657,0.0,0.0
N$_p$,-23.557898980899658,0.0,0.0
N$_p$,-23.55289898089966,0.0,0.0
N$_p$,-23.547898980899657,0.0,0.0
N$_p$,-23.542898980899658,0.0,0.0
N$_p$,-23.53789898089966,0.0,0.0
N$_p$,-23.532898980899656,0.0,0.0
N$_p$,-23.527898980899657,0.0,0.0
N$_p$,-23.522898980899658,0.0,0.0
N$_p$,-23.51789898089966,0.0,0.0
N$_p$,-23.512898980899656,0.0,0.0
N$_p$,-23.507898980899657,0.0,0.0
N$_p$,-23.50289898089966,0.0,0.0
N$_p$,-23.49789898089966,0.0,0.0
N$_p$,-23.492898980899657,0.0,0.0
N$_p$,-23.487898980899658,0.0,0.0
N$_p$,-23.48289898089966,0.0,0.0
N$_p$,-23.477898980899656,0.0,0.0
N$_p$,-23.472898980899657,0.0,0.0
N$_p$,-23.46789898089966,0.0,0.0
N$_p$,-23.46289898089966,0.0,0.0
N$_p$,-23.457898980899657,0.0,0.0
N$_p$,-23.452898980899658,0.0,0.0
