#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS:  62 128
# Band-Index    1
   0.00000    -44.873699    -44.873698
   0.05148    -44.873699    -44.873698
   0.10296    -44.873700    -44.873699
   0.15444    -44.873700    -44.873699
   0.20592    -44.873700    -44.873699
   0.20592    -44.873346    -44.873345
   0.26805    -44.873368    -44.873367
   0.33017    -44.873425    -44.873424
   0.39230    -44.873500    -44.873500
   0.45443    -44.873578    -44.873578
   0.51655    -44.873642    -44.873641
   0.57868    -44.873684    -44.873683
   0.64080    -44.873699    -44.873698
   0.64080    -44.873699    -44.873698
   0.69723    -44.873694    -44.873694
   0.75365    -44.873680    -44.873679
   0.81007    -44.873658    -44.873657
   0.86650    -44.873630    -44.873629
   0.92292    -44.873598    -44.873597
   0.97934    -44.873569    -44.873568
   1.03577    -44.873544    -44.873543
   1.09219    -44.873528    -44.873527
   1.14861    -44.873522    -44.873521
   1.14861    -44.873520    -44.873519
   1.20730    -44.873526    -44.873525
   1.26599    -44.873542    -44.873541
   1.32467    -44.873567    -44.873566
   1.38336    -44.873597    -44.873596
   1.44205    -44.873628    -44.873627
   1.50074    -44.873657    -44.873656
   1.55942    -44.873679    -44.873679
   1.61811    -44.873694    -44.873693
   1.67680    -44.873699    -44.873698
   1.67680    -44.873699    -44.873698
   1.73322    -44.873694    -44.873693
   1.78964    -44.873680    -44.873679
   1.84607    -44.873657    -44.873656
   1.90249    -44.873628    -44.873628
   1.95892    -44.873597    -44.873596
   2.01534    -44.873567    -44.873566
   2.07177    -44.873542    -44.873541
   2.12819    -44.873526    -44.873525
   2.18462    -44.873520    -44.873519
   2.18462    -44.873522    -44.873521
   2.24330    -44.873527    -44.873526
   2.30199    -44.873544    -44.873543
   2.36067    -44.873568    -44.873567
   2.41936    -44.873598    -44.873597
   2.47804    -44.873629    -44.873628
   2.53673    -44.873658    -44.873657
   2.59541    -44.873680    -44.873679
   2.65410    -44.873694    -44.873693
   2.71278    -44.873699    -44.873698
   2.71278    -44.873699    -44.873698
   2.77293    -44.873687    -44.873686
   2.83308    -44.873654    -44.873653
   2.89322    -44.873603    -44.873602
   2.95337    -44.873538    -44.873537
   3.01351    -44.873467    -44.873466
   3.07366    -44.873403    -44.873402
   3.13381    -44.873357    -44.873356
   3.19395    -44.873341    -44.873340
 
# Band-Index    2
   3.19395    -44.871941    -44.871940
   3.13381    -44.871923    -44.871922
   3.07366    -44.871876    -44.871875
   3.01351    -44.871812    -44.871811
   2.95337    -44.871743    -44.871742
   2.89322    -44.871678    -44.871677
   2.83308    -44.871626    -44.871625
   2.77293    -44.871593    -44.871592
   2.71278    -44.871582    -44.871581
   2.71278    -44.871582    -44.871581
   2.65410    -44.871588    -44.871587
   2.59541    -44.871603    -44.871602
   2.53673    -44.871626    -44.871625
   2.47804    -44.871656    -44.871655
   2.41936    -44.871687    -44.871686
