Label,Energy (eV),Density (Spin Up) (states/eV),Density (Spin Down) (states/eV)
P$_p$,-23.112760345544686,0.0,0.0
P$_p$,-23.107760345544687,0.0,0.0
P$_p$,-23.102760345544684,0.0,0.0
P$_p$,-23.097760345544685,0.0,0.0
P$_p$,-23.092760345544686,0.0,0.0
P$_p$,-23.087760345544687,0.0,0.0
P$_p$,-23.082760345544685,0.0,0.0
P$_p$,-23.077760345544686,0.0,0.0
P$_p$,-23.072760345544687,0.0,0.0
P$_p$,-23.067760345544684,0.0,0.0
P$_p$,-23.062760345544685,0.0,0.0
P$_p$,-23.057760345544686,0.0,0.0
P$_p$,-23.052760345544687,0.0,0.0
P$_p$,-23.047760345544685,0.0,0.0
P$_p$,-23.042760345544686,0.0,0.0
P$_p$,-23.037760345544687,0.0,0.0
P$_p$,-23.032760345544688,0.0,0.0
P$_p$,-23.027760345544685,0.0,0.0
P$_p$,-23.022760345544686,0.0,0.0
P$_p$,-23.017760345544687,0.0,0.0
P$_p$,-23.012760345544685,0.0,0.0
P$_p$,-23.007760345544686,0.0,0.0
P$_p$,-23.002760345544687,0.0,0.0
P$_p$,-22.997760345544688,0.0,0.0
P$_p$,-22.992760345544685,0.0,0.0
P$_p$,-22.987760345544686,0.0,0.0
P$_p$,-22.982760345544687,0.0,0.0
P$_p$,-22.977760345544684,0.0,0.0
P$_p$,-22.972760345544685,0.0,0.0
P$_p$,-22.967760345544686,0.0,0.0
P$_p$,-22.962760345544687,0.0,0.0
P$_p$,-22.957760345544685,0.0,0.0
P$_p$,-22.952760345544686,0.0,0.0
P$_p$,-22.947760345544687,0.0,0.0
P$_p$,-22.942760345544684,0.0,0.0
P$_p$,-22.937760345544685,0.0,0.0
P$_p$,-22.932760345544686,0.0,0.0
P$_p$,-22.927760345544687,0.0,0.0
P$_p$,-22.922760345544685,0.0,0.0
P$_p$,-22.917760345544686,0.0,0.0
P$_p$,-22.912760345544687,0.0,0.0
P$_p$,-22.907760345544688,0.0,0.0
P$_p$,-22.902760345544685,0.0,0.0
P$_p$,-22.897760345544686,0.0,0.0
P$_p$,-22.892760345544687,0.0,0.0
P$_p$,-22.887760345544685,0.0,0.0
P$_p$,-22.882760345544686,0.0,0.0
P$_p$,-22.877760345544687,0.0,0.0
P$_p$,-22.872760345544688,0.0,0.0
P$_p$,-22.867760345544685,0.0,0.0
P$_p$,-22.862760345544686,0.0,0.0
P$_p$,-22.857760345544687,0.0,0.0
P$_p$,-22.852760345544684,0.0,0.0
P$_p$,-22.847760345544685,0.0,0.0
P$_p$,-22.842760345544686,0.0,0.0
P$_p$,-22.837760345544687,0.0,0.0
P$_p$,-22.832760345544685,0.0,0.0
P$_p$,-22.827760345544686,0.0,0.0
P$_p$,-22.822760345544687,0.0,0.0
P$_p$,-22.817760345544684,0.0,0.0
P$_p$,-22.812760345544685,0.0,0.0
P$_p$,-22.807760345544686,0.0,0.0
P$_p$,-22.802760345544687,0.0,0.0
P$_p$,-22.797760345544685,0.0,0.0
P$_p$,-22.792760345544686,0.0,0.0
P$_p$,-22.787760345544687,0.0,0.0
P$_p$,-22.782760345544688,0.0,0.0
P$_p$,-22.777760345544685,0.0,0.0
P$_p$,-22.772760345544686,0.0,0.0
P$_p$,-22.767760345544687,0.0,0.0
P$_p$,-22.762760345544685,0.0,0.0
P$_p$,-22.757760345544686,0.0,0.0
P$_p$,-22.752760345544687,0.0,0.0
P$_p$,-22.747760345544688,0.0,0.0
P$_p$,-22.742760345544685,0.0,0.0
