Label,Energy (eV),Density (Spin Up) (states/eV),Density (Spin Down) (states/eV)
P$_p$,-22.347788993938593,0.0,0.0
P$_p$,-22.342788993938594,0.0,0.0
P$_p$,-22.33778899393859,0.0,0.0
P$_p$,-22.332788993938593,0.0,0.0
P$_p$,-22.327788993938594,0.0,0.0
P$_p$,-22.322788993938595,0.0,0.0
P$_p$,-22.317788993938592,0.0,0.0
P$_p$,-22.312788993938593,0.0,0.0
P$_p$,-22.307788993938594,0.0,0.0
P$_p$,-22.30278899393859,0.0,0.0
P$_p$,-22.297788993938592,0.0,0.0
P$_p$,-22.292788993938593,0.0,0.0
P$_p$,-22.287788993938594,0.0,0.0
P$_p$,-22.282788993938592,0.0,0.0
P$_p$,-22.277788993938593,0.0,0.0
P$_p$,-22.272788993938594,0.0,0.0
P$_p$,-22.267788993938595,0.0,0.0
P$_p$,-22.262788993938592,0.0,0.0
P$_p$,-22.257788993938593,0.0,0.0
P$_p$,-22.252788993938594,0.0,0.0
P$_p$,-22.24778899393859,0.0,0.0
P$_p$,-22.242788993938593,0.0,0.0
P$_p$,-22.237788993938594,0.0,0.0
P$_p$,-22.232788993938595,0.0,0.0
P$_p$,-22.227788993938592,0.0,0.0
P$_p$,-22.222788993938593,0.0,0.0
P$_p$,-22.217788993938594,0.0,0.0
P$_p$,-22.21278899393859,0.0,0.0
P$_p$,-22.207788993938593,0.0,0.0
P$_p$,-22.202788993938594,0.0,0.0
P$_p$,-22.197788993938595,0.0,0.0
P$_p$,-22.192788993938592,0.0,0.0
P$_p$,-22.187788993938593,0.0,0.0
P$_p$,-22.182788993938594,0.0,0.0
P$_p$,-22.17778899393859,0.0,0.0
P$_p$,-22.172788993938592,0.0,0.0
P$_p$,-22.167788993938593,0.0,0.0
P$_p$,-22.162788993938594,0.0,0.0
P$_p$,-22.157788993938592,0.0,0.0
P$_p$,-22.152788993938593,0.0,0.0
P$_p$,-22.147788993938594,0.0,0.0
P$_p$,-22.142788993938595,0.0,0.0
P$_p$,-22.137788993938592,0.0,0.0
P$_p$,-22.132788993938593,0.0,0.0
P$_p$,-22.127788993938594,0.0,0.0
P$_p$,-22.12278899393859,0.0,0.0
P$_p$,-22.117788993938593,0.0,0.0
P$_p$,-22.112788993938594,0.0,0.0
P$_p$,-22.107788993938595,0.0,0.0
P$_p$,-22.102788993938592,0.0,0.0
P$_p$,-22.097788993938593,0.0,0.0
P$_p$,-22.092788993938594,0.0,0.0
P$_p$,-22.08778899393859,0.0,0.0
P$_p$,-22.082788993938593,0.0,0.0
P$_p$,-22.077788993938594,0.0,0.0
P$_p$,-22.072788993938595,0.0,0.0
P$_p$,-22.067788993938592,0.0,0.0
P$_p$,-22.062788993938593,0.0,0.0
P$_p$,-22.057788993938594,0.0,0.0
P$_p$,-22.05278899393859,0.0,0.0
P$_p$,-22.047788993938592,0.0,0.0
P$_p$,-22.042788993938593,0.0,0.0
P$_p$,-22.037788993938594,0.0,0.0
P$_p$,-22.032788993938592,0.0,0.0
P$_p$,-22.027788993938593,0.0,0.0
P$_p$,-22.022788993938594,0.0,0.0
P$_p$,-22.017788993938595,0.0,0.0
P$_p$,-22.012788993938592,0.0,0.0
P$_p$,-22.007788993938593,0.0,0.0
P$_p$,-22.002788993938594,0.0,0.0
P$_p$,-21.99778899393859,0.0,0.0
P$_p$,-21.992788993938593,0.0,0.0
P$_p$,-21.987788993938594,0.0,0.0
P$_p$,-21.982788993938595,0.0,0.0
