Label,Energy (eV),Density (Spin Up) (states/eV),Density (Spin Down) (states/eV)
P$_p$,-22.476749177231248,0.0,0.0
P$_p$,-22.471749177231253,0.0,0.0
P$_p$,-22.46674917723125,0.0,0.0
P$_p$,-22.461749177231248,0.0,0.0
P$_p$,-22.456749177231252,0.0,0.0
P$_p$,-22.45174917723125,0.0,0.0
P$_p$,-22.446749177231247,0.0,0.0
P$_p$,-22.44174917723125,0.0,0.0
P$_p$,-22.43674917723125,0.0,0.0
P$_p$,-22.431749177231247,0.0,0.0
P$_p$,-22.42674917723125,0.0,0.0
P$_p$,-22.42174917723125,0.0,0.0
P$_p$,-22.416749177231253,0.0,0.0
P$_p$,-22.41174917723125,0.0,0.0
P$_p$,-22.406749177231248,0.0,0.0
P$_p$,-22.401749177231252,0.0,0.0
P$_p$,-22.39674917723125,0.0,0.0
P$_p$,-22.391749177231247,0.0,0.0
P$_p$,-22.386749177231252,0.0,0.0
P$_p$,-22.38174917723125,0.0,0.0
P$_p$,-22.376749177231247,0.0,0.0
P$_p$,-22.37174917723125,0.0,0.0
P$_p$,-22.36674917723125,0.0,0.0
P$_p$,-22.361749177231253,0.0,0.0
P$_p$,-22.35674917723125,0.0,0.0
P$_p$,-22.351749177231248,0.0,0.0
P$_p$,-22.346749177231253,0.0,0.0
P$_p$,-22.34174917723125,0.0,0.0
P$_p$,-22.336749177231248,0.0,0.0
P$_p$,-22.331749177231252,0.0,0.0
P$_p$,-22.32674917723125,0.0,0.0
P$_p$,-22.321749177231247,0.0,0.0
P$_p$,-22.31674917723125,0.0,0.0
P$_p$,-22.31174917723125,0.0,0.0
P$_p$,-22.306749177231247,0.0,0.0
P$_p$,-22.30174917723125,0.0,0.0
P$_p$,-22.29674917723125,0.0,0.0
P$_p$,-22.291749177231253,0.0,0.0
P$_p$,-22.28674917723125,0.0,0.0
P$_p$,-22.281749177231248,0.0,0.0
P$_p$,-22.276749177231252,0.0,0.0
P$_p$,-22.27174917723125,0.0,0.0
P$_p$,-22.266749177231247,0.0,0.0
P$_p$,-22.261749177231252,0.0,0.0
P$_p$,-22.25674917723125,0.0,0.0
P$_p$,-22.251749177231247,0.0,0.0
P$_p$,-22.24674917723125,0.0,0.0
P$_p$,-22.24174917723125,0.0,0.0
P$_p$,-22.236749177231253,0.0,0.0
P$_p$,-22.23174917723125,0.0,0.0
P$_p$,-22.226749177231248,0.0,0.0
P$_p$,-22.221749177231253,0.0,0.0
P$_p$,-22.21674917723125,0.0,0.0
P$_p$,-22.211749177231248,0.0,0.0
P$_p$,-22.206749177231252,0.0,0.0
P$_p$,-22.20174917723125,0.0,0.0
P$_p$,-22.196749177231247,0.0,0.0
P$_p$,-22.19174917723125,0.0,0.0
P$_p$,-22.18674917723125,0.0,0.0
P$_p$,-22.181749177231247,0.0,0.0
P$_p$,-22.17674917723125,0.0,0.0
P$_p$,-22.17174917723125,0.0,0.0
P$_p$,-22.166749177231253,0.0,0.0
P$_p$,-22.16174917723125,0.0,0.0
P$_p$,-22.156749177231248,0.0,0.0
P$_p$,-22.151749177231252,0.0,0.0
P$_p$,-22.14674917723125,0.0,0.0
P$_p$,-22.141749177231247,0.0,0.0
P$_p$,-22.136749177231252,0.0,0.0
P$_p$,-22.13174917723125,0.0,0.0
P$_p$,-22.126749177231247,0.0,0.0
P$_p$,-22.12174917723125,0.0,0.0
P$_p$,-22.11674917723125,0.0,0.0
P$_p$,-22.111749177231253,0.0,0.0
P$_p$,-22.10674917723125,0.0,0.0
P$_p$,-22.101749177231248,0.0,0.0
P$_p$,-22.096749177231253,0.0,0.0
P$_p$,-22.09174917723125,0.0,0.0
P$_p$,-22.086749177231248,0.0,0.0
P$_p$,-22.081749177231252,0.0,0.0
P$_p$,-22.076649177231253,0.0,0.0
P$_p$,-22.07164917723125,0.0,0.0
P$_p$,-22.06664917723125,0.0,0.0
P$_p$,-22.061649177231253,0.0,0.0
P$_p$,-22.05664917723125,0.0,0.0
P$_p$,-22.051649177231248,0.0,0.0
P$_p$,-22.046649177231252,0.0,0.0
P$_p$,-22.04164917723125,0.0,0.0
P$_p$,-22.036649177231247,0.0,0.0
P$_p$,-22.03164917723125,0.0,0.0
P$_p$,-22.02664917723125,0.0,0.0
P$_p$,-22.021649177231247,0.0,0.0
P$_p$,-22.01664917723125,0.0,0.0
P$_p$,-22.01164917723125,0.0,0.0
P$_p$,-22.006649177231253,0.0,0.0
P$_p$,-22.00164917723125,0.0,0.0
P$_p$,-21.996649177231248,0.0,0.0
P$_p$,-21.991649177231253,0.0,0.0
P$_p$,-21.98664917723125,0.0,0.0
P$_p$,-21.981649177231247,0.0,0.0
P$_p$,-21.976649177231252,0.0,0.0
P$_p$,-21.97164917723125,0.0,0.0
P$_p$,-21.966649177231247,0.0,0.0
P$_p$,-21.96164917723125,0.0,0.0
P$_p$,-21.95664917723125,0.0,0.0
P$_p$,-21.951649177231253,0.0,0.0
P$_p$,-21.94664917723125,0.0,0.0
P$_p$,-21.94164917723125,0.0,0.0
P$_p$,-21.936649177231253,0.0,0.0
P$_p$,-21.93164917723125,0.0,0.0
P$_p$,-21.926649177231248,0.0,0.0
P$_p$,-21.921649177231252,0.0,0.0
P$_p$,-21.91664917723125,0.0,0.0
P$_p$,-21.911649177231247,0.0,0.0
P$_p$,-21.90664917723125,0.0,0.0
P$_p$,-21.90164917723125,0.0,0.0
P$_p$,-21.896649177231247,0.0,0.0
P$_p$,-21.89164917723125,0.0,0.0
P$_p$,-21.88664917723125,0.0,0.0
P$_p$,-21.881649177231253,0.0,0.0
P$_p$,-21.87664917723125,0.0,0.0
P$_p$,-21.871649177231248,0.0,0.0
P$_p$,-21.866649177231253,0.0,0.0
P$_p$,-21.86164917723125,0.0,0.0
P$_p$,-21.856649177231247,0.0,0.0
P$_p$,-21.851649177231252,0.0,0.0
P$_p$,-21.84664917723125,0.0,0.0
P$_p$,-21.841649177231247,0.0,0.0
P$_p$,-21.83664917723125,0.0,0.0
P$_p$,-21.83164917723125,0.0,0.0
P$_p$,-21.826649177231253,0.0,0.0
P$_p$,-21.82164917723125,0.0,0.0
P$_p$,-21.81664917723125,0.0,0.0
P$_p$,-21.811649177231253,0.0,0.0
P$_p$,-21.80664917723125,0.0,0.0
P$_p$,-21.801649177231248,0.0,0.0
P$_p$,-21.796649177231252,0.0,0.0
P$_p$,-21.79164917723125,0.0,0.0
P$_p$,-21.786649177231247,0.0,0.0
P$_p$,-21.78164917723125,0.0,0.0
P$_p$,-21.77664917723125,0.0,0.0
P$_p$,-21.771649177231247,0.0,0.0
P$_p$,-21.76664917723125,0.0,0.0
P$_p$,-21.76164917723125,0.0,0.0
P$_p$,-21.756649177231253,0.0,0.0
P$_p$,-21.75164917723125,0.0,0.0
P$_p$,-21.746649177231248,0.0,0.0
P$_p$,-21.741649177231253,0.0,0.0
P$_p$,-21.73664917723125,0.0,0.0
P$_p$,-21.731649177231247,0.0,0.0
P$_p$,-21.726649177231252,0.0,0.0
P$_p$,-21.72164917723125,0.0,0.0
P$_p$,-21.716649177231247,0.0,0.0
P$_p$,-21.71164917723125,0.0,0.0
P$_p$,-21.70664917723125,0.0,0.0
P$_p$,-21.701649177231253,0.0,0.0
P$_p$,-21.69664917723125,0.0,0.0
P$_p$,-21.69164917723125,0.0,0.0
P$_p$,-21.686649177231253,0.0,0.0
P$_p$,-21.68164917723125,0.0,0.0
P$_p$,-21.676649177231248,0.0,0.0
P$_p$,-21.671649177231252,0.0,0.0
P$_p$,-21.66664917723125,0.0,0.0
P$_p$,-21.661649177231247,0.0,0.0
P$_p$,-21.65664917723125,0.0,0.0
P$_p$,-21.65164917723125,0.0,0.0
P$_p$,-21.646649177231247,0.0,0.0
P$_p$,-21.64164917723125,0.0,0.0
P$_p$,-21.63664917723125,0.0,0.0
P$_p$,-21.631649177231253,0.0,0.0
P$_p$,-21.62664917723125,0.0,0.0
P$_p$,-21.621649177231248,0.0,0.0
P$_p$,-21.616649177231253,0.0,0.0
P$_p$,-21.61164917723125,0.0,0.0
P$_p$,-21.606649177231247,0.0,0.0
P$_p$,-21.601649177231252,0.0,0.0
P$_p$,-21.59664917723125,0.0,0.0
P$_p$,-21.591649177231247,0.0,0.0
P$_p$,-21.58664917723125,0.0,0.0
P$_p$,-21.58164917723125,0.0,0.0
P$_p$,-21.576649177231253,0.0,0.0
P$_p$,-21.57164917723125,0.0,0.0
P$_p$,-21.56664917723125,0.0,0.0
P$_p$,-21.561649177231253,0.0,0.0
P$_p$,-21.55664917723125,0.0,0.0
P$_p$,-21.551649177231248,0.0,0.0
P$_p$,-21.546649177231252,0.0,0.0
P$_p$,-21.54164917723125,0.0,0.0
P$_p$,-21.536649177231247,0.0,0.0
P$_p$,-21.53164917723125,0.0,0.0
P$_p$,-21.52664917723125,0.0,0.0
P$_p$,-21.521649177231247,0.0,0.0
P$_p$,-21.51664917723125,0.0,0.0
P$_p$,-21.51164917723125,0.0,0.0
P$_p$,-21.506649177231253,0.0,0.0
P$_p$,-21.50164917723125,0.0,0.0
P$_p$,-21.496649177231248,0.0,0.0
P$_p$,-21.491649177231253,0.0,0.0
P$_p$,-21.48664917723125,0.0,0.0
P$_p$,-21.481649177231247,0.0,0.0
P$_p$,-21.476649177231252,0.0,0.0
P$_p$,-21.47164917723125,0.0,0.0
P$_p$,-21.466649177231247,0.0,0.0
P$_p$,-21.46164917723125,0.0,0.0
P$_p$,-21.45664917723125,0.0,0.0
P$_p$,-21.451649177231253,0.0,0.0
P$_p$,-21.44664917723125,0.0,0.0
P$_p$,-21.44164917723125,0.0,0.0
P$_p$,-21.436649177231253,0.0,0.0
P$_p$,-21.43164917723125,0.0,0.0
P$_p$,-21.426649177231248,0.0,0.0
P$_p$,-21.421649177231252,0.0,0.0
P$_p$,-21.41664917723125,0.0,0.0
P$_p$,-21.411649177231247,0.0,0.0
P$_p$,-21.40664917723125,0.0,0.0
P$_p$,-21.40164917723125,0.0,0.0
P$_p$,-21.396649177231247,0.0,0.0
P$_p$,-21.39164917723125,0.0,0.0
P$_p$,-21.38664917723125,0.0,0.0
P$_p$,-21.381649177231253,0.0,0.0
P$_p$,-21.37664917723125,0.0,0.0
P$_p$,-21.371649177231248,0.0,0.0
P$_p$,-21.366649177231253,0.0,0.0
P$_p$,-21.36164917723125,0.0,0.0
P$_p$,-21.356649177231247,0.0,0.0
P$_p$,-21.351649177231252,0.0,0.0
P$_p$,-21.34664917723125,0.0,0.0
P$_p$,-21.341649177231247,0.0,0.0
P$_p$,-21.33664917723125,0.0,0.0
P$_p$,-21.33164917723125,0.0,0.0
P$_p$,-21.326649177231253,0.0,0.0
P$_p$,-21.32164917723125,0.0,0.0
P$_p$,-21.31664917723125,0.0,0.0
P$_p$,-21.311649177231253,0.0,0.0
P$_p$,-21.30664917723125,0.0,0.0
P$_p$,-21.301649177231248,0.0,0.0
P$_p$,-21.296649177231252,0.0,0.0
P$_p$,-21.29164917723125,0.0,0.0
P$_p$,-21.286649177231247,0.0,0.0
P$_p$,-21.28164917723125,0.0,0.0
P$_p$,-21.276549177231253,0.0,0.0
P$_p$,-21.27154917723125,0.0,0.0
P$_p$,-21.266549177231248,0.0,0.0
P$_p$,-21.261549177231252,0.0,0.0
P$_p$,-21.25654917723125,0.0,0.0
P$_p$,-21.251549177231247,0.0,0.0
P$_p$,-21.246549177231252,0.0,0.0
P$_p$,-21.24154917723125,0.0,0.0
P$_p$,-21.236549177231247,0.0,0.0
P$_p$,-21.23154917723125,0.0,0.0
P$_p$,-21.22654917723125,0.0,0.0
P$_p$,-21.221549177231253,0.0,0.0
P$_p$,-21.21654917723125,0.0,0.0
P$_p$,-21.211549177231248,0.0,0.0
P$_p$,-21.206549177231253,0.0,0.0
P$_p$,-21.20154917723125,0.0,0.0
P$_p$,-21.196549177231248,0.0,0.0
P$_p$,-21.191549177231252,0.0,0.0
P$_p$,-21.18654917723125,0.0,0.0
P$_p$,-21.181549177231247,0.0,0.0
P$_p$,-21.17654917723125,0.0,0.0
P$_p$,-21.17154917723125,0.0,0.0
P$_p$,-21.166549177231254,0.0,0.0
P$_p$,-21.16154917723125,0.0,0.0
P$_p$,-21.15654917723125,0.0,0.0
P$_p$,-21.151549177231253,0.0,0.0
P$_p$,-21.14654917723125,0.0,0.0
P$_p$,-21.141549177231248,0.0,0.0
P$_p$,-21.136549177231252,0.0,0.0
P$_p$,-21.13154917723125,0.0,0.0
P$_p$,-21.126549177231247,0.0,0.0
