Label,Energy (eV),Density (Spin Up) (states/eV),Density (Spin Down) (states/eV)
P$_p$,-23.217749224750445,0.0,0.0
P$_p$,-23.212749224750446,0.0,0.0
P$_p$,-23.207749224750444,0.0,0.0
P$_p$,-23.202749224750445,0.0,0.0
P$_p$,-23.197749224750446,0.0,0.0
P$_p$,-23.192749224750447,0.0,0.0
P$_p$,-23.187749224750444,0.0,0.0
P$_p$,-23.182749224750445,0.0,0.0
P$_p$,-23.177749224750446,0.0,0.0
P$_p$,-23.172749224750444,0.0,0.0
P$_p$,-23.167749224750445,0.0,0.0
P$_p$,-23.162749224750446,0.0,0.0
P$_p$,-23.157749224750447,0.0,0.0
P$_p$,-23.152749224750444,0.0,0.0
P$_p$,-23.147749224750445,0.0,0.0
P$_p$,-23.142749224750446,0.0,0.0
P$_p$,-23.137749224750447,0.0,0.0
P$_p$,-23.132749224750444,0.0,0.0
P$_p$,-23.127749224750445,0.0,0.0
P$_p$,-23.122749224750446,0.0,0.0
P$_p$,-23.117749224750444,0.0,0.0
P$_p$,-23.112749224750445,0.0,0.0
P$_p$,-23.107749224750446,0.0,0.0
P$_p$,-23.102749224750447,0.0,0.0
P$_p$,-23.097749224750444,0.0,0.0
P$_p$,-23.092749224750445,0.0,0.0
P$_p$,-23.087749224750446,0.0,0.0
P$_p$,-23.082749224750444,0.0,0.0
P$_p$,-23.077749224750445,0.0,0.0
P$_p$,-23.072749224750446,0.0,0.0
P$_p$,-23.067749224750447,0.0,0.0
P$_p$,-23.062749224750444,0.0,0.0
P$_p$,-23.057749224750445,0.0,0.0
P$_p$,-23.052749224750446,0.0,0.0
P$_p$,-23.047749224750444,0.0,0.0
P$_p$,-23.042749224750445,0.0,0.0
P$_p$,-23.037749224750446,0.0,0.0
P$_p$,-23.032749224750447,0.0,0.0
P$_p$,-23.027749224750444,0.0,0.0
P$_p$,-23.022749224750445,0.0,0.0
P$_p$,-23.017749224750446,0.0,0.0
P$_p$,-23.012749224750447,0.0,0.0
P$_p$,-23.007749224750444,0.0,0.0
P$_p$,-23.002749224750445,0.0,0.0
P$_p$,-22.997749224750446,0.0,0.0
P$_p$,-22.992749224750444,0.0,0.0
P$_p$,-22.987749224750445,0.0,0.0
P$_p$,-22.982749224750446,0.0,0.0
P$_p$,-22.977749224750447,0.0,0.0
P$_p$,-22.972749224750444,0.0,0.0
P$_p$,-22.967749224750445,0.0,0.0
P$_p$,-22.962749224750446,0.0,0.0
P$_p$,-22.957749224750444,0.0,0.0
P$_p$,-22.952749224750445,0.0,0.0
P$_p$,-22.947749224750446,0.0,0.0
P$_p$,-22.942749224750447,0.0,0.0
P$_p$,-22.937749224750444,0.0,0.0
P$_p$,-22.932749224750445,0.0,0.0
P$_p$,-22.927749224750446,0.0,0.0
P$_p$,-22.922749224750444,0.0,0.0
P$_p$,-22.917749224750445,0.0,0.0
P$_p$,-22.912749224750446,0.0,0.0
P$_p$,-22.907749224750447,0.0,0.0
P$_p$,-22.902749224750444,0.0,0.0
P$_p$,-22.897749224750445,0.0,0.0
P$_p$,-22.892749224750446,0.0,0.0
P$_p$,-22.887749224750447,0.0,0.0
P$_p$,-22.882749224750444,0.0,0.0
P$_p$,-22.877749224750445,0.0,0.0
P$_p$,-22.872749224750446,0.0,0.0
P$_p$,-22.867749224750444,0.0,0.0
P$_p$,-22.862749224750445,0.0,0.0
P$_p$,-22.857749224750446,0.0,0.0
P$_p$,-22.852749224750447,0.0,0.0
P$_p$,-22.847749224750444,0.0,0.0
P$_p$,-22.842749224750445,0.0,0.0
P$_p$,-22.837749224750446,0.0,0.0
P$_p$,-22.832749224750444,0.0,0.0
P$_p$,-22.827749224750445,0.0,0.0
P$_p$,-22.822749224750446,0.0,0.0
P$_p$,-22.817649224750447,0.0,0.0
P$_p$,-22.812649224750444,0.0,0.0
P$_p$,-22.807649224750445,0.0,0.0
P$_p$,-22.802649224750446,0.0,0.0
P$_p$,-22.797649224750444,0.0,0.0
P$_p$,-22.792649224750445,0.0,0.0
P$_p$,-22.787649224750446,0.0,0.0
P$_p$,-22.782649224750447,0.0,0.0
P$_p$,-22.777649224750444,0.0,0.0
P$_p$,-22.772649224750445,0.0,0.0
P$_p$,-22.767649224750446,0.0,0.0
P$_p$,-22.762649224750444,0.0,0.0
P$_p$,-22.757649224750445,0.0,0.0
P$_p$,-22.752649224750446,0.0,0.0
P$_p$,-22.747649224750447,0.0,0.0
P$_p$,-22.742649224750444,0.0,0.0
P$_p$,-22.737649224750445,0.0,0.0
P$_p$,-22.732649224750446,0.0,0.0
P$_p$,-22.727649224750444,0.0,0.0
P$_p$,-22.722649224750445,0.0,0.0
P$_p$,-22.717649224750446,0.0,0.0
P$_p$,-22.712649224750447,0.0,0.0
P$_p$,-22.707649224750444,0.0,0.0
P$_p$,-22.702649224750445,0.0,0.0
P$_p$,-22.697649224750446,0.0,0.0
P$_p$,-22.692649224750447,0.0,0.0
P$_p$,-22.687649224750444,0.0,0.0
P$_p$,-22.682649224750445,0.0,0.0
P$_p$,-22.677649224750446,0.0,0.0
P$_p$,-22.672649224750444,0.0,0.0
P$_p$,-22.667649224750445,0.0,0.0
P$_p$,-22.662649224750446,0.0,0.0
P$_p$,-22.657649224750447,0.0,0.0
P$_p$,-22.652649224750444,0.0,0.0
P$_p$,-22.647649224750445,0.0,0.0
P$_p$,-22.642649224750446,0.0,0.0
P$_p$,-22.637649224750444,0.0,0.0
