Label,Energy (eV),Density (Spin Up) (states/eV),Density (Spin Down) (states/eV)
N$_p$,-24.097250093815624,0.064,0.064
N$_p$,-24.092250093815625,0.0,0.0
N$_p$,-24.087250093815623,0.0,0.0
N$_p$,-24.082250093815624,0.0,0.0
N$_p$,-24.077250093815625,0.0,0.0
N$_p$,-24.072250093815626,0.0,0.0
N$_p$,-24.067250093815623,0.0,0.0
N$_p$,-24.062250093815624,0.0,0.0
N$_p$,-24.057250093815625,0.0,0.0
N$_p$,-24.052250093815623,0.0,0.0
N$_p$,-24.047250093815624,0.0,0.0
N$_p$,-24.042250093815625,0.0,0.0
N$_p$,-24.037250093815626,0.0,0.0
N$_p$,-24.032250093815623,0.0,0.0
N$_p$,-24.027250093815624,0.0,0.0
N$_p$,-24.022250093815625,0.0,0.0
N$_p$,-24.017250093815626,0.0,0.0
N$_p$,-24.012250093815624,0.0,0.0
N$_p$,-24.007250093815625,0.0,0.0
N$_p$,-24.002250093815626,0.0,0.0
N$_p$,-23.997250093815623,0.0,0.0
N$_p$,-23.992250093815624,0.0,0.0
N$_p$,-23.987250093815625,0.0,0.0
N$_p$,-23.982250093815626,0.0,0.0
N$_p$,-23.977250093815623,0.0,0.0
N$_p$,-23.972250093815624,0.0,0.0
N$_p$,-23.967250093815625,0.0,0.0
N$_p$,-23.962250093815623,0.0,0.0
N$_p$,-23.957250093815624,0.0,0.0
N$_p$,-23.952250093815625,0.0,0.0
N$_p$,-23.947250093815626,0.0,0.0
N$_p$,-23.942250093815623,0.0,0.0
N$_p$,-23.937250093815624,0.0,0.0
N$_p$,-23.932250093815625,0.0,0.0
N$_p$,-23.927250093815623,0.0,0.0
N$_p$,-23.922250093815624,0.0,0.0
N$_p$,-23.917250093815625,0.0,0.0
N$_p$,-23.912250093815626,0.0,0.0
N$_p$,-23.907250093815623,0.0,0.0
N$_p$,-23.902250093815624,0.0,0.0
N$_p$,-23.897250093815625,0.0,0.0
N$_p$,-23.892250093815626,0.0,0.0
N$_p$,-23.887250093815624,0.0,0.0
N$_p$,-23.882250093815625,0.0,0.0
N$_p$,-23.877250093815626,0.0,0.0
N$_p$,-23.872250093815623,0.0,0.0
N$_p$,-23.867250093815624,0.0,0.0
N$_p$,-23.862250093815625,0.0,0.0
N$_p$,-23.857250093815626,0.0,0.0
N$_p$,-23.852250093815623,0.0,0.0
N$_p$,-23.847250093815624,0.0,0.0
N$_p$,-23.842250093815625,0.0,0.0
N$_p$,-23.837250093815623,0.0,0.0
N$_p$,-23.832250093815624,0.0,0.0
N$_p$,-23.827250093815625,0.0,0.0
N$_p$,-23.822250093815626,0.0,0.0
N$_p$,-23.817250093815623,0.0,0.0
N$_p$,-23.812250093815624,0.0,0.0
N$_p$,-23.807250093815625,0.0,0.0
N$_p$,-23.802250093815623,0.0,0.0
N$_p$,-23.797250093815624,0.0,0.0
N$_p$,-23.792250093815625,0.0,0.0
N$_p$,-23.787250093815626,0.0,0.0
N$_p$,-23.782250093815623,0.0,0.0
N$_p$,-23.777250093815624,0.0,0.0
N$_p$,-23.772250093815625,0.0,0.0
N$_p$,-23.767250093815626,0.0,0.0
N$_p$,-23.762250093815624,0.0,0.0
N$_p$,-23.757250093815625,0.0,0.0
N$_p$,-23.752250093815626,0.0,0.0
N$_p$,-23.747250093815623,0.0,0.0
N$_p$,-23.742250093815624,0.0,0.0
N$_p$,-23.737250093815625,0.0,0.0
N$_p$,-23.732250093815626,0.0,0.0
N$_p$,-23.727250093815623,0.0,0.0
N$_p$,-23.722250093815624,0.0,0.0
N$_p$,-23.717250093815625,0.0,0.0
N$_p$,-23.712250093815623,0.0,0.0
N$_p$,-23.707250093815624,0.0,0.0
N$_p$,-23.702250093815625,0.0,0.0
N$_p$,-23.697150093815626,0.0,0.0
N$_p$,-23.692150093815624,0.0,0.0
N$_p$,-23.687150093815625,0.0,0.0
N$_p$,-23.682150093815626,0.0,0.0
N$_p$,-23.677150093815623,0.0,0.0
N$_p$,-23.672150093815624,0.0,0.0
N$_p$,-23.667150093815625,0.0,0.0
N$_p$,-23.662150093815626,0.0,0.0
