Label,Energy (eV),Density (Spin Up) (states/eV),Density (Spin Down) (states/eV)
P$_p$,-23.912951449607423,0.0,0.0
P$_p$,-23.907951449607424,0.0,0.0
P$_p$,-23.90295144960742,0.0,0.0
P$_p$,-23.897951449607422,0.0,0.0
P$_p$,-23.892951449607423,0.0,0.0
P$_p$,-23.887951449607424,0.0,0.0
P$_p$,-23.882951449607422,0.0,0.0
P$_p$,-23.877951449607423,0.0,0.0
P$_p$,-23.872951449607424,0.0,0.0
P$_p$,-23.86795144960742,0.0,0.0
P$_p$,-23.862951449607422,0.0,0.0
P$_p$,-23.857951449607423,0.0,0.0
P$_p$,-23.852951449607424,0.0,0.0
P$_p$,-23.84795144960742,0.0,0.0
P$_p$,-23.842951449607423,0.0,0.0
P$_p$,-23.837951449607424,0.0,0.0
P$_p$,-23.832951449607425,0.0,0.0
P$_p$,-23.827951449607422,0.0,0.0
P$_p$,-23.822951449607423,0.0,0.0
P$_p$,-23.817951449607424,0.0,0.0
P$_p$,-23.81295144960742,0.0,0.0
P$_p$,-23.807951449607422,0.0,0.0
P$_p$,-23.802951449607423,0.0,0.0
P$_p$,-23.797951449607424,0.0,0.0
P$_p$,-23.792951449607422,0.0,0.0
P$_p$,-23.787951449607423,0.0,0.0
P$_p$,-23.782951449607424,0.0,0.0
P$_p$,-23.77795144960742,0.0,0.0
P$_p$,-23.772951449607422,0.0,0.0
P$_p$,-23.767951449607423,0.0,0.0
P$_p$,-23.762951449607424,0.0,0.0
P$_p$,-23.757951449607422,0.0,0.0
P$_p$,-23.752951449607423,0.0,0.0
P$_p$,-23.747951449607424,0.0,0.0
P$_p$,-23.74295144960742,0.0,0.0
P$_p$,-23.737951449607422,0.0,0.0
P$_p$,-23.732951449607423,0.0,0.0
P$_p$,-23.727951449607424,0.0,0.0
P$_p$,-23.72295144960742,0.0,0.0
P$_p$,-23.717951449607423,0.0,0.0
P$_p$,-23.712951449607424,0.0,0.0
P$_p$,-23.707951449607425,0.0,0.0
P$_p$,-23.702951449607422,0.0,0.0
P$_p$,-23.697951449607423,0.0,0.0
P$_p$,-23.692951449607424,0.0,0.0
P$_p$,-23.68795144960742,0.0,0.0
P$_p$,-23.682951449607422,0.0,0.0
P$_p$,-23.677951449607423,0.0,0.0
P$_p$,-23.672951449607424,0.0,0.0
P$_p$,-23.667951449607422,0.0,0.0
P$_p$,-23.662951449607423,0.0,0.0
P$_p$,-23.657951449607424,0.0,0.0
P$_p$,-23.65295144960742,0.0,0.0
P$_p$,-23.647951449607422,0.0,0.0
P$_p$,-23.642951449607423,0.0,0.0
P$_p$,-23.637951449607424,0.0,0.0
P$_p$,-23.632951449607422,0.0,0.0
P$_p$,-23.627951449607423,0.0,0.0
P$_p$,-23.622951449607424,0.0,0.0
P$_p$,-23.61795144960742,0.0,0.0
P$_p$,-23.612951449607422,0.0,0.0
P$_p$,-23.607951449607423,0.0,0.0
P$_p$,-23.602951449607424,0.0,0.0
P$_p$,-23.59795144960742,0.0,0.0
P$_p$,-23.592951449607423,0.0,0.0
P$_p$,-23.587951449607424,0.0,0.0
P$_p$,-23.582951449607425,0.0,0.0
P$_p$,-23.577951449607422,0.0,0.0
P$_p$,-23.572951449607423,0.0,0.0
