Label,Energy (eV),Density (Spin Up) (states/eV),Density (Spin Down) (states/eV)
N$_p$,-24.042847147791072,0.0,0.0
N$_p$,-24.037847147791073,0.0,0.0
N$_p$,-24.03284714779107,0.0,0.0
N$_p$,-24.02784714779107,0.0,0.0
N$_p$,-24.022847147791072,0.0,0.0
N$_p$,-24.017847147791073,0.0,0.0
N$_p$,-24.01284714779107,0.0,0.0
N$_p$,-24.00784714779107,0.0,0.0
N$_p$,-24.002847147791073,0.0,0.0
N$_p$,-23.99784714779107,0.0,0.0
N$_p$,-23.99284714779107,0.0,0.0
N$_p$,-23.987847147791072,0.0,0.0
N$_p$,-23.982847147791073,0.0,0.0
N$_p$,-23.97784714779107,0.0,0.0
N$_p$,-23.97284714779107,0.0,0.0
N$_p$,-23.967847147791073,0.0,0.0
N$_p$,-23.962847147791074,0.0,0.0
N$_p$,-23.95784714779107,0.0,0.0
N$_p$,-23.952847147791072,0.0,0.0
N$_p$,-23.947847147791073,0.0,0.0
N$_p$,-23.94284714779107,0.0,0.0
N$_p$,-23.93784714779107,0.0,0.0
N$_p$,-23.932847147791072,0.0,0.0
N$_p$,-23.927847147791073,0.0,0.0
N$_p$,-23.92284714779107,0.0,0.0
N$_p$,-23.917847147791072,0.0,0.0
N$_p$,-23.912847147791073,0.0,0.0
N$_p$,-23.90784714779107,0.0,0.0
N$_p$,-23.90284714779107,0.0,0.0
N$_p$,-23.897847147791072,0.0,0.0
N$_p$,-23.892847147791073,0.0,0.0
N$_p$,-23.88784714779107,0.0,0.0
N$_p$,-23.88284714779107,0.0,0.0
N$_p$,-23.877847147791073,0.0,0.0
N$_p$,-23.87284714779107,0.0,0.0
N$_p$,-23.86784714779107,0.0,0.0
N$_p$,-23.862847147791072,0.0,0.0
N$_p$,-23.857847147791073,0.0,0.0
N$_p$,-23.85284714779107,0.0,0.0
N$_p$,-23.84784714779107,0.0,0.0
N$_p$,-23.842847147791073,0.0,0.0
N$_p$,-23.837847147791074,0.0,0.0
N$_p$,-23.83284714779107,0.0,0.0
N$_p$,-23.827847147791072,0.0,0.0
N$_p$,-23.822847147791073,0.0,0.0
N$_p$,-23.81784714779107,0.0,0.0
N$_p$,-23.81284714779107,0.0,0.0
N$_p$,-23.807847147791072,0.0,0.0
N$_p$,-23.802847147791073,0.0,0.0
N$_p$,-23.79784714779107,0.0,0.0
N$_p$,-23.792847147791072,0.0,0.0
N$_p$,-23.787847147791073,0.0,0.0
N$_p$,-23.78284714779107,0.0,0.0
N$_p$,-23.77784714779107,0.0,0.0
N$_p$,-23.772847147791072,0.0,0.0
N$_p$,-23.767847147791073,0.0,0.0
N$_p$,-23.76284714779107,0.0,0.0
N$_p$,-23.75784714779107,0.0,0.0
N$_p$,-23.752847147791073,0.0,0.0
N$_p$,-23.74784714779107,0.0,0.0
N$_p$,-23.74284714779107,0.0,0.0
N$_p$,-23.737847147791072,0.0,0.0
N$_p$,-23.732847147791073,0.0,0.0
N$_p$,-23.72784714779107,0.0,0.0
N$_p$,-23.72284714779107,0.0,0.0
N$_p$,-23.717847147791073,0.0,0.0
N$_p$,-23.712847147791074,0.0,0.0
N$_p$,-23.70784714779107,0.0,0.0
N$_p$,-23.702847147791072,0.0,0.0
N$_p$,-23.697847147791073,0.0,0.0
N$_p$,-23.69284714779107,0.0,0.0
N$_p$,-23.68784714779107,0.0,0.0
N$_p$,-23.682847147791072,0.0,0.0
N$_p$,-23.677847147791073,0.0,0.0
N$_p$,-23.67284714779107,0.0,0.0
N$_p$,-23.667847147791072,0.0,0.0
N$_p$,-23.662847147791073,0.0,0.0
N$_p$,-23.65784714779107,0.0,0.0
N$_p$,-23.65284714779107,0.0,0.0
N$_p$,-23.647847147791072,0.0,0.0
N$_p$,-23.642747147791074,0.0,0.0
N$_p$,-23.63774714779107,0.0,0.0
N$_p$,-23.632747147791072,0.0,0.0
N$_p$,-23.627747147791073,0.0,0.0
N$_p$,-23.62274714779107,0.0,0.0
N$_p$,-23.61774714779107,0.0,0.0
N$_p$,-23.612747147791072,0.0,0.0
N$_p$,-23.607747147791073,0.0,0.0
N$_p$,-23.60274714779107,0.0,0.0
N$_p$,-23.597747147791072,0.0,0.0
N$_p$,-23.592747147791073,0.0,0.0
N$_p$,-23.58774714779107,0.0,0.0
N$_p$,-23.58274714779107,0.0,0.0
N$_p$,-23.577747147791072,0.0,0.0
N$_p$,-23.572747147791073,0.0,0.0
N$_p$,-23.56774714779107,0.0,0.0
N$_p$,-23.56274714779107,0.0,0.0
N$_p$,-23.557747147791073,0.0,0.0
N$_p$,-23.55274714779107,0.0,0.0
N$_p$,-23.54774714779107,0.0,0.0
N$_p$,-23.542747147791072,0.0,0.0
N$_p$,-23.537747147791073,0.0,0.0
N$_p$,-23.53274714779107,0.0,0.0
N$_p$,-23.52774714779107,0.0,0.0
N$_p$,-23.522747147791073,0.0,0.0
N$_p$,-23.517747147791074,0.0,0.0
N$_p$,-23.51274714779107,0.0,0.0
N$_p$,-23.507747147791072,0.0,0.0
N$_p$,-23.502747147791073,0.0,0.0
N$_p$,-23.49774714779107,0.0,0.0
N$_p$,-23.49274714779107,0.0,0.0
N$_p$,-23.487747147791072,0.0,0.0
N$_p$,-23.482747147791073,0.0,0.0
N$_p$,-23.47774714779107,0.0,0.0
N$_p$,-23.472747147791072,0.0,0.0
N$_p$,-23.467747147791073,0.0,0.0
N$_p$,-23.46274714779107,0.0,0.0
N$_p$,-23.45774714779107,0.0,0.0
N$_p$,-23.452747147791072,0.0,0.0
N$_p$,-23.447747147791073,0.0,0.0
N$_p$,-23.44274714779107,0.0,0.0
N$_p$,-23.43774714779107,0.0,0.0
N$_p$,-23.432747147791073,0.0,0.0
N$_p$,-23.42774714779107,0.0,0.0
N$_p$,-23.42274714779107,0.0,0.0
N$_p$,-23.417747147791072,0.0,0.0
N$_p$,-23.412747147791073,0.0,0.0
N$_p$,-23.40774714779107,0.0,0.0
N$_p$,-23.40274714779107,0.0,0.0
N$_p$,-23.397747147791073,0.0,0.0
N$_p$,-23.392747147791074,0.0,0.0
N$_p$,-23.38774714779107,0.0,0.0
N$_p$,-23.382747147791072,0.0,0.0
N$_p$,-23.377747147791073,0.0,0.0
N$_p$,-23.37274714779107,0.0,0.0
N$_p$,-23.36774714779107,0.0,0.0
N$_p$,-23.362747147791072,0.0,0.0
N$_p$,-23.357747147791073,0.0,0.0
N$_p$,-23.35274714779107,0.0,0.0
N$_p$,-23.347747147791072,0.0,0.0
N$_p$,-23.342747147791073,0.0,0.0
N$_p$,-23.33774714779107,0.0,0.0
N$_p$,-23.33274714779107,0.0,0.0
N$_p$,-23.327747147791072,0.0,0.0
N$_p$,-23.322747147791073,0.0,0.0
N$_p$,-23.31774714779107,0.0,0.0
N$_p$,-23.31274714779107,0.0,0.0
N$_p$,-23.307747147791073,0.0,0.0
N$_p$,-23.30274714779107,0.0,0.0
N$_p$,-23.29774714779107,0.0,0.0
N$_p$,-23.292747147791072,0.0,0.0
N$_p$,-23.287747147791073,0.0,0.0
N$_p$,-23.28274714779107,0.0,0.0
N$_p$,-23.27774714779107,0.0,0.0
N$_p$,-23.272747147791073,0.0,0.0
N$_p$,-23.267747147791074,0.0,0.0
N$_p$,-23.26274714779107,0.0,0.0
N$_p$,-23.257747147791072,0.0,0.0
N$_p$,-23.252747147791073,0.0,0.0
N$_p$,-23.24774714779107,0.0,0.0
N$_p$,-23.24274714779107,0.0,0.0
N$_p$,-23.237747147791072,0.0,0.0
N$_p$,-23.232747147791073,0.0,0.0
N$_p$,-23.22774714779107,0.0,0.0
N$_p$,-23.222747147791072,0.0,0.0
N$_p$,-23.217747147791073,0.0,0.0
N$_p$,-23.21274714779107,0.0,0.0
N$_p$,-23.20774714779107,0.0,0.0
N$_p$,-23.202747147791072,0.0,0.0
N$_p$,-23.197747147791073,0.0,0.0
N$_p$,-23.19274714779107,0.0,0.0
N$_p$,-23.18774714779107,0.0,0.0
N$_p$,-23.182747147791073,0.0,0.0
N$_p$,-23.17774714779107,0.0,0.0
N$_p$,-23.17274714779107,0.0,0.0
N$_p$,-23.167747147791072,0.0,0.0
N$_p$,-23.162747147791073,0.0,0.0
N$_p$,-23.15774714779107,0.0,0.0
N$_p$,-23.15274714779107,0.0,0.0
N$_p$,-23.147747147791073,0.0,0.0
N$_p$,-23.142747147791074,0.0,0.0
N$_p$,-23.13774714779107,0.0,0.0
N$_p$,-23.132747147791072,0.0,0.0
N$_p$,-23.127747147791073,0.0,0.0
N$_p$,-23.12274714779107,0.0,0.0
N$_p$,-23.11774714779107,0.0,0.0
N$_p$,-23.112747147791072,0.0,0.0
N$_p$,-23.107747147791073,0.0,0.0
N$_p$,-23.10274714779107,0.0,0.0
N$_p$,-23.097747147791072,0.0,0.0
N$_p$,-23.092747147791073,0.0,0.0
N$_p$,-23.08774714779107,0.0,0.0
N$_p$,-23.08274714779107,0.0,0.0
N$_p$,-23.077747147791072,0.0,0.0
N$_p$,-23.072747147791073,0.0,0.0
N$_p$,-23.06774714779107,0.0,0.0
N$_p$,-23.06274714779107,0.0,0.0
N$_p$,-23.057747147791073,0.0,0.0
N$_p$,-23.05274714779107,0.0,0.0
N$_p$,-23.04774714779107,0.0,0.0
N$_p$,-23.042747147791072,0.0,0.0
N$_p$,-23.037747147791073,0.0,0.0
N$_p$,-23.03274714779107,0.0,0.0
N$_p$,-23.02774714779107,0.0,0.0
N$_p$,-23.022747147791073,0.0,0.0
N$_p$,-23.017747147791074,0.0,0.0
N$_p$,-23.01274714779107,0.0,0.0
N$_p$,-23.007747147791072,0.0,0.0
N$_p$,-23.002747147791073,0.0,0.0
N$_p$,-22.99774714779107,0.0,0.0
N$_p$,-22.99274714779107,0.0,0.0
N$_p$,-22.987747147791072,0.0,0.0
N$_p$,-22.982747147791073,0.0,0.0
N$_p$,-22.97774714779107,0.0,0.0
N$_p$,-22.972747147791072,0.0,0.0
N$_p$,-22.967747147791073,0.0,0.0
N$_p$,-22.96274714779107,0.0,0.0
N$_p$,-22.95774714779107,0.0,0.0
N$_p$,-22.952747147791072,0.0,0.0
N$_p$,-22.947747147791073,0.0,0.0
N$_p$,-22.94274714779107,0.0,0.0
N$_p$,-22.93774714779107,0.0,0.0
