#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS:  73  96
# Band-Index    1
   0.00000    -43.992940    -43.992939
   0.06375    -43.992856    -43.992855
   0.12750    -43.992614    -43.992613
   0.19125    -43.992224    -43.992223
   0.25500    -43.991703    -43.991702
   0.31875    -43.991078    -43.991076
   0.38250    -43.990378    -43.990378
   0.38250    -43.989471    -43.989472
   0.44651    -43.990235    -43.990234
   0.51052    -43.990973    -43.990972
   0.57453    -43.991630    -43.991628
   0.63854    -43.992179    -43.992178
   0.70255    -43.992595    -43.992593
   0.76656    -43.992852    -43.992851
   0.83057    -43.992940    -43.992939
   0.83057    -43.992940    -43.992939
   0.88867    -43.992938    -43.992937
   0.94678    -43.992939    -43.992938
   1.00488    -43.992940    -43.992939
   1.06298    -43.992937    -43.992936
   1.12108    -43.992935    -43.992934
   1.17918    -43.992936    -43.992934
   1.23728    -43.992935    -43.992933
   1.29538    -43.992933    -43.992932
   1.29538    -43.988464    -43.988464
   1.35303    -43.988641    -43.988640
   1.41067    -43.989047    -43.989046
   1.46831    -43.989534    -43.989532
   1.52595    -43.990047    -43.990046
   1.58359    -43.990558    -43.990557
   1.64123    -43.991050    -43.991049
   1.69887    -43.991510    -43.991509
   1.75651    -43.991922    -43.991920
   1.81415    -43.992275    -43.992273
   1.87179    -43.992560    -43.992559
   1.92943    -43.992768    -43.992767
   1.98707    -43.992896    -43.992895
   2.04471    -43.992940    -43.992939
   2.04471    -43.992940    -43.992939
   2.10329    -43.992904    -43.992903
   2.16187    -43.992798    -43.992797
   2.22045    -43.992624    -43.992623
   2.27902    -43.992384    -43.992383
   2.33760    -43.992087    -43.992086
   2.39618    -43.991736    -43.991735
   2.45475    -43.991337    -43.991335
   2.51333    -43.990901    -43.990900
   2.57191    -43.990438    -43.990437
   2.63049    -43.989956    -43.989955
   2.68906    -43.989473    -43.989474
   2.68906    -43.990374    -43.990374
   2.74379    -43.990761    -43.990760
   2.79851    -43.991136    -43.991135
   2.85323    -43.991484    -43.991483
   2.90796    -43.991802    -43.991801
   2.96268    -43.992091    -43.992090
   3.01741    -43.992342    -43.992341
   3.07213    -43.992553    -43.992552
   3.12685    -43.992721    -43.992720
   3.18158    -43.992840    -43.992839
   3.23630    -43.992914    -43.992913
   3.29103    -43.992940    -43.992939
   3.29103    -43.992940    -43.992939
   3.34994    -43.992866    -43.992865
   3.40885    -43.992653    -43.992652
   3.46776    -43.992308    -43.992306
   3.52668    -43.991845    -43.991844
   3.58559    -43.991289    -43.991288
   3.64450    -43.990663    -43.990662
   3.70342    -43.989998    -43.989997
   3.76233    -43.989336    -43.989335
   3.82124    -43.988749    -43.988748
   3.88016    -43.988460    -43.988460
 
# Band-Index    2
   3.88016    -43.988454    -43.988451
   3.82124    -43.988433    -43.988431
   3.76233    -43.988367    -43.988366
   3.70342    -43.988252    -43.988251
   3.64450    -43.988082    -43.988080
   3.58559    -43.987856    -43.987855
   3.52668    -43.987584    -43.987583
   3.46776    -43.987277    -43.987275
   3.40885    -43.986947    -43.986946
   3.34994    -43.986618    -43.986617
   3.29103    -43.986347    -43.986346
   3.29103    -43.986347    -43.986346
   3.23630    -43.986587    -43.986586
   3.18158    -43.986888    -43.986887
   3.12685    -43.987218    -43.987217
   3.07213    -43.987574    -43.987573
   3.01741    -43.987947    -43.987945
   2.96268    -43.988335    -43.988334
   2.90796    -43.988738    -43.988737
   2.85323    -43.989147    -43.989146
   2.79851    -43.989561    -43.989559
   2.74379    -43.989971    -43.989970
   2.68906    -43.990369    -43.990368
   2.68906    -43.989459    -43.989456
   2.63049    -43.988974    -43.988973
   2.57191    -43.988495    -43.988494
   2.51333    -43.988037    -43.988036
   2.45475    -43.987614    -43.987612
   2.39618    -43.987235    -43.987234
   2.33760    -43.986914    -43.986913
   2.27902    -43.986668    -43.986667
   2.22045    -43.986503    -43.986502
   2.16187    -43.986407    -43.986406
   2.10329    -43.986360    -43.986360
   2.04471    -43.986347    -43.986346
   2.04471    -43.986347    -43.986346
   1.98707    -43.986546    -43.986545
   1.92943    -43.986795    -43.986794
   1.87179    -43.987050    -43.987049
   1.81415    -43.987302    -43.987301
   1.75651    -43.987543    -43.987543
   1.69887    -43.987763    -43.987762
   1.64123    -43.987954    -43.987953
   1.58359    -43.988117    -43.988116
