Label,Energy (eV),Density (Spin Up) (states/eV),Density (Spin Down) (states/eV)
P$_p$,-23.97787656993219,0.0,0.0
P$_p$,-23.97287656993219,0.0,0.0
P$_p$,-23.967876569932187,0.0,0.0
P$_p$,-23.962876569932188,0.0,0.0
P$_p$,-23.95787656993219,0.0,0.0
P$_p$,-23.95287656993219,0.0,0.0
P$_p$,-23.947876569932188,0.0,0.0
P$_p$,-23.94287656993219,0.0,0.0
P$_p$,-23.93787656993219,0.0,0.0
P$_p$,-23.932876569932187,0.0,0.0
P$_p$,-23.927876569932188,0.0,0.0
P$_p$,-23.92287656993219,0.0,0.0
P$_p$,-23.91787656993219,0.0,0.0
P$_p$,-23.912876569932187,0.0,0.0
P$_p$,-23.90787656993219,0.0,0.0
P$_p$,-23.90287656993219,0.0,0.0
P$_p$,-23.89787656993219,0.0,0.0
P$_p$,-23.892876569932188,0.0,0.0
P$_p$,-23.88787656993219,0.0,0.0
P$_p$,-23.88287656993219,0.0,0.0
P$_p$,-23.877876569932187,0.0,0.0
P$_p$,-23.87287656993219,0.0,0.0
P$_p$,-23.86787656993219,0.0,0.0
P$_p$,-23.86287656993219,0.0,0.0
P$_p$,-23.857876569932188,0.0,0.0
P$_p$,-23.85287656993219,0.0,0.0
P$_p$,-23.84787656993219,0.0,0.0
P$_p$,-23.842876569932187,0.0,0.0
P$_p$,-23.837876569932188,0.0,0.0
P$_p$,-23.83287656993219,0.0,0.0
P$_p$,-23.82787656993219,0.0,0.0
P$_p$,-23.822876569932188,0.0,0.0
P$_p$,-23.81787656993219,0.0,0.0
P$_p$,-23.81287656993219,0.0,0.0
P$_p$,-23.807876569932187,0.0,0.0
P$_p$,-23.802876569932188,0.0,0.0
P$_p$,-23.79787656993219,0.0,0.0
P$_p$,-23.79287656993219,0.0,0.0
P$_p$,-23.787876569932187,0.0,0.0
P$_p$,-23.78287656993219,0.0,0.0
P$_p$,-23.77787656993219,0.0,0.0
P$_p$,-23.77287656993219,0.0,0.0
P$_p$,-23.767876569932188,0.0,0.0
