#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 100  96
# Band-Index    1
   0.00000    -42.229934    -42.229934
   0.06276    -42.229596    -42.229596
   0.12551    -42.228600    -42.228600
   0.18827    -42.226977    -42.226977
   0.25102    -42.224789    -42.224789
   0.31378    -42.222125    -42.222125
   0.37653    -42.219084    -42.219084
   0.43929    -42.216302    -42.216302
   0.43929    -42.216302    -42.216302
   0.49593    -42.216103    -42.216102
   0.55257    -42.215505    -42.215505
   0.60921    -42.214530    -42.214530
   0.66586    -42.213205    -42.213205
   0.72250    -42.211571    -42.211571
   0.77914    -42.209683    -42.209683
   0.83579    -42.207600    -42.207600
   0.89243    -42.205407    -42.205407
   0.94907    -42.203547    -42.203547
   0.94907    -42.203547    -42.203547
   1.01183    -42.204671    -42.204671
   1.07458    -42.206395    -42.206395
   1.13734    -42.208024    -42.208024
   1.20009    -42.209406    -42.209406
   1.26285    -42.210448    -42.210448
   1.32560    -42.211095    -42.211095
   1.38836    -42.211314    -42.211314
   1.38836    -42.211314    -42.211314
   1.44500    -42.214532    -42.214532
   1.50164    -42.217674    -42.217674
   1.55828    -42.220620    -42.220620
   1.61493    -42.223281    -42.223281
   1.67157    -42.225579    -42.225579
   1.72821    -42.227443    -42.227443
   1.78486    -42.228812    -42.228812
   1.84150    -42.229650    -42.229650
   1.89814    -42.229934    -42.229934
   1.89814    -42.229934    -42.229934
   1.95371    -42.229796    -42.229797
   2.00929    -42.229391    -42.229392
   2.06486    -42.228722    -42.228722
   2.12043    -42.227793    -42.227793
   2.17600    -42.226627    -42.226627
   2.23157    -42.225238    -42.225238
   2.28715    -42.223642    -42.223642
   2.34272    -42.221865    -42.221865
   2.39829    -42.219936    -42.219936
   2.45386    -42.217880    -42.217880
   2.50943    -42.215729    -42.215730
   2.56501    -42.213514    -42.213515
   2.62058    -42.211290    -42.211290
   2.62058    -42.211290    -42.211290
   2.68333    -42.211071    -42.211071
   2.74609    -42.210423    -42.210423
   2.80884    -42.209381    -42.209381
   2.87160    -42.208007    -42.208007
   2.93435    -42.206382    -42.206382
   2.99711    -42.204657    -42.204657
   3.05986    -42.203535    -42.203535
   3.05986    -42.203535    -42.203535
   3.11544    -42.204718    -42.204718
   3.17101    -42.206238    -42.206238
   3.22658    -42.207748    -42.207748
   3.28215    -42.209201    -42.209201
   3.33772    -42.210568    -42.210568
   3.39330    -42.211827    -42.211826
   3.44887    -42.212959    -42.212959
   3.50444    -42.213951    -42.213951
   3.56001    -42.214783    -42.214783
   3.61558    -42.215438    -42.215438
   3.67116    -42.215915    -42.215915
   3.72673    -42.216205    -42.216205
   3.78230    -42.216302    -42.216302
   3.78230    -42.216302    -42.216302
   3.83945    -42.216300    -42.216300
   3.89660    -42.216298    -42.216298
   3.95375    -42.216297    -42.216297
   4.01089    -42.216291    -42.216291
   4.06804    -42.216286    -42.216286
   4.12519    -42.216284    -42.216284
   4.18234    -42.216280    -42.216279
   4.23949    -42.216277    -42.216277
   4.29663    -42.216278    -42.216278
   4.29663    -42.216278    -42.216278
   4.35939    -42.219061    -42.219061
   4.42215    -42.222095    -42.222095
   4.48490    -42.224761    -42.224761
   4.54766    -42.226947    -42.226947
   4.61041    -42.228569    -42.228569
   4.67317    -42.229566    -42.229566
   4.73592    -42.229902    -42.229902
   4.73592    -42.229902    -42.229902
   4.79307    -42.229902    -42.229902
   4.85022    -42.229905    -42.229905
   4.90737    -42.229909    -42.229909
   4.96451    -42.229913    -42.229913
   5.02166    -42.229919    -42.229919
   5.07881    -42.229925    -42.229925
   5.13596    -42.229930    -42.229930
   5.19311    -42.229931    -42.229931
   5.25026    -42.229934    -42.229934
 
# Band-Index    2
   5.25026    -42.195495    -42.195495
   5.19311    -42.195494    -42.195494
   5.13596    -42.195492    -42.195492
   5.07881    -42.195490    -42.195490
   5.02166    -42.195489    -42.195489
   4.96451    -42.195489    -42.195489
   4.90737    -42.195489    -42.195489
   4.85022    -42.195490    -42.195490
   4.79307    -42.195491    -42.195491
   4.73592    -42.195490    -42.195490
   4.73592    -42.195490    -42.195490
   4.67317    -42.196571    -42.196571
   4.61041    -42.198923    -42.198923
   4.54766    -42.201848    -42.201848
   4.48490    -42.205113    -42.205113
   4.42215    -42.208572    -42.208572
   4.35939    -42.212094    -42.212094
