Label,Energy (eV),Density (Spin Up) (states/eV),Density (Spin Down) (states/eV)
N$_p$,-24.81792372369219,0.0,0.0
N$_p$,-24.812923723692187,0.0,0.0
N$_p$,-24.807923723692184,0.0,0.0
N$_p$,-24.80292372369219,0.0,0.0
N$_p$,-24.797923723692186,0.0,0.0
N$_p$,-24.79292372369219,0.0,0.0
N$_p$,-24.787923723692188,0.0,0.0
N$_p$,-24.782923723692186,0.0,0.0
N$_p$,-24.77792372369219,0.0,0.0
N$_p$,-24.772923723692188,0.0,0.0
N$_p$,-24.767923723692185,0.0,0.0
N$_p$,-24.76292372369219,0.0,0.0
N$_p$,-24.757923723692187,0.0,0.0
N$_p$,-24.752923723692184,0.0,0.0
N$_p$,-24.74792372369219,0.0,0.0
N$_p$,-24.742923723692186,0.0,0.0
N$_p$,-24.73792372369219,0.0,0.0
N$_p$,-24.73292372369219,0.0,0.0
N$_p$,-24.727923723692186,0.0,0.0
N$_p$,-24.72292372369219,0.0,0.0
N$_p$,-24.717923723692188,0.0,0.0
N$_p$,-24.712923723692185,0.0,0.0
N$_p$,-24.70792372369219,0.0,0.0
N$_p$,-24.702923723692187,0.0,0.0
N$_p$,-24.697923723692185,0.0,0.0
N$_p$,-24.69292372369219,0.0,0.0
N$_p$,-24.687923723692187,0.0,0.0
N$_p$,-24.682923723692184,0.0,0.0
N$_p$,-24.67792372369219,0.0,0.0
N$_p$,-24.672923723692186,0.0,0.0
N$_p$,-24.66792372369219,0.0,0.0
N$_p$,-24.662923723692188,0.0,0.0
N$_p$,-24.657923723692186,0.0,0.0
N$_p$,-24.65292372369219,0.0,0.0
N$_p$,-24.647923723692188,0.0,0.0
N$_p$,-24.642923723692185,0.0,0.0
N$_p$,-24.63792372369219,0.0,0.0
N$_p$,-24.632923723692187,0.0,0.0
N$_p$,-24.627923723692184,0.0,0.0
N$_p$,-24.62292372369219,0.0,0.0
N$_p$,-24.617923723692186,0.0,0.0
N$_p$,-24.61292372369219,0.0,0.0
N$_p$,-24.60792372369219,0.0,0.0
N$_p$,-24.602923723692186,0.0,0.0
N$_p$,-24.59792372369219,0.0,0.0
N$_p$,-24.592923723692188,0.0,0.0
