#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS:  86  96
# Band-Index    1
   0.00000    -44.086565    -44.086567
   0.06188    -44.086512    -44.086514
   0.12377    -44.086356    -44.086358
   0.18565    -44.086103    -44.086105
   0.24754    -44.085769    -44.085771
   0.30942    -44.085370    -44.085372
   0.37130    -44.084920    -44.084921
   0.37130    -44.084920    -44.084921
   0.43286    -44.084883    -44.084884
   0.49441    -44.084773    -44.084774
   0.55596    -44.084595    -44.084596
   0.61752    -44.084357    -44.084358
   0.67907    -44.084076    -44.084077
   0.74063    -44.083776    -44.083777
   0.80218    -44.083573    -44.083573
   0.80218    -44.083573    -44.083573
   0.86406    -44.083711    -44.083712
   0.92595    -44.083933    -44.083933
   0.98783    -44.084135    -44.084136
   1.04972    -44.084292    -44.084293
   1.11160    -44.084393    -44.084394
   1.17348    -44.084427    -44.084428
   1.17348    -44.084427    -44.084428
   1.23504    -44.084902    -44.084904
   1.29659    -44.085354    -44.085356
   1.35814    -44.085760    -44.085762
   1.41970    -44.086101    -44.086102
   1.48125    -44.086354    -44.086356
   1.54281    -44.086511    -44.086513
   1.60436    -44.086565    -44.086567
   1.60436    -44.086565    -44.086567
   1.66103    -44.086542    -44.086544
   1.71769    -44.086478    -44.086480
   1.77436    -44.086372    -44.086374
   1.83103    -44.086224    -44.086225
   1.88769    -44.086040    -44.086041
   1.94436    -44.085823    -44.085825
   2.00103    -44.085578    -44.085579
   2.05769    -44.085310    -44.085312
   2.11436    -44.085026    -44.085028
   2.17103    -44.084726    -44.084728
   2.22769    -44.084422    -44.084423
   2.22769    -44.084422    -44.084423
   2.28958    -44.084388    -44.084388
   2.35146    -44.084289    -44.084290
   2.41334    -44.084134    -44.084135
   2.47523    -44.083931    -44.083932
   2.53711    -44.083710    -44.083711
   2.59900    -44.083572    -44.083572
   2.59900    -44.083572    -44.083572
   2.65566    -44.083674    -44.083675
   2.71233    -44.083856    -44.083857
   2.76900    -44.084047    -44.084048
   2.82566    -44.084232    -44.084233
   2.88233    -44.084402    -44.084403
   2.93899    -44.084554    -44.084555
   2.99566    -44.084682    -44.084683
   3.05233    -44.084784    -44.084785
   3.10899    -44.084859    -44.084860
   3.16566    -44.084905    -44.084906
   3.22233    -44.084920    -44.084921
   3.22233    -44.084920    -44.084921
   3.27906    -44.084920    -44.084921
   3.33579    -44.084919    -44.084920
   3.39252    -44.084919    -44.084920
   3.44925    -44.084918    -44.084919
   3.50598    -44.084918    -44.084919
   3.56272    -44.084918    -44.084918
   3.61945    -44.084917    -44.084918
   3.67618    -44.084917    -44.084918
   3.67618    -44.084917    -44.084918
   3.73806    -44.085362    -44.085364
   3.79995    -44.085764    -44.085766
   3.86183    -44.086101    -44.086103
   3.92371    -44.086351    -44.086352
   3.98560    -44.086507    -44.086508
   4.04748    -44.086561    -44.086562
   4.04748    -44.086561    -44.086562
   4.10421    -44.086561    -44.086562
   4.16094    -44.086560    -44.086562
   4.21767    -44.086562    -44.086564
   4.27441    -44.086562    -44.086564
   4.33114    -44.086562    -44.086564
   4.38787    -44.086563    -44.086565
   4.44460    -44.086564    -44.086566
   4.50133    -44.086565    -44.086567
 
# Band-Index    2
   4.50133    -44.082474    -44.082476
   4.44460    -44.082472    -44.082474
   4.38787    -44.082471    -44.082472
   4.33114    -44.082472    -44.082474
   4.27441    -44.082474    -44.082476
   4.21767    -44.082475    -44.082477
   4.16094    -44.082475    -44.082477
   4.10421    -44.082475    -44.082477
   4.04748    -44.082475    -44.082477
   4.04748    -44.082475    -44.082477
   3.98560    -44.082707    -44.082709
   3.92371    -44.083076    -44.083077
   3.86183    -44.083498    -44.083500
   3.79995    -44.083962    -44.083964
   3.73806    -44.084441    -44.084443
   3.67618    -44.084914    -44.084916
   3.67618    -44.084914    -44.084916
   3.61945    -44.084914    -44.084916
   3.56272    -44.084914    -44.084917
   3.50598    -44.084915    -44.084918
   3.44925    -44.084915    -44.084918
   3.39252    -44.084915    -44.084918
   3.33579    -44.084916    -44.084919
   3.27906    -44.084917    -44.084920
   3.22233    -44.084917    -44.084920
   3.22233    -44.084917    -44.084920
   3.16566    -44.084902    -44.084905
   3.10899    -44.084856    -44.084858
   3.05233    -44.084781    -44.084783
   2.99566    -44.084679    -44.084682
   2.93899    -44.084551    -44.084554
   2.88233    -44.084399    -44.084402
   2.82566    -44.084229    -44.084231
   2.76900    -44.084044    -44.084046
   2.71233    -44.083853    -44.083856
   2.65566    -44.083671    -44.083674
   2.59900    -44.083569    -44.083572
   2.59900    -44.083569    -44.083572
   2.53711    -44.083708    -44.083711
   2.47523    -44.083929    -44.083931
   2.41334    -44.084132    -44.084135
   2.35146    -44.084288    -44.084290
   2.28958    -44.084386    -44.084388
   2.22769    -44.084421    -44.084423
   2.22769    -44.084421    -44.084423
   2.17103    -44.084117    -44.084118
   2.11436    -44.083819    -44.083820
   2.05769    -44.083532    -44.083534
   2.00103    -44.083264    -44.083266
   1.94436    -44.083019    -44.083020
   1.88769    -44.082801    -44.082803
   1.83103    -44.082616    -44.082618
   1.77436    -44.082469    -44.082471
   1.71769    -44.082466    -44.082468
   1.66103    -44.082471    -44.082472
   1.60436    -44.082474    -44.082476
   1.60436    -44.082474    -44.082476
   1.54281    -44.082468    -44.082470
   1.48125    -44.082488    -44.082489
   1.41970    -44.082745    -44.082747
   1.35814    -44.083085    -44.083086
   1.29659    -44.083492    -44.083494
   1.23504    -44.083948    -44.083949
   1.17348    -44.084426    -44.084428
   1.17348    -44.084426    -44.084428
   1.11160    -44.084391    -44.084394
   1.04972    -44.084291    -44.084293
   0.98783    -44.084133    -44.084136
   0.92595    -44.083931    -44.083933
   0.86406    -44.083710    -44.083712
   0.80218    -44.083570    -44.083573
   0.80218    -44.083570    -44.083573
   0.74063    -44.083773    -44.083775
   0.67907    -44.084073    -44.084076
   0.61752    -44.084354    -44.084356
   0.55596    -44.084592    -44.084595
   0.49441    -44.084770    -44.084773
   0.43286    -44.084880    -44.084883
   0.37130    -44.084917    -44.084920
   0.37130    -44.084917    -44.084920
   0.30942    -44.084443    -44.084445
   0.24754    -44.083964    -44.083966
   0.18565    -44.083500    -44.083502
   0.12377    -44.083074    -44.083076
   0.06188    -44.082706    -44.082708
   0.00000    -44.082474    -44.082476
 
