Label,Energy (eV),Density (Spin Up) (states/eV),Density (Spin Down) (states/eV)
P$_p$,-24.38281942565625,0.0,0.0
P$_p$,-24.377819425656252,0.0,0.0
P$_p$,-24.37281942565625,0.0,0.0
P$_p$,-24.36781942565625,0.0,0.0
P$_p$,-24.36281942565625,0.0,0.0
P$_p$,-24.357819425656253,0.0,0.0
P$_p$,-24.35281942565625,0.0,0.0
P$_p$,-24.34781942565625,0.0,0.0
P$_p$,-24.342819425656252,0.0,0.0
P$_p$,-24.33781942565625,0.0,0.0
P$_p$,-24.33281942565625,0.0,0.0
P$_p$,-24.32781942565625,0.0,0.0
P$_p$,-24.322819425656252,0.0,0.0
P$_p$,-24.31781942565625,0.0,0.0
P$_p$,-24.31281942565625,0.0,0.0
P$_p$,-24.307819425656252,0.0,0.0
P$_p$,-24.302819425656253,0.0,0.0
P$_p$,-24.29781942565625,0.0,0.0
P$_p$,-24.29281942565625,0.0,0.0
P$_p$,-24.287819425656252,0.0,0.0
P$_p$,-24.28281942565625,0.0,0.0
P$_p$,-24.27781942565625,0.0,0.0
P$_p$,-24.27281942565625,0.0,0.0
P$_p$,-24.267819425656253,0.0,0.0
P$_p$,-24.26281942565625,0.0,0.0
P$_p$,-24.25781942565625,0.0,0.0
P$_p$,-24.252819425656252,0.0,0.0
P$_p$,-24.24781942565625,0.0,0.0
P$_p$,-24.24281942565625,0.0,0.0
P$_p$,-24.23781942565625,0.0,0.0
P$_p$,-24.232819425656253,0.0,0.0
P$_p$,-24.22781942565625,0.0,0.0
P$_p$,-24.22281942565625,0.0,0.0
P$_p$,-24.217819425656252,0.0,0.0
P$_p$,-24.21281942565625,0.0,0.0
P$_p$,-24.20781942565625,0.0,0.0
P$_p$,-24.20281942565625,0.0,0.0
P$_p$,-24.197819425656252,0.0,0.0
P$_p$,-24.19281942565625,0.0,0.0
P$_p$,-24.18781942565625,0.0,0.0
P$_p$,-24.182819425656252,0.0,0.0
P$_p$,-24.177819425656253,0.0,0.0
P$_p$,-24.17281942565625,0.0,0.0
P$_p$,-24.16781942565625,0.0,0.0
P$_p$,-24.162819425656252,0.0,0.0
P$_p$,-24.15781942565625,0.0,0.0
P$_p$,-24.15281942565625,0.0,0.0
P$_p$,-24.14781942565625,0.0,0.0
P$_p$,-24.142819425656253,0.0,0.0
P$_p$,-24.13781942565625,0.0,0.0
P$_p$,-24.13281942565625,0.0,0.0
P$_p$,-24.127819425656252,0.0,0.0
P$_p$,-24.12281942565625,0.0,0.0
P$_p$,-24.11781942565625,0.0,0.0
P$_p$,-24.11281942565625,0.0,0.0
P$_p$,-24.107819425656253,0.0,0.0
P$_p$,-24.10281942565625,0.0,0.0
P$_p$,-24.09781942565625,0.0,0.0
P$_p$,-24.092819425656252,0.0,0.0
P$_p$,-24.08781942565625,0.0,0.0
P$_p$,-24.08281942565625,0.0,0.0
P$_p$,-24.07781942565625,0.0,0.0
P$_p$,-24.072819425656252,0.0,0.0
P$_p$,-24.06781942565625,0.0,0.0
P$_p$,-24.06281942565625,0.0,0.0
P$_p$,-24.057819425656252,0.0,0.0
P$_p$,-24.052819425656253,0.0,0.0
P$_p$,-24.04781942565625,0.0,0.0
P$_p$,-24.04281942565625,0.0,0.0
P$_p$,-24.037819425656252,0.0,0.0
P$_p$,-24.03281942565625,0.0,0.0
P$_p$,-24.02781942565625,0.0,0.0
P$_p$,-24.02281942565625,0.0,0.0
P$_p$,-24.017819425656253,0.0,0.0
P$_p$,-24.01281942565625,0.0,0.0
P$_p$,-24.00781942565625,0.0,0.0
P$_p$,-24.002819425656252,0.0,0.0
P$_p$,-23.99781942565625,0.0,0.0
P$_p$,-23.99281942565625,0.0,0.0
P$_p$,-23.98781942565625,0.0,0.0
P$_p$,-23.982719425656253,0.0,0.0
P$_p$,-23.97771942565625,0.0,0.0
P$_p$,-23.97271942565625,0.0,0.0
P$_p$,-23.967719425656252,0.0,0.0
P$_p$,-23.96271942565625,0.0,0.0
P$_p$,-23.95771942565625,0.0,0.0
P$_p$,-23.95271942565625,0.0,0.0
P$_p$,-23.947719425656253,0.0,0.0
P$_p$,-23.94271942565625,0.0,0.0
P$_p$,-23.93771942565625,0.0,0.0
P$_p$,-23.932719425656252,0.0,0.0
P$_p$,-23.92771942565625,0.0,0.0
P$_p$,-23.92271942565625,0.0,0.0
P$_p$,-23.91771942565625,0.0,0.0
P$_p$,-23.912719425656253,0.0,0.0
P$_p$,-23.90771942565625,0.0,0.0
P$_p$,-23.90271942565625,0.0,0.0
P$_p$,-23.897719425656252,0.0,0.0
P$_p$,-23.89271942565625,0.0,0.0
P$_p$,-23.88771942565625,0.0,0.0
P$_p$,-23.88271942565625,0.0,0.0
P$_p$,-23.877719425656252,0.0,0.0
P$_p$,-23.87271942565625,0.0,0.0
P$_p$,-23.86771942565625,0.0,0.0
P$_p$,-23.862719425656252,0.0,0.0
P$_p$,-23.857719425656253,0.0,0.0
P$_p$,-23.85271942565625,0.0,0.0
P$_p$,-23.84771942565625,0.0,0.0
P$_p$,-23.842719425656252,0.0,0.0
P$_p$,-23.83771942565625,0.0,0.0
P$_p$,-23.83271942565625,0.0,0.0
P$_p$,-23.82771942565625,0.0,0.0
P$_p$,-23.822719425656253,0.0,0.0
P$_p$,-23.81771942565625,0.0,0.0
P$_p$,-23.81271942565625,0.0,0.0
P$_p$,-23.807719425656252,0.0,0.0
P$_p$,-23.80271942565625,0.0,0.0
P$_p$,-23.79771942565625,0.0,0.0
P$_p$,-23.79271942565625,0.0,0.0
P$_p$,-23.787719425656253,0.0,0.0
P$_p$,-23.78271942565625,0.0,0.0
P$_p$,-23.77771942565625,0.0,0.0
P$_p$,-23.772719425656252,0.0,0.0
P$_p$,-23.76771942565625,0.0,0.0
P$_p$,-23.76271942565625,0.0,0.0
P$_p$,-23.75771942565625,0.0,0.0
