Label,Energy (eV),Density (Spin Up) (states/eV),Density (Spin Down) (states/eV)
N$_p$,-23.902998433254645,0.0,0.0
N$_p$,-23.89799843325465,0.0,0.0
N$_p$,-23.892998433254647,0.0,0.0
N$_p$,-23.887998433254644,0.0,0.0
N$_p$,-23.88299843325465,0.0,0.0
N$_p$,-23.877998433254646,0.0,0.0
N$_p$,-23.872998433254644,0.0,0.0
N$_p$,-23.867998433254648,0.0,0.0
N$_p$,-23.862998433254646,0.0,0.0
N$_p$,-23.857998433254643,0.0,0.0
N$_p$,-23.852998433254648,0.0,0.0
N$_p$,-23.847998433254645,0.0,0.0
N$_p$,-23.84299843325465,0.0,0.0
N$_p$,-23.837998433254647,0.0,0.0
N$_p$,-23.832998433254645,0.0,0.0
N$_p$,-23.82799843325465,0.0,0.0
N$_p$,-23.822998433254646,0.0,0.0
N$_p$,-23.817998433254644,0.0,0.0
N$_p$,-23.81299843325465,0.0,0.0
N$_p$,-23.807998433254646,0.0,0.0
N$_p$,-23.802998433254643,0.0,0.0
N$_p$,-23.797998433254648,0.0,0.0
N$_p$,-23.792998433254645,0.0,0.0
N$_p$,-23.78799843325465,0.0,0.0
N$_p$,-23.782998433254647,0.0,0.0
N$_p$,-23.777998433254645,0.0,0.0
N$_p$,-23.77299843325465,0.0,0.0
N$_p$,-23.767998433254647,0.0,0.0
N$_p$,-23.762998433254644,0.0,0.0
N$_p$,-23.75799843325465,0.0,0.0
N$_p$,-23.752998433254646,0.0,0.0
N$_p$,-23.747998433254644,0.0,0.0
N$_p$,-23.742998433254648,0.0,0.0
N$_p$,-23.737998433254646,0.0,0.0
N$_p$,-23.732998433254643,0.0,0.0
N$_p$,-23.727998433254648,0.0,0.0
N$_p$,-23.722998433254645,0.0,0.0
N$_p$,-23.71799843325465,0.0,0.0
N$_p$,-23.712998433254647,0.0,0.0
N$_p$,-23.707998433254645,0.0,0.0
N$_p$,-23.70299843325465,0.0,0.0
N$_p$,-23.697998433254646,0.0,0.0
N$_p$,-23.692998433254644,0.0,0.0
N$_p$,-23.68799843325465,0.0,0.0
N$_p$,-23.682998433254646,0.0,0.0
N$_p$,-23.677998433254643,0.0,0.0
N$_p$,-23.672998433254648,0.0,0.0
N$_p$,-23.667998433254645,0.0,0.0
N$_p$,-23.66299843325465,0.0,0.0
N$_p$,-23.657998433254647,0.0,0.0
N$_p$,-23.652998433254645,0.0,0.0
N$_p$,-23.64799843325465,0.0,0.0
N$_p$,-23.642998433254647,0.0,0.0
N$_p$,-23.637998433254644,0.0,0.0
N$_p$,-23.63299843325465,0.0,0.0
N$_p$,-23.627998433254646,0.0,0.0
N$_p$,-23.622998433254644,0.0,0.0
N$_p$,-23.617998433254648,0.0,0.0
N$_p$,-23.612998433254646,0.0,0.0
N$_p$,-23.607998433254643,0.0,0.0
N$_p$,-23.602998433254648,0.0,0.0
N$_p$,-23.597998433254645,0.0,0.0
N$_p$,-23.59299843325465,0.0,0.0
N$_p$,-23.587998433254647,0.0,0.0
N$_p$,-23.582998433254645,0.0,0.0
N$_p$,-23.57799843325465,0.0,0.0
N$_p$,-23.572998433254646,0.0,0.0
N$_p$,-23.567998433254644,0.0,0.0
N$_p$,-23.56299843325465,0.0,0.0
N$_p$,-23.557998433254646,0.0,0.0
N$_p$,-23.552998433254643,0.0,0.0
N$_p$,-23.547998433254648,0.0,0.0
N$_p$,-23.542998433254645,0.0,0.0
N$_p$,-23.53799843325465,0.0,0.0
N$_p$,-23.532998433254647,0.0,0.0
