Label,Energy (eV),Density (Spin Up) (states/eV),Density (Spin Down) (states/eV)
P$_p$,-23.4671796437375,0.0,0.0
P$_p$,-23.4621796437375,0.0,0.0
P$_p$,-23.457179643737497,0.0,0.0
P$_p$,-23.452179643737498,0.0,0.0
P$_p$,-23.4471796437375,0.0,0.0
P$_p$,-23.4421796437375,0.0,0.0
P$_p$,-23.437179643737498,0.0,0.0
P$_p$,-23.4321796437375,0.0,0.0
P$_p$,-23.4271796437375,0.0,0.0
P$_p$,-23.422179643737497,0.0,0.0
P$_p$,-23.417179643737498,0.0,0.0
P$_p$,-23.4121796437375,0.0,0.0
P$_p$,-23.4071796437375,0.0,0.0
P$_p$,-23.402179643737497,0.0,0.0
P$_p$,-23.3971796437375,0.0,0.0
P$_p$,-23.3921796437375,0.0,0.0
P$_p$,-23.3871796437375,0.0,0.0
P$_p$,-23.382179643737498,0.0,0.0
P$_p$,-23.3771796437375,0.0,0.0
P$_p$,-23.3721796437375,0.0,0.0
P$_p$,-23.367179643737497,0.0,0.0
P$_p$,-23.3621796437375,0.0,0.0
P$_p$,-23.3571796437375,0.0,0.0
P$_p$,-23.3521796437375,0.0,0.0
P$_p$,-23.347179643737498,0.0,0.0
P$_p$,-23.3421796437375,0.0,0.0
P$_p$,-23.3371796437375,0.0,0.0
P$_p$,-23.332179643737497,0.0,0.0
P$_p$,-23.327179643737498,0.0,0.0
P$_p$,-23.3221796437375,0.0,0.0
P$_p$,-23.3171796437375,0.0,0.0
P$_p$,-23.312179643737498,0.0,0.0
P$_p$,-23.3071796437375,0.0,0.0
P$_p$,-23.3021796437375,0.0,0.0
P$_p$,-23.297179643737497,0.0,0.0
P$_p$,-23.292179643737498,0.0,0.0
P$_p$,-23.2871796437375,0.0,0.0
P$_p$,-23.2821796437375,0.0,0.0
P$_p$,-23.277179643737497,0.0,0.0
P$_p$,-23.2721796437375,0.0,0.0
P$_p$,-23.2671796437375,0.0,0.0
P$_p$,-23.2621796437375,0.0,0.0
P$_p$,-23.257179643737498,0.0,0.0
P$_p$,-23.2521796437375,0.0,0.0
P$_p$,-23.2471796437375,0.0,0.0
P$_p$,-23.242179643737497,0.0,0.0
P$_p$,-23.2371796437375,0.0,0.0
P$_p$,-23.2321796437375,0.0,0.0
P$_p$,-23.2271796437375,0.0,0.0
P$_p$,-23.222179643737498,0.0,0.0
P$_p$,-23.2171796437375,0.0,0.0
P$_p$,-23.2121796437375,0.0,0.0
P$_p$,-23.207179643737497,0.0,0.0
P$_p$,-23.202179643737498,0.0,0.0
P$_p$,-23.1971796437375,0.0,0.0
P$_p$,-23.1921796437375,0.0,0.0
P$_p$,-23.187179643737498,0.0,0.0
P$_p$,-23.1821796437375,0.0,0.0
P$_p$,-23.1771796437375,0.0,0.0
P$_p$,-23.172179643737497,0.0,0.0
P$_p$,-23.167179643737498,0.0,0.0
P$_p$,-23.1621796437375,0.0,0.0
P$_p$,-23.1571796437375,0.0,0.0
P$_p$,-23.152179643737497,0.0,0.0
