Label,Energy (eV),Density (Spin Up) (states/eV),Density (Spin Down) (states/eV)
N$_p$,-23.72291989267,0.0,0.0
N$_p$,-23.71791989267,0.0,0.0
N$_p$,-23.712919892669998,0.0,0.0
N$_p$,-23.70791989267,0.0,0.0
N$_p$,-23.70291989267,0.0,0.0
N$_p$,-23.69791989267,0.0,0.0
N$_p$,-23.692919892669998,0.0,0.0
N$_p$,-23.68791989267,0.0,0.0
N$_p$,-23.68291989267,0.0,0.0
N$_p$,-23.677919892669998,0.0,0.0
N$_p$,-23.67291989267,0.0,0.0
N$_p$,-23.66791989267,0.0,0.0
N$_p$,-23.66291989267,0.0,0.0
N$_p$,-23.657919892669998,0.0,0.0
N$_p$,-23.65291989267,0.0,0.0
N$_p$,-23.64791989267,0.0,0.0
N$_p$,-23.64291989267,0.0,0.0
N$_p$,-23.63791989267,0.0,0.0
N$_p$,-23.63291989267,0.0,0.0
N$_p$,-23.62791989267,0.0,0.0
N$_p$,-23.622919892669998,0.0,0.0
N$_p$,-23.61791989267,0.0,0.0
N$_p$,-23.61291989267,0.0,0.0
N$_p$,-23.60791989267,0.0,0.0
N$_p$,-23.60291989267,0.0,0.0
N$_p$,-23.59791989267,0.0,0.0
N$_p$,-23.59291989267,0.0,0.0
N$_p$,-23.587919892669998,0.0,0.0
N$_p$,-23.58291989267,0.0,0.0
N$_p$,-23.57791989267,0.0,0.0
N$_p$,-23.57291989267,0.0,0.0
N$_p$,-23.567919892669998,0.0,0.0
N$_p$,-23.56291989267,0.0,0.0
N$_p$,-23.55791989267,0.0,0.0
N$_p$,-23.552919892669998,0.0,0.0
N$_p$,-23.54791989267,0.0,0.0
N$_p$,-23.54291989267,0.0,0.0
N$_p$,-23.53791989267,0.0,0.0
N$_p$,-23.532919892669998,0.0,0.0
N$_p$,-23.52791989267,0.0,0.0
N$_p$,-23.52291989267,0.0,0.0
N$_p$,-23.51791989267,0.0,0.0
N$_p$,-23.51291989267,0.0,0.0
N$_p$,-23.50791989267,0.0,0.0
N$_p$,-23.50291989267,0.0,0.0
N$_p$,-23.497919892669998,0.0,0.0
N$_p$,-23.49291989267,0.0,0.0
N$_p$,-23.48791989267,0.0,0.0
N$_p$,-23.48291989267,0.0,0.0
N$_p$,-23.47791989267,0.0,0.0
N$_p$,-23.47291989267,0.0,0.0
N$_p$,-23.46791989267,0.0,0.0
N$_p$,-23.462919892669998,0.0,0.0
N$_p$,-23.45791989267,0.0,0.0
N$_p$,-23.45291989267,0.0,0.0
N$_p$,-23.44791989267,0.0,0.0
N$_p$,-23.442919892669998,0.0,0.0
N$_p$,-23.43791989267,0.0,0.0
N$_p$,-23.43291989267,0.0,0.0
N$_p$,-23.427919892669998,0.0,0.0
N$_p$,-23.42291989267,0.0,0.0
N$_p$,-23.41791989267,0.0,0.0
N$_p$,-23.41291989267,0.0,0.0
N$_p$,-23.407919892669998,0.0,0.0
N$_p$,-23.40291989267,0.0,0.0
N$_p$,-23.39791989267,0.0,0.0
N$_p$,-23.39291989267,0.0,0.0
N$_p$,-23.38791989267,0.0,0.0
N$_p$,-23.38291989267,0.0,0.0
N$_p$,-23.37791989267,0.0,0.0
N$_p$,-23.372919892669998,0.0,0.0
N$_p$,-23.36791989267,0.0,0.0
N$_p$,-23.36291989267,0.0,0.0
N$_p$,-23.35791989267,0.0,0.0
N$_p$,-23.35291989267,0.0,0.0
N$_p$,-23.34791989267,0.0,0.0
N$_p$,-23.34291989267,0.0,0.0
N$_p$,-23.337919892669998,0.0,0.0
N$_p$,-23.33291989267,0.0,0.0
N$_p$,-23.32791989267,0.0,0.0
N$_p$,-23.32281989267,0.0,0.0
N$_p$,-23.31781989267,0.0,0.0
N$_p$,-23.31281989267,0.0,0.0
N$_p$,-23.30781989267,0.0,0.0
N$_p$,-23.302819892669998,0.0,0.0
N$_p$,-23.29781989267,0.0,0.0
N$_p$,-23.29281989267,0.0,0.0
N$_p$,-23.28781989267,0.0,0.0
