#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS:  71  96
# Band-Index    1
   0.00000    -37.584204    -37.584209
   0.06375    -37.584201    -37.584205
   0.12750    -37.584203    -37.584207
   0.19125    -37.584201    -37.584205
   0.25500    -37.584200    -37.584204
   0.31876    -37.584203    -37.584207
   0.38251    -37.584201    -37.584205
   0.44626    -37.584206    -37.584210
   0.44626    -37.577671    -37.577675
   0.50864    -37.579459    -37.579464
   0.57102    -37.581056    -37.581060
   0.63340    -37.582383    -37.582387
   0.69579    -37.583379    -37.583383
   0.75817    -37.583996    -37.584000
   0.82055    -37.584204    -37.584208
   0.82055    -37.584204    -37.584208
   0.88339    -37.583979    -37.583984
   0.94622    -37.583316    -37.583320
   1.00906    -37.582243    -37.582247
   1.07190    -37.580816    -37.580821
   1.13474    -37.579112    -37.579116
   1.19757    -37.577213    -37.577217
   1.26041    -37.575222    -37.575226
   1.26041    -37.572689    -37.572693
   1.31647    -37.573158    -37.573163
   1.37253    -37.574204    -37.574208
   1.42858    -37.575454    -37.575459
   1.48464    -37.576772    -37.576776
   1.54070    -37.578089    -37.578093
   1.59676    -37.579353    -37.579357
   1.65282    -37.580533    -37.580537
   1.70888    -37.581591    -37.581595
   1.76493    -37.582496    -37.582500
   1.82099    -37.583228    -37.583232
   1.87705    -37.583765    -37.583769
   1.93311    -37.584092    -37.584096
   1.98917    -37.584204    -37.584208
   1.98917    -37.584204    -37.584208
   2.04692    -37.584019    -37.584023
   2.10468    -37.583470    -37.583475
   2.16243    -37.582582    -37.582586
   2.22019    -37.581394    -37.581399
   2.27794    -37.579963    -37.579967
   2.33570    -37.578352    -37.578356
   2.39346    -37.576644    -37.576648
   2.45121    -37.574944    -37.574948
   2.50897    -37.573436    -37.573441
   2.56672    -37.572692    -37.572697
   2.56672    -37.575216    -37.575219
   2.62357    -37.576487    -37.576492
   2.68041    -37.577738    -37.577742
   2.73726    -37.578938    -37.578942
   2.79410    -37.580064    -37.580068
   2.85095    -37.581092    -37.581096
   2.90779    -37.582002    -37.582006
   2.96464    -37.582773    -37.582777
   3.02148    -37.583390    -37.583394
   3.07833    -37.583838    -37.583842
   3.13517    -37.584111    -37.584115
   3.19202    -37.584204    -37.584209
   3.19202    -37.584204    -37.584208
   3.25026    -37.584126    -37.584130
   3.30850    -37.583903    -37.583907
   3.36675    -37.583533    -37.583537
   3.42499    -37.583020    -37.583025
   3.48324    -37.582378    -37.582383
   3.54148    -37.581618    -37.581623
   3.59973    -37.580754    -37.580758
   3.65797    -37.579797    -37.579802
   3.71621    -37.578763    -37.578767
   3.77446    -37.577675    -37.577679
 
# Band-Index    2
   3.77446    -37.577668    -37.577672
   3.71621    -37.576537    -37.576542
   3.65797    -37.575380    -37.575385
   3.59973    -37.574221    -37.574226
   3.54148    -37.573071    -37.573075
   3.48324    -37.571952    -37.571957
   3.42499    -37.570878    -37.570882
   3.36675    -37.569860    -37.569864
   3.30850    -37.568918    -37.568922
   3.25026    -37.568067    -37.568071
   3.19202    -37.567487    -37.567492
   3.19202    -37.567487    -37.567492
   3.13517    -37.567515    -37.567519
   3.07833    -37.567604    -37.567609
   3.02148    -37.567791    -37.567795
   2.96464    -37.568141    -37.568145
   2.90779    -37.568708    -37.568712
   2.85095    -37.569491    -37.569495
   2.79410    -37.570444    -37.570448
   2.73726    -37.571527    -37.571531
   2.68041    -37.572706    -37.572710
   2.62357    -37.573943    -37.573947
   2.56672    -37.575211    -37.575216
   2.56672    -37.572690    -37.572694
   2.50897    -37.572639    -37.572643
   2.45121    -37.572481    -37.572485
   2.39346    -37.572199    -37.572203
   2.33570    -37.571774    -37.571778
   2.27794    -37.571208    -37.571212
   2.22019    -37.570519    -37.570524
   2.16243    -37.569734    -37.569738
   2.10468    -37.568900    -37.568904
   2.04692    -37.568076    -37.568080
   1.98917    -37.567487    -37.567492
   1.98917    -37.567487    -37.567492
   1.93311    -37.567896    -37.567900
   1.87705    -37.568513    -37.568518
   1.82099    -37.569160    -37.569164
   1.76493    -37.569799    -37.569803
   1.70888    -37.570403    -37.570408
   1.65282    -37.570958    -37.570962
   1.59676    -37.571443    -37.571447
   1.54070    -37.571847    -37.571851
   1.48464    -37.572169    -37.572173
   1.42858    -37.572407    -37.572411
   1.37253    -37.572567    -37.572571
   1.31647    -37.572659    -37.572663
   1.26041    -37.572687    -37.572691
   1.26041    -37.575217    -37.575222
   1.19757    -37.573231    -37.573235
   1.13474    -37.571367    -37.571371
   1.07190    -37.569743    -37.569748
   1.00906    -37.568520    -37.568525
   0.94622    -37.567829    -37.567833
   0.88339    -37.567556    -37.567560
   0.82055    -37.567487    -37.567492
   0.82055    -37.567487    -37.567492
   0.75817    -37.568623    -37.568627
   0.69579    -37.570192    -37.570196
   0.63340    -37.571949    -37.571953
   0.57102    -37.573833    -37.573837
   0.50864    -37.575768    -37.575773
   0.44626    -37.577665    -37.577669
   0.44626    -37.567502    -37.567507
   0.38251    -37.567501    -37.567505
   0.31876    -37.567498    -37.567502
   0.25500    -37.567494    -37.567498
   0.19125    -37.567494    -37.567498
   0.12750    -37.567493    -37.567497
   0.06375    -37.567490    -37.567494
   0.00000    -37.567487    -37.567492
 
# Band-Index    3
   0.00000    -37.567004    -37.567008
   0.06375    -37.567006    -37.567011
   0.12750    -37.567009    -37.567014
   0.19125    -37.567011    -37.567015
   0.25500    -37.567012    -37.567016
   0.31876    -37.567016    -37.567020
   0.38251    -37.567020    -37.567024
   0.44626    -37.567021    -37.567025
   0.44626    -37.564457    -37.564461
   0.50864    -37.564640    -37.564645
   0.57102    -37.564882    -37.564886
   0.63340    -37.565132    -37.565136
   0.69579    -37.565347    -37.565351
   0.75817    -37.566133    -37.566137
   0.82055    -37.567004    -37.567008
   0.82055    -37.567004    -37.567008
   0.88339    -37.567004    -37.567008
   0.94622    -37.567002    -37.567006
   1.00906    -37.566994    -37.566999
   1.07190    -37.566981    -37.566986
   1.13474    -37.566968    -37.566973
   1.19757    -37.566951    -37.566955
   1.26041    -37.566929    -37.566933
   1.26041    -37.569459    -37.569464
   1.31647    -37.569393    -37.569398
   1.37253    -37.569204    -37.569209
   1.42858    -37.568909    -37.568913
   1.48464    -37.568534    -37.568539
   1.54070    -37.568109    -37.568114
   1.59676    -37.567659    -37.567663
   1.65282    -37.567212    -37.567216
   1.70888    -37.566796    -37.566801
   1.76493    -37.566443    -37.566447
   1.82099    -37.566217    -37.566222
   1.87705    -37.566306    -37.566310
   1.93311    -37.566672    -37.566676
   1.98917    -37.567004    -37.567008
   1.98917    -37.567004    -37.567008
   2.04692    -37.566547    -37.566552
   2.10468    -37.566207    -37.566212
   2.16243    -37.566413    -37.566418
   2.22019    -37.566875    -37.566880
   2.27794    -37.567429    -37.567434
   2.33570    -37.568018    -37.568023
   2.39346    -37.568577    -37.568582
   2.45121    -37.569041    -37.569046
   2.50897    -37.569353    -37.569358
   2.56672    -37.569465    -37.569470
   2.56672    -37.566928    -37.566932
   2.62357    -37.566943    -37.566948
   2.68041    -37.566959    -37.566963
   2.73726    -37.566968    -37.566972
   2.79410    -37.566978    -37.566983
   2.85095    -37.566987    -37.566992
   2.90779    -37.566994    -37.566998
   2.96464    -37.566999    -37.567003
   3.02148    -37.567002    -37.567006
   3.07833    -37.567005    -37.567009
   3.13517    -37.567005    -37.567009
   3.19202    -37.567004    -37.567008
   3.19202    -37.567004    -37.567008
   3.25026    -37.566521    -37.566525
   3.30850    -37.565953    -37.565958
   3.36675    -37.565470    -37.565475
   3.42499    -37.565272    -37.565276
   3.48324    -37.565136    -37.565141
   3.54148    -37.564990    -37.564995
   3.59973    -37.564842    -37.564846
   3.65797    -37.564696    -37.564700
   3.71621    -37.564571    -37.564576
   3.77446    -37.564480    -37.564485
 
# Band-Index    4
   3.77446    -37.564474    -37.564478
   3.71621    -37.564414    -37.564419
   3.65797    -37.564405    -37.564409
   3.59973    -37.564459    -37.564463
   3.54148    -37.564585    -37.564589
   3.48324    -37.564790    -37.564795
   3.42499    -37.565084    -37.565088
   3.36675    -37.565385    -37.565389
   3.30850    -37.565469    -37.565473
   3.25026    -37.565522    -37.565526
   3.19202    -37.565540    -37.565544
   3.19202    -37.565540    -37.565544
   3.13517    -37.565607    -37.565611
   3.07833    -37.565795    -37.565799
   3.02148    -37.566065    -37.566070
   2.96464    -37.566342    -37.566346
   2.90779    -37.566554    -37.566558
   2.85095    -37.566692    -37.566696
   2.79410    -37.566777    -37.566782
   2.73726    -37.566833    -37.566838
   2.68041    -37.566875    -37.566879
   2.62357    -37.566903    -37.566907
   2.56672    -37.566924    -37.566928
   2.56672    -37.569464    -37.569467
   2.50897    -37.568868    -37.568872
   2.45121    -37.567821    -37.567825
   2.39346    -37.566863    -37.566867
   2.33570    -37.566129    -37.566133
   2.27794    -37.565663    -37.565667
   2.22019    -37.565471    -37.565475
   2.16243    -37.565522    -37.565526
   2.10468    -37.565668    -37.565672
   2.04692    -37.565599    -37.565603
   1.98917    -37.565540    -37.565544
   1.98917    -37.565540    -37.565544
   1.93311    -37.565576    -37.565580
