Label,Energy (eV),Density (Spin Up) (states/eV),Density (Spin Down) (states/eV)
P$_p$,-23.506676511209374,0.0,0.0
P$_p$,-23.501676511209375,0.0,0.0
P$_p$,-23.496676511209373,0.0,0.0
P$_p$,-23.491676511209374,0.0,0.0
P$_p$,-23.486676511209374,0.0,0.0
P$_p$,-23.481676511209375,0.0,0.0
P$_p$,-23.476676511209373,0.0,0.0
P$_p$,-23.471676511209374,0.0,0.0
P$_p$,-23.466676511209375,0.0,0.0
P$_p$,-23.461676511209372,0.0,0.0
P$_p$,-23.456676511209373,0.0,0.0
P$_p$,-23.451676511209374,0.0,0.0
P$_p$,-23.446676511209375,0.0,0.0
P$_p$,-23.441676511209373,0.0,0.0
P$_p$,-23.436676511209374,0.0,0.0
P$_p$,-23.431676511209375,0.0,0.0
P$_p$,-23.426676511209376,0.0,0.0
P$_p$,-23.421676511209373,0.0,0.0
P$_p$,-23.416676511209374,0.0,0.0
P$_p$,-23.411676511209375,0.0,0.0
P$_p$,-23.406676511209373,0.0,0.0
P$_p$,-23.401676511209374,0.0,0.0
P$_p$,-23.396676511209375,0.0,0.0
P$_p$,-23.391676511209376,0.0,0.0
P$_p$,-23.386676511209373,0.0,0.0
P$_p$,-23.381676511209374,0.0,0.0
P$_p$,-23.376676511209375,0.0,0.0
P$_p$,-23.371676511209373,0.0,0.0
P$_p$,-23.366676511209374,0.0,0.0
P$_p$,-23.361676511209374,0.0,0.0
P$_p$,-23.356676511209375,0.0,0.0
P$_p$,-23.351676511209373,0.0,0.0
P$_p$,-23.346676511209374,0.0,0.0
P$_p$,-23.341676511209375,0.0,0.0
P$_p$,-23.336676511209372,0.0,0.0
P$_p$,-23.331676511209373,0.0,0.0
P$_p$,-23.326676511209374,0.0,0.0
P$_p$,-23.321676511209375,0.0,0.0
P$_p$,-23.316676511209373,0.0,0.0
P$_p$,-23.311676511209374,0.0,0.0
P$_p$,-23.306676511209375,0.0,0.0
P$_p$,-23.301676511209376,0.0,0.0
P$_p$,-23.296676511209373,0.0,0.0
P$_p$,-23.291676511209374,0.0,0.0
P$_p$,-23.286676511209375,0.0,0.0
P$_p$,-23.281676511209373,0.0,0.0
P$_p$,-23.276676511209374,0.0,0.0
P$_p$,-23.271676511209375,0.0,0.0
P$_p$,-23.266676511209376,0.0,0.0
P$_p$,-23.261676511209373,0.0,0.0
P$_p$,-23.256676511209374,0.0,0.0
P$_p$,-23.251676511209375,0.0,0.0
P$_p$,-23.246676511209373,0.0,0.0
P$_p$,-23.241676511209374,0.0,0.0
P$_p$,-23.236676511209374,0.0,0.0
P$_p$,-23.231676511209375,0.0,0.0
P$_p$,-23.226676511209373,0.0,0.0
P$_p$,-23.221676511209374,0.0,0.0
P$_p$,-23.216676511209375,0.0,0.0
P$_p$,-23.211676511209372,0.0,0.0
P$_p$,-23.206676511209373,0.0,0.0
P$_p$,-23.201676511209374,0.0,0.0
P$_p$,-23.196676511209375,0.0,0.0
P$_p$,-23.191676511209373,0.0,0.0
P$_p$,-23.186676511209374,0.0,0.0
P$_p$,-23.181676511209375,0.0,0.0
P$_p$,-23.176676511209376,0.0,0.0
P$_p$,-23.171676511209373,0.0,0.0
P$_p$,-23.166676511209374,0.0,0.0
P$_p$,-23.161676511209375,0.0,0.0
P$_p$,-23.156676511209373,0.0,0.0
P$_p$,-23.151676511209374,0.0,0.0
P$_p$,-23.146676511209375,0.0,0.0
P$_p$,-23.141676511209376,0.0,0.0
P$_p$,-23.136676511209373,0.0,0.0
P$_p$,-23.131676511209374,0.0,0.0
P$_p$,-23.126676511209375,0.0,0.0
P$_p$,-23.121676511209373,0.0,0.0
P$_p$,-23.116676511209374,0.0,0.0
P$_p$,-23.111676511209374,0.0,0.0
P$_p$,-23.106576511209376,0.0,0.0
P$_p$,-23.101576511209373,0.0,0.0
P$_p$,-23.096576511209374,0.0,0.0
P$_p$,-23.091576511209375,0.0,0.0
P$_p$,-23.086576511209373,0.0,0.0
