#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS:  98  96
# Band-Index    1
   0.00000    -36.213399    -36.213402
   0.05822    -36.212957    -36.212960
   0.11644    -36.211651    -36.211654
   0.17465    -36.209523    -36.209526
   0.23287    -36.206648    -36.206651
   0.29109    -36.203135    -36.203138
   0.34931    -36.199104    -36.199107
   0.40752    -36.195264    -36.195267
   0.40752    -36.195264    -36.195267
   0.46885    -36.194821    -36.194825
   0.53018    -36.193507    -36.193510
   0.59151    -36.191371    -36.191374
   0.65283    -36.188495    -36.188498
   0.71416    -36.184991    -36.184995
   0.77549    -36.181004    -36.181007
   0.83682    -36.176707    -36.176710
   0.89815    -36.172913    -36.172916
   0.89815    -36.172913    -36.172916
   0.95636    -36.174167    -36.174170
   1.01458    -36.176155    -36.176159
   1.07280    -36.178050    -36.178053
   1.13102    -36.179657    -36.179660
   1.18923    -36.180873    -36.180876
   1.24745    -36.181630    -36.181633
   1.30567    -36.181887    -36.181890
   1.30567    -36.181887    -36.181890
   1.36700    -36.188028    -36.188031
   1.42832    -36.193951    -36.193955
   1.48965    -36.199410    -36.199413
   1.55098    -36.204185    -36.204188
   1.61231    -36.208101    -36.208104
   1.67364    -36.211007    -36.211010
   1.73496    -36.212793    -36.212797
   1.79629    -36.213399    -36.213402
   1.79629    -36.213399    -36.213402
   1.85097    -36.213165    -36.213168
   1.90566    -36.212475    -36.212479
   1.96034    -36.211340    -36.211343
   2.01502    -36.209769    -36.209772
   2.06971    -36.207790    -36.207793
   2.12439    -36.205433    -36.205436
   2.17907    -36.202730    -36.202734
   2.23375    -36.199727    -36.199730
   2.28844    -36.196460    -36.196463
   2.34312    -36.192980    -36.192983
   2.39780    -36.189341    -36.189344
   2.45249    -36.185589    -36.185592
   2.50717    -36.181814    -36.181817
   2.50717    -36.181814    -36.181817
   2.56539    -36.181559    -36.181563
   2.62360    -36.180805    -36.180808
   2.68182    -36.179591    -36.179594
   2.74004    -36.177991    -36.177994
   2.79826    -36.176102    -36.176105
   2.85647    -36.174117    -36.174121
   2.91469    -36.172878    -36.172882
   2.91469    -36.172878    -36.172882
   2.96937    -36.174983    -36.174986
   3.02406    -36.177653    -36.177656
   3.07874    -36.180297    -36.180300
   3.13342    -36.182838    -36.182842
   3.18811    -36.185231    -36.185234
   3.24279    -36.187433    -36.187436
   3.29747    -36.189415    -36.189418
   3.35215    -36.191145    -36.191149
   3.40684    -36.192599    -36.192602
   3.46152    -36.193752    -36.193756
   3.51620    -36.194589    -36.194592
   3.57089    -36.195095    -36.195098
   3.62557    -36.195264    -36.195267
   3.62557    -36.195264    -36.195267
   3.68279    -36.195261    -36.195265
   3.74000    -36.195254    -36.195258
   3.79722    -36.195241    -36.195245
   3.85443    -36.195228    -36.195231
   3.91165    -36.195211    -36.195214
   3.96887    -36.195195    -36.195198
   4.02608    -36.195186    -36.195190
   4.08330    -36.195179    -36.195182
   4.14052    -36.195174    -36.195177
   4.14052    -36.195174    -36.195177
   4.19873    -36.199008    -36.199011
   4.25695    -36.203027    -36.203031
   4.31517    -36.206537    -36.206540
   4.37339    -36.209404    -36.209407
   4.43160    -36.211529    -36.211532
   4.48982    -36.212836    -36.212839
   4.54804    -36.213277    -36.213280
   4.54804    -36.213277    -36.213280
   4.60526    -36.213283    -36.213286
   4.66247    -36.213291    -36.213294
   4.71969    -36.213306    -36.213309
   4.77691    -36.213327    -36.213331
   4.83412    -36.213346    -36.213349
   4.89134    -36.213367    -36.213370
   4.94856    -36.213383    -36.213386
   5.00577    -36.213392    -36.213395
   5.06299    -36.213399    -36.213402
 
# Band-Index    2
   5.06299    -36.169500    -36.169503
   5.00577    -36.169499    -36.169502
   4.94856    -36.169495    -36.169498
   4.89134    -36.169489    -36.169492
   4.83412    -36.169485    -36.169488
   4.77691    -36.169478    -36.169481
   4.71969    -36.169472    -36.169475
   4.66247    -36.169469    -36.169472
   4.60526    -36.169467    -36.169470
   4.54804    -36.169464    -36.169467
   4.54804    -36.169464    -36.169467
   4.48982    -36.170392    -36.170395
   4.43160    -36.172885    -36.172888
   4.37339    -36.176433    -36.176436
   4.31517    -36.180629    -36.180632
   4.25695    -36.185178    -36.185181
   4.19873    -36.189849    -36.189852
   4.14052    -36.193907    -36.193909
   4.14052    -36.193907    -36.193909
   4.08330    -36.193912    -36.193915
   4.02608    -36.193919    -36.193922
   3.96887    -36.193928    -36.193931
   3.91165    -36.193944    -36.193947
   3.85443    -36.193961    -36.193964
   3.79722    -36.193975    -36.193978
   3.74000    -36.193988    -36.193991
   3.68279    -36.193995    -36.193998
   3.62557    -36.193998    -36.194001
   3.62557    -36.193998    -36.194001
   3.57089    -36.193829    -36.193832
   3.51620    -36.193323    -36.193326
   3.46152    -36.192486    -36.192489
   3.40684    -36.191332    -36.191335
   3.35215    -36.189878    -36.189881
   3.29747    -36.188148    -36.188151
   3.24279    -36.186166    -36.186169
   3.18811    -36.183964    -36.183967
   3.13342    -36.181573    -36.181576
   3.07874    -36.179035    -36.179038
   3.02406    -36.176402    -36.176405
   2.96937    -36.173789    -36.173792
   2.91469    -36.172393    -36.172397
   2.91469    -36.172393    -36.172397
   2.85647    -36.173888    -36.173892
   2.79826    -36.175977    -36.175981
   2.74004    -36.177906    -36.177909
   2.68182    -36.179525    -36.179528
   2.62360    -36.180749    -36.180752
   2.56539    -36.181509    -36.181512
   2.50717    -36.181764    -36.181768
   2.50717    -36.181764    -36.181768
   2.45249    -36.177998    -36.178001
   2.39780    -36.174275    -36.174278
   2.34312    -36.170716    -36.170719
   2.28844    -36.167584    -36.167588
   2.23375    -36.166361    -36.166364
   2.17907    -36.166820    -36.166823
   2.12439    -36.167451    -36.167454
   2.06971    -36.168041    -36.168044
   2.01502    -36.168551    -36.168554
   1.96034    -36.168961    -36.168964
   1.90566    -36.169258    -36.169262
   1.85097    -36.169439    -36.169442
   1.79629    -36.169500    -36.169503
   1.79629    -36.169500    -36.169503
   1.73496    -36.169340    -36.169343
   1.67364    -36.168873    -36.168876
   1.61231    -36.168121    -36.168124
   1.55098    -36.167152    -36.167155
   1.48965    -36.166388    -36.166392
   1.42832    -36.169912    -36.169916
   1.36700    -36.175716    -36.175719
   1.30567    -36.181842    -36.181846
   1.30567    -36.181842    -36.181846
   1.24745    -36.181584    -36.181587
   1.18923    -36.180822    -36.180825
   1.13102    -36.179596    -36.179599
   1.07280    -36.177972    -36.177975
   1.01458    -36.176041    -36.176044
   0.95636    -36.173955    -36.173959
   0.89815    -36.172466    -36.172469
   0.89815    -36.172466    -36.172469
   0.83682    -36.175466    -36.175469
   0.77549    -36.179741    -36.179744
   0.71416    -36.183725    -36.183728
   0.65283    -36.187228    -36.187231
   0.59151    -36.190104    -36.190107
   0.53018    -36.192240    -36.192243
   0.46885    -36.193555    -36.193558
   0.40752    -36.193998    -36.194001
   0.40752    -36.193998    -36.194001
   0.34931    -36.189935    -36.189938
   0.29109    -36.185249    -36.185252
   0.23287    -36.180691    -36.180694
   0.17465    -36.176492    -36.176495
   0.11644    -36.172934    -36.172937
   0.05822    -36.170431    -36.170434
   0.00000    -36.169500    -36.169503
 
# Band-Index    3
   0.00000    -36.152564    -36.152567
   0.05822    -36.152172    -36.152175
   0.11644    -36.151263    -36.151266
   0.17465    -36.150307    -36.150311
   0.23287    -36.149589    -36.149592
   0.29109    -36.149106    -36.149109
   0.34931    -36.148804    -36.148807
   0.40752    -36.148698    -36.148702
   0.40752    -36.148698    -36.148702
   0.46885    -36.149145    -36.149149
   0.53018    -36.150474    -36.150477
   0.59151    -36.152632    -36.152635
   0.65283    -36.155528    -36.155531
   0.71416    -36.159054    -36.159057
   0.77549    -36.163059    -36.163063
   0.83682    -36.167349    -36.167352
   0.89815    -36.170361    -36.170363
   0.89815    -36.170361    -36.170363
   0.95636    -36.168866    -36.168869
   1.01458    -36.166770    -36.166773
   1.07280    -36.164828    -36.164831
   1.13102    -36.163192    -36.163194
   1.18923    -36.161959    -36.161962
   1.24745    -36.161191    -36.161194
   1.30567    -36.160928    -36.160931
   1.30567    -36.160928    -36.160931
   1.36700    -36.162501    -36.162504
   1.42832    -36.163920    -36.163923
   1.48965    -36.163397    -36.163399
   1.55098    -36.159075    -36.159077
   1.61231    -36.155188    -36.155191
   1.67364    -36.153209    -36.153212
   1.73496    -36.152725    -36.152728
   1.79629    -36.152564    -36.152567
   1.79629    -36.152564    -36.152567
   1.85097    -36.152624    -36.152627
   1.90566    -36.152808    -36.152811
   1.96034    -36.153112    -36.153115
   2.01502    -36.153605    -36.153608
   2.06971    -36.155448    -36.155451
   2.12439    -36.157780    -36.157783
   2.17907    -36.160405    -36.160408
   2.23375    -36.163080    -36.163083
   2.28844    -36.164270    -36.164272
   2.34312    -36.163701    -36.163704
   2.39780    -36.162825    -36.162828
   2.45249    -36.161868    -36.161871
   2.50717    -36.160902    -36.160905
   2.50717    -36.160902    -36.160905
   2.56539    -36.161162    -36.161165
   2.62360    -36.161928    -36.161931
   2.68182    -36.163163    -36.163166
   2.74004    -36.164797    -36.164800
   2.79826    -36.166734    -36.166737
   2.85647    -36.168829    -36.168832
   2.91469    -36.170327    -36.170330
   2.91469    -36.170327    -36.170330
   2.96937    -36.168928    -36.168931
   3.02406    -36.166313    -36.166317
   3.07874    -36.163678    -36.163681
   3.13342    -36.161139    -36.161142
   3.18811    -36.158748    -36.158751
   3.24279    -36.156542    -36.156545
   3.29747    -36.154558    -36.154562
   3.35215    -36.152826    -36.152830
   3.40684    -36.151370    -36.151373
   3.46152    -36.150214    -36.150217
   3.51620    -36.149376    -36.149379
   3.57089    -36.148867    -36.148870
   3.62557    -36.148698    -36.148702
   3.62557    -36.148698    -36.148702
   3.68279    -36.148697    -36.148701
   3.74000    -36.148697    -36.148700
   3.79722    -36.148697    -36.148701
   3.85443    -36.148695    -36.148698
   3.91165    -36.148692    -36.148695
   3.96887    -36.148690    -36.148693
   4.02608    -36.148690    -36.148694
   4.08330    -36.148691    -36.148694
   4.14052    -36.148689    -36.148692
   4.14052    -36.148689    -36.148692
   4.19873    -36.148794    -36.148797
   4.25695    -36.149095    -36.149098
   4.31517    -36.149580    -36.149583
   4.37339    -36.150299    -36.150302
   4.43160    -36.151255    -36.151258
   4.48982    -36.152163    -36.152166
   4.54804    -36.152553    -36.152556
   4.54804    -36.152553    -36.152556
   4.60526    -36.152554    -36.152557
   4.66247    -36.152555    -36.152558
   4.71969    -36.152555    -36.152558
   4.77691    -36.152555    -36.152558
   4.83412    -36.152558    -36.152562
   4.89134    -36.152559    -36.152562
   4.94856    -36.152562    -36.152565
   5.00577    -36.152563    -36.152567
   5.06299    -36.152564    -36.152567
 
# Band-Index    4
   5.06299    -36.149826    -36.149829
   5.00577    -36.149825    -36.149828
   4.94856    -36.149823    -36.149826
   4.89134    -36.149818    -36.149821
   4.83412    -36.149815    -36.149818
   4.77691    -36.149812    -36.149815
   4.71969    -36.149810    -36.149813
   4.66247    -36.149807    -36.149810
   4.60526    -36.149803    -36.149806
   4.54804    -36.149802    -36.149805
   4.54804    -36.149802    -36.149805
   4.48982    -36.149712    -36.149715
   4.43160    -36.149442    -36.149445
   4.37339    -36.148985    -36.148988
   4.31517    -36.148398    -36.148401
   4.25695    -36.147865    -36.147867
   4.19873    -36.147523    -36.147526
   4.14052    -36.147408    -36.147411
   4.14052    -36.147408    -36.147411
   4.08330    -36.147410    -36.147413
   4.02608    -36.147410    -36.147413
   3.96887    -36.147410    -36.147412
   3.91165    -36.147412    -36.147415
   3.85443    -36.147416    -36.147418
   3.79722    -36.147418    -36.147421
   3.74000    -36.147418    -36.147421
   3.68279    -36.147419    -36.147422
   3.62557    -36.147420    -36.147423
   3.62557    -36.147420    -36.147423
   3.57089    -36.147588    -36.147591
   3.51620    -36.148097    -36.148100
   3.46152    -36.148936    -36.148938
   3.40684    -36.150092    -36.150095
   3.35215    -36.151549    -36.151552
   3.29747    -36.153282    -36.153285
   3.24279    -36.155266    -36.155269
   3.18811    -36.157474    -36.157477
   3.13342    -36.159867    -36.159870
   3.07874    -36.162411    -36.162413
   3.02406    -36.165059    -36.165061
   2.96937    -36.167731    -36.167733
   2.91469    -36.169830    -36.169833
   2.91469    -36.169830    -36.169833
   2.85647    -36.168588    -36.168591
   2.79826    -36.166599    -36.166602
   2.74004    -36.164704    -36.164707
   2.68182    -36.163093    -36.163096
   2.62360    -36.161870    -36.161873
   2.56539    -36.161111    -36.161114
   2.50717    -36.160854    -36.160857
   2.50717    -36.160854    -36.160857
   2.45249    -36.159879    -36.159882
   2.39780    -36.158890    -36.158893
   2.34312    -36.157931    -36.157934
   2.28844    -36.157014    -36.157017
   2.23375    -36.156152    -36.156155
   2.17907    -36.155362    -36.155365
   2.12439    -36.154650    -36.154653
   2.06971    -36.154023    -36.154026
   2.01502    -36.153375    -36.153378
   1.96034    -36.151886    -36.151889
   1.90566    -36.150752    -36.150755
   1.85097    -36.150059    -36.150062
   1.79629    -36.149826    -36.149829
   1.79629    -36.149826    -36.149829
   1.73496    -36.150440    -36.150443
   1.67364    -36.152242    -36.152245
   1.61231    -36.153959    -36.153962
   1.55098    -36.155006    -36.155009
   1.48965    -36.156276    -36.156280
   1.42832    -36.157720    -36.157723
   1.36700    -36.159285    -36.159288
   1.30567    -36.160882    -36.160885
   1.30567    -36.160882    -36.160885
