Label,Energy (eV),Density (Spin Up) (states/eV),Density (Spin Down) (states/eV)
N$_p$,-24.137980476485378,0.0,0.0
N$_p$,-24.13298047648538,0.0,0.0
N$_p$,-24.127980476485376,0.0,0.0
N$_p$,-24.122980476485377,0.0,0.0
N$_p$,-24.11798047648538,0.0,0.0
N$_p$,-24.11298047648538,0.0,0.0
N$_p$,-24.107980476485377,0.0,0.0
N$_p$,-24.102980476485378,0.0,0.0
N$_p$,-24.09798047648538,0.0,0.0
N$_p$,-24.092980476485376,0.0,0.0
N$_p$,-24.087980476485377,0.0,0.0
N$_p$,-24.08298047648538,0.0,0.0
N$_p$,-24.07798047648538,0.0,0.0
N$_p$,-24.072980476485377,0.0,0.0
N$_p$,-24.067980476485378,0.0,0.0
N$_p$,-24.06298047648538,0.0,0.0
N$_p$,-24.05798047648538,0.0,0.0
N$_p$,-24.052980476485377,0.0,0.0
N$_p$,-24.047980476485378,0.0,0.0
N$_p$,-24.04298047648538,0.0,0.0
N$_p$,-24.037980476485377,0.0,0.0
N$_p$,-24.032980476485378,0.0,0.0
N$_p$,-24.02798047648538,0.0,0.0
N$_p$,-24.02298047648538,0.0,0.0
N$_p$,-24.017980476485377,0.0,0.0
N$_p$,-24.012980476485378,0.0,0.0
N$_p$,-24.00798047648538,0.0,0.0
N$_p$,-24.002980476485376,0.0,0.0
N$_p$,-23.997980476485377,0.0,0.0
N$_p$,-23.99298047648538,0.0,0.0
N$_p$,-23.98798047648538,0.0,0.0
N$_p$,-23.982980476485377,0.0,0.0
N$_p$,-23.977980476485378,0.0,0.0
N$_p$,-23.97298047648538,0.0,0.0
N$_p$,-23.967980476485376,0.0,0.0
N$_p$,-23.962980476485377,0.0,0.0
N$_p$,-23.95798047648538,0.0,0.0
N$_p$,-23.95298047648538,0.0,0.0
N$_p$,-23.947980476485377,0.0,0.0
N$_p$,-23.942980476485378,0.0,0.0
N$_p$,-23.93798047648538,0.0,0.0
N$_p$,-23.93298047648538,0.0,0.0
N$_p$,-23.927980476485377,0.0,0.0
N$_p$,-23.922980476485378,0.0,0.0
N$_p$,-23.91798047648538,0.0,0.0
N$_p$,-23.912980476485377,0.0,0.0
N$_p$,-23.907980476485378,0.0,0.0
N$_p$,-23.90298047648538,0.0,0.0
N$_p$,-23.89798047648538,0.0,0.0
N$_p$,-23.892980476485377,0.0,0.0
N$_p$,-23.887980476485378,0.0,0.0
N$_p$,-23.88298047648538,0.0,0.0
N$_p$,-23.877980476485376,0.0,0.0
N$_p$,-23.872980476485377,0.0,0.0
N$_p$,-23.86798047648538,0.0,0.0
N$_p$,-23.86298047648538,0.0,0.0
N$_p$,-23.857980476485377,0.0,0.0
N$_p$,-23.852980476485378,0.0,0.0
N$_p$,-23.84798047648538,0.0,0.0
N$_p$,-23.842980476485376,0.0,0.0
N$_p$,-23.837980476485377,0.0,0.0
N$_p$,-23.83298047648538,0.0,0.0
N$_p$,-23.82798047648538,0.0,0.0
N$_p$,-23.822980476485377,0.0,0.0
N$_p$,-23.817980476485378,0.0,0.0
N$_p$,-23.81298047648538,0.0,0.0
N$_p$,-23.80798047648538,0.0,0.0
N$_p$,-23.802980476485377,0.0,0.0
N$_p$,-23.797980476485378,0.0,0.0
N$_p$,-23.79298047648538,0.0,0.0
N$_p$,-23.787980476485377,0.0,0.0
N$_p$,-23.782980476485378,0.0,0.0
N$_p$,-23.77798047648538,0.0,0.0
N$_p$,-23.77298047648538,0.0,0.0
N$_p$,-23.767980476485377,0.0,0.0
N$_p$,-23.762980476485378,0.0,0.0
N$_p$,-23.75798047648538,0.0,0.0
N$_p$,-23.752980476485376,0.0,0.0
N$_p$,-23.747980476485377,0.0,0.0
N$_p$,-23.74298047648538,0.0,0.0
N$_p$,-23.73788047648538,0.0,0.0
N$_p$,-23.732880476485377,0.0,0.0
N$_p$,-23.727880476485378,0.0,0.0
N$_p$,-23.72288047648538,0.0,0.0
N$_p$,-23.717880476485377,0.0,0.0
N$_p$,-23.712880476485378,0.0,0.0
N$_p$,-23.70788047648538,0.0,0.0
N$_p$,-23.70288047648538,0.0,0.0
N$_p$,-23.697880476485377,0.0,0.0
N$_p$,-23.692880476485378,0.0,0.0
N$_p$,-23.68788047648538,0.0,0.0
N$_p$,-23.682880476485376,0.0,0.0
N$_p$,-23.677880476485377,0.0,0.0
N$_p$,-23.67288047648538,0.0,0.0
N$_p$,-23.66788047648538,0.0,0.0
N$_p$,-23.662880476485377,0.0,0.0
N$_p$,-23.657880476485378,0.0,0.0
N$_p$,-23.65288047648538,0.0,0.0
N$_p$,-23.647880476485376,0.0,0.0
N$_p$,-23.642880476485377,0.0,0.0
N$_p$,-23.63788047648538,0.0,0.0
N$_p$,-23.63288047648538,0.0,0.0
N$_p$,-23.627880476485377,0.0,0.0
N$_p$,-23.622880476485378,0.0,0.0
N$_p$,-23.61788047648538,0.0,0.0
N$_p$,-23.61288047648538,0.0,0.0
