#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS:  71  96
# Band-Index    1
   0.00000    -37.604516    -37.604515
   0.06062    -37.604378    -37.604377
   0.12123    -37.603973    -37.603972
   0.18185    -37.603316    -37.603315
   0.24247    -37.602445    -37.602444
   0.30308    -37.601401    -37.601401
   0.36370    -37.600230    -37.600229
   0.36370    -37.598850    -37.598850
   0.42416    -37.600111    -37.600110
   0.48462    -37.601311    -37.601310
   0.54507    -37.602384    -37.602383
   0.60553    -37.603283    -37.603282
   0.66599    -37.603957    -37.603956
   0.72645    -37.604374    -37.604373
   0.78691    -37.604516    -37.604515
   0.78691    -37.604516    -37.604515
   0.84942    -37.604515    -37.604514
   0.91193    -37.604517    -37.604516
   0.97444    -37.604517    -37.604516
   1.03696    -37.604514    -37.604514
   1.09947    -37.604515    -37.604514
   1.16198    -37.604512    -37.604512
   1.22449    -37.604513    -37.604512
   1.22449    -37.596685    -37.596684
   1.27892    -37.597152    -37.597151
   1.33334    -37.597955    -37.597954
   1.38777    -37.598821    -37.598820
   1.44220    -37.599701    -37.599701
   1.49663    -37.600566    -37.600565
   1.55105    -37.601389    -37.601388
   1.60548    -37.602153    -37.602153
   1.65991    -37.602837    -37.602836
   1.71433    -37.603420    -37.603419
   1.76876    -37.603890    -37.603889
   1.82319    -37.604234    -37.604233
   1.87761    -37.604445    -37.604444
   1.93204    -37.604516    -37.604515
   1.93204    -37.604516    -37.604515
   1.98722    -37.604458    -37.604457
   2.04239    -37.604286    -37.604285
   2.09756    -37.604003    -37.604003
   2.15274    -37.603614    -37.603613
   2.20791    -37.603129    -37.603128
   2.26309    -37.602555    -37.602554
   2.31826    -37.601908    -37.601907
   2.37344    -37.601198    -37.601197
   2.42861    -37.600439    -37.600438
   2.48379    -37.599649    -37.599648
   2.53896    -37.598845    -37.598844
   2.53896    -37.600226    -37.600225
   2.59586    -37.600937    -37.600936
   2.65276    -37.601615    -37.601615
   2.70966    -37.602242    -37.602241
   2.76656    -37.602813    -37.602812
   2.82346    -37.603315    -37.603314
   2.88036    -37.603736    -37.603735
   2.93726    -37.604073    -37.604072
   2.99416    -37.604318    -37.604317
   3.05106    -37.604466    -37.604465
   3.10796    -37.604516    -37.604515
   3.10796    -37.604516    -37.604515
   3.16376    -37.604396    -37.604395
   3.21956    -37.604044    -37.604043
   3.27536    -37.603474    -37.603473
   3.33116    -37.602708    -37.602707
   3.38696    -37.601784    -37.601783
   3.44277    -37.600738    -37.600737
   3.49857    -37.599616    -37.599615
   3.55437    -37.598474    -37.598473
   3.61017    -37.597380    -37.597380
   3.66597    -37.596685    -37.596684
 
# Band-Index    2
   3.66597    -37.596679    -37.596679
   3.61017    -37.596673    -37.596672
   3.55437    -37.596617    -37.596616
   3.49857    -37.596484    -37.596483
   3.44277    -37.596257    -37.596256
   3.38696    -37.595936    -37.595935
   3.33116    -37.595531    -37.595530
   3.27536    -37.595060    -37.595059
   3.21956    -37.594558    -37.594557
   3.16376    -37.594070    -37.594069
   3.10796    -37.593758    -37.593757
   3.10796    -37.593758    -37.593757
   3.05106    -37.594075    -37.594074
   2.99416    -37.594597    -37.594596
   2.93726    -37.595188    -37.595188
   2.88036    -37.595833    -37.595832
   2.82346    -37.596520    -37.596519
   2.76656    -37.597239    -37.597238
   2.70966    -37.597981    -37.597980
   2.65276    -37.598731    -37.598731
   2.59586    -37.599483    -37.599482
   2.53896    -37.600222    -37.600221
   2.53896    -37.598843    -37.598842
   2.48379    -37.598034    -37.598033
   2.42861    -37.597243    -37.597242
   2.37344    -37.596485    -37.596484
   2.31826    -37.595774    -37.595773
   2.26309    -37.595128    -37.595127
   2.20791    -37.594559    -37.594558
   2.15274    -37.594078    -37.594077
   2.09756    -37.593737    -37.593736
   2.04239    -37.593750    -37.593749
   1.98722    -37.593756    -37.593755
   1.93204    -37.593758    -37.593757
   1.93204    -37.593758    -37.593757
   1.87761    -37.593968    -37.593967
   1.82319    -37.594329    -37.594328
   1.76876    -37.594714    -37.594713
   1.71433    -37.595098    -37.595097
   1.65991    -37.595462    -37.595461
   1.60548    -37.595788    -37.595787
   1.55105    -37.596069    -37.596068
   1.49663    -37.596297    -37.596296
   1.44220    -37.596468    -37.596467
   1.38777    -37.596584    -37.596583
   1.33334    -37.596648    -37.596648
   1.27892    -37.596675    -37.596674
   1.22449    -37.596680    -37.596679
   1.22449    -37.593770    -37.593770
   1.16198    -37.593768    -37.593767
   1.09947    -37.593766    -37.593766
   1.03696    -37.593763    -37.593763
   0.97444    -37.593763    -37.593762
   0.91193    -37.593763    -37.593762
   0.84942    -37.593760    -37.593760
   0.78691    -37.593758    -37.593757
   0.78691    -37.593758    -37.593757
   0.72645    -37.593753    -37.593752
   0.66599    -37.593752    -37.593751
   0.60553    -37.594410    -37.594409
   0.54507    -37.595306    -37.595305
   0.48462    -37.596382    -37.596381
   0.42416    -37.597585    -37.597584
   0.36370    -37.598848    -37.598847
   0.36370    -37.600226    -37.600225
   0.30308    -37.598985    -37.598984
   0.24247    -37.597732    -37.597731
   0.18185    -37.596521    -37.596520
   0.12123    -37.595399    -37.595399
   0.06062    -37.594411    -37.594410
   0.00000    -37.593758    -37.593757
 
# Band-Index    3
   0.00000    -37.593328    -37.593328
   0.06062    -37.593020    -37.593019
   0.12123    -37.592905    -37.592904
   0.18185    -37.592728    -37.592727
   0.24247    -37.592517    -37.592516
   0.30308    -37.592298    -37.592297
   0.36370    -37.592115    -37.592114
   0.36370    -37.593500    -37.593499
   0.42416    -37.593558    -37.593558
   0.48462    -37.593614    -37.593613
   0.54507    -37.593659    -37.593658
   0.60553    -37.593703    -37.593702
   0.66599    -37.593735    -37.593734
   0.72645    -37.593401    -37.593400
   0.78691    -37.593328    -37.593327
   0.78691    -37.593328    -37.593327
   0.84942    -37.593331    -37.593330
   0.91193    -37.593333    -37.593332
   0.97444    -37.593333    -37.593332
   1.03696    -37.593333    -37.593332
   1.09947    -37.593336    -37.593335
   1.16198    -37.593338    -37.593337
   1.22449    -37.593340    -37.593339
   1.22449    -37.595661    -37.595660
   1.27892    -37.595609    -37.595608
   1.33334    -37.595463    -37.595462
   1.38777    -37.595245    -37.595244
   1.44220    -37.594979    -37.594978
   1.49663    -37.594685    -37.594684
   1.55105    -37.594382    -37.594381
   1.60548    -37.594084    -37.594083
   1.65991    -37.593805    -37.593804
   1.71433    -37.593560    -37.593560
   1.76876    -37.593360    -37.593359
   1.82319    -37.593213    -37.593212
   1.87761    -37.593188    -37.593187
   1.93204    -37.593328    -37.593328
   1.93204    -37.593328    -37.593327
   1.98722    -37.593354    -37.593353
   2.04239    -37.593462    -37.593461
   2.09756    -37.593706    -37.593706
   2.15274    -37.593719    -37.593718
   2.20791    -37.593697    -37.593696
   2.26309    -37.593670    -37.593669
   2.31826    -37.593640    -37.593640
   2.37344    -37.593608    -37.593607
   2.42861    -37.593574    -37.593573
   2.48379    -37.593537    -37.593536
   2.53896    -37.593500    -37.593499
   2.53896    -37.592122    -37.592121
