Label,Energy (eV),Density (Spin Up) (states/eV),Density (Spin Down) (states/eV)
P$_p$,-23.882911028161537,0.0,0.0
P$_p$,-23.877911028161538,0.0,0.0
P$_p$,-23.872911028161536,0.0,0.0
P$_p$,-23.867911028161537,0.0,0.0
P$_p$,-23.862911028161538,0.0,0.0
P$_p$,-23.85791102816154,0.0,0.0
P$_p$,-23.852911028161536,0.0,0.0
P$_p$,-23.847911028161537,0.0,0.0
P$_p$,-23.842911028161538,0.0,0.0
P$_p$,-23.837911028161535,0.0,0.0
P$_p$,-23.832911028161536,0.0,0.0
P$_p$,-23.827911028161537,0.0,0.0
P$_p$,-23.82291102816154,0.0,0.0
P$_p$,-23.817911028161536,0.0,0.0
P$_p$,-23.812911028161537,0.0,0.0
P$_p$,-23.807911028161538,0.0,0.0
P$_p$,-23.80291102816154,0.0,0.0
P$_p$,-23.797911028161536,0.0,0.0
P$_p$,-23.792911028161537,0.0,0.0
P$_p$,-23.78791102816154,0.0,0.0
P$_p$,-23.782911028161536,0.0,0.0
P$_p$,-23.777911028161537,0.0,0.0
P$_p$,-23.772911028161538,0.0,0.0
P$_p$,-23.76791102816154,0.0,0.0
P$_p$,-23.762911028161536,0.0,0.0
P$_p$,-23.757911028161537,0.0,0.0
P$_p$,-23.752911028161538,0.0,0.0
P$_p$,-23.747911028161536,0.0,0.0
P$_p$,-23.742911028161537,0.0,0.0
P$_p$,-23.737911028161538,0.0,0.0
P$_p$,-23.73291102816154,0.0,0.0
P$_p$,-23.727911028161536,0.0,0.0
P$_p$,-23.722911028161537,0.0,0.0
P$_p$,-23.717911028161538,0.0,0.0
P$_p$,-23.712911028161535,0.0,0.0
P$_p$,-23.707911028161536,0.0,0.0
P$_p$,-23.702911028161537,0.0,0.0
P$_p$,-23.69791102816154,0.0,0.0
P$_p$,-23.692911028161536,0.0,0.0
P$_p$,-23.687911028161537,0.0,0.0
P$_p$,-23.682911028161538,0.0,0.0
P$_p$,-23.67791102816154,0.0,0.0
P$_p$,-23.672911028161536,0.0,0.0
P$_p$,-23.667911028161537,0.0,0.0
P$_p$,-23.66291102816154,0.0,0.0
P$_p$,-23.657911028161536,0.0,0.0
P$_p$,-23.652911028161537,0.0,0.0
P$_p$,-23.647911028161538,0.0,0.0
P$_p$,-23.64291102816154,0.0,0.0
P$_p$,-23.637911028161536,0.0,0.0
P$_p$,-23.632911028161537,0.0,0.0
P$_p$,-23.627911028161538,0.0,0.0
P$_p$,-23.622911028161536,0.0,0.0
P$_p$,-23.617911028161537,0.0,0.0
P$_p$,-23.612911028161538,0.0,0.0
P$_p$,-23.60791102816154,0.0,0.0
P$_p$,-23.602911028161536,0.0,0.0
P$_p$,-23.597911028161537,0.0,0.0
P$_p$,-23.592911028161538,0.0,0.0
P$_p$,-23.587911028161535,0.0,0.0
P$_p$,-23.582911028161536,0.0,0.0
P$_p$,-23.577911028161537,0.0,0.0
P$_p$,-23.57291102816154,0.0,0.0
P$_p$,-23.567911028161536,0.0,0.0
P$_p$,-23.562911028161537,0.0,0.0
P$_p$,-23.557911028161538,0.0,0.0
P$_p$,-23.55291102816154,0.0,0.0
P$_p$,-23.547911028161536,0.0,0.0
P$_p$,-23.542911028161537,0.0,0.0
P$_p$,-23.53791102816154,0.0,0.0
P$_p$,-23.532911028161536,0.0,0.0
P$_p$,-23.527911028161537,0.0,0.0
P$_p$,-23.522911028161538,0.0,0.0
P$_p$,-23.51791102816154,0.0,0.0
P$_p$,-23.512911028161536,0.0,0.0
