#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS:  71  96
# Band-Index    1
   0.00000    -16.632691    -16.632692
   0.06615    -16.632576    -16.632578
   0.13230    -16.632244    -16.632245
   0.19846    -16.631708    -16.631710
   0.26461    -16.630999    -16.631000
   0.33076    -16.630156    -16.630158
   0.39691    -16.629308    -16.629310
   0.39691    -16.627150    -16.627152
   0.45928    -16.628001    -16.628003
   0.52164    -16.629060    -16.629062
   0.58401    -16.630155    -16.630157
   0.64638    -16.631152    -16.631154
   0.70875    -16.631970    -16.631972
   0.77111    -16.632500    -16.632502
   0.83348    -16.632691    -16.632692
   0.83348    -16.632691    -16.632692
   0.89643    -16.632502    -16.632504
   0.95937    -16.631969    -16.631971
   1.02231    -16.631189    -16.631191
   1.08526    -16.630310    -16.630312
   1.14820    -16.629519    -16.629521
   1.21114    -16.628961    -16.628963
   1.27409    -16.628766    -16.628767
   1.27409    -16.624633    -16.624634
   1.33036    -16.624704    -16.624706
   1.38664    -16.624977    -16.624979
   1.44291    -16.625472    -16.625474
   1.49919    -16.626149    -16.626150
   1.55546    -16.626969    -16.626971
   1.61174    -16.627893    -16.627895
   1.66801    -16.628875    -16.628876
   1.72429    -16.629851    -16.629853
   1.78056    -16.630765    -16.630767
   1.83684    -16.631559    -16.631561
   1.89311    -16.632171    -16.632172
   1.94938    -16.632559    -16.632560
   2.00566    -16.632691    -16.632692
   2.00566    -16.632691    -16.632692
   2.06205    -16.632538    -16.632540
   2.11843    -16.632090    -16.632092
   2.17482    -16.631389    -16.631391
   2.23121    -16.630479    -16.630481
   2.28759    -16.629436    -16.629438
   2.34398    -16.628337    -16.628339
   2.40037    -16.627255    -16.627257
   2.45675    -16.626273    -16.626275
   2.51314    -16.625432    -16.625434
   2.56953    -16.624785    -16.624787
   2.62591    -16.624412    -16.624414
   2.62591    -16.626516    -16.626518
   2.68462    -16.626916    -16.626918
   2.74332    -16.627524    -16.627526
   2.80203    -16.628261    -16.628263
   2.86073    -16.629095    -16.629097
   2.91943    -16.629962    -16.629964
   2.97814    -16.630812    -16.630814
   3.03684    -16.631573    -16.631574
   3.09555    -16.632172    -16.632174
   3.15425    -16.632559    -16.632561
   3.21295    -16.632691    -16.632692
   3.21295    -16.632691    -16.632692
   3.27196    -16.632557    -16.632559
   3.33096    -16.632178    -16.632180
   3.38996    -16.631597    -16.631599
   3.44897    -16.630868    -16.630870
   3.50797    -16.630072    -16.630074
   3.56697    -16.629288    -16.629290
   3.62597    -16.628573    -16.628575
   3.68498    -16.628019    -16.628021
   3.74398    -16.627685    -16.627687
   3.80298    -16.627612    -16.627614
 
# Band-Index    2
   3.80298    -16.627443    -16.627444
   3.74398    -16.627431    -16.627432
   3.68498    -16.627279    -16.627281
   3.62597    -16.627018    -16.627019
   3.56697    -16.626688    -16.626690
   3.50797    -16.626320    -16.626322
   3.44897    -16.625969    -16.625971
   3.38996    -16.625665    -16.625667
   3.33096    -16.625432    -16.625433
   3.27196    -16.625284    -16.625286
   3.21295    -16.625234    -16.625236
   3.21295    -16.625234    -16.625236
   3.15425    -16.625241    -16.625243
   3.09555    -16.625273    -16.625275
   3.03684    -16.625324    -16.625326
   2.97814    -16.625390    -16.625392
   2.91943    -16.625470    -16.625471
   2.86073    -16.625564    -16.625566
   2.80203    -16.625678    -16.625680
   2.74332    -16.625839    -16.625841
   2.68462    -16.626078    -16.626079
   2.62591    -16.626344    -16.626346
   2.62591    -16.624240    -16.624241
   2.56953    -16.624057    -16.624059
   2.51314    -16.623966    -16.623968
   2.45675    -16.624018    -16.624020
   2.40037    -16.624152    -16.624154
   2.34398    -16.624346    -16.624348
   2.28759    -16.624568    -16.624570
   2.23121    -16.624785    -16.624787
   2.17482    -16.624969    -16.624971
