Label,Energy (eV),Density (Spin Up) (states/eV),Density (Spin Down) (states/eV)
N$_p$,-23.642991363157645,0.0,0.0
N$_p$,-23.637991363157646,0.0,0.0
N$_p$,-23.632991363157643,0.015599999999999998,0.015599999999999998
N$_p$,-23.627991363157644,0.0515,0.0515
N$_p$,-23.622991363157645,0.048799999999999996,0.048799999999999996
N$_p$,-23.617991363157646,0.0016000000000000003,0.0016000000000000003
N$_p$,-23.612991363157644,0.0,0.0
N$_p$,-23.607991363157645,0.0,0.0
N$_p$,-23.602991363157646,0.0,0.0
N$_p$,-23.597991363157643,0.0,0.0
N$_p$,-23.592991363157644,0.0,0.0
N$_p$,-23.587991363157645,0.0,0.0
N$_p$,-23.582991363157646,0.0,0.0
N$_p$,-23.577991363157643,0.0,0.0
N$_p$,-23.572991363157644,0.0,0.0
N$_p$,-23.567991363157645,0.0,0.0
N$_p$,-23.562991363157646,0.0,0.0
N$_p$,-23.557991363157644,0.0,0.0
N$_p$,-23.552991363157645,0.0,0.0
N$_p$,-23.547991363157646,0.0,0.0
N$_p$,-23.542991363157643,0.0,0.0
N$_p$,-23.537991363157644,0.0,0.0
N$_p$,-23.532991363157645,0.0,0.0
N$_p$,-23.527991363157646,0.0,0.0
N$_p$,-23.522991363157644,0.0,0.0
N$_p$,-23.517991363157645,0.0,0.0
N$_p$,-23.512991363157646,0.0,0.0
N$_p$,-23.507991363157643,0.0,0.0
N$_p$,-23.502991363157644,0.0,0.0
N$_p$,-23.497991363157645,0.0,0.0
N$_p$,-23.492991363157646,0.0,0.0
N$_p$,-23.487991363157644,0.0,0.0
N$_p$,-23.482991363157645,0.0,0.0
N$_p$,-23.477991363157646,0.0,0.0
N$_p$,-23.472991363157643,0.0,0.0
N$_p$,-23.467991363157644,0.0,0.0
N$_p$,-23.462991363157645,0.0,0.0
N$_p$,-23.457991363157646,0.0,0.0
N$_p$,-23.452991363157643,0.0,0.0
N$_p$,-23.447991363157644,0.0,0.0
N$_p$,-23.442991363157645,0.0,0.0
N$_p$,-23.437991363157646,0.0,0.0
N$_p$,-23.432991363157644,0.0,0.0
N$_p$,-23.427991363157645,0.0,0.0
N$_p$,-23.422991363157646,0.0,0.0
N$_p$,-23.417991363157643,0.0,0.0
N$_p$,-23.412991363157644,0.0,0.0
N$_p$,-23.407991363157645,0.0,0.0
N$_p$,-23.402991363157646,0.0,0.0
N$_p$,-23.397991363157644,0.0,0.0
N$_p$,-23.392991363157645,0.0,0.0
N$_p$,-23.387991363157646,0.0,0.0
N$_p$,-23.382991363157643,0.0,0.0
N$_p$,-23.377991363157644,0.0,0.0
N$_p$,-23.372991363157645,0.0,0.0
N$_p$,-23.367991363157646,0.0,0.0
N$_p$,-23.362991363157644,0.0,0.0
N$_p$,-23.357991363157645,0.0,0.0
N$_p$,-23.352991363157646,0.0,0.0
N$_p$,-23.347991363157643,0.0,0.0
N$_p$,-23.342991363157644,0.0,0.0
N$_p$,-23.337991363157645,0.0,0.0
N$_p$,-23.332991363157646,0.0,0.0
N$_p$,-23.327991363157643,0.0,0.0
N$_p$,-23.322991363157644,0.0,0.0
N$_p$,-23.317991363157645,0.0,0.0
N$_p$,-23.312991363157646,0.0,0.0
N$_p$,-23.307991363157644,0.0,0.0
N$_p$,-23.302991363157645,0.0,0.0
N$_p$,-23.297991363157646,0.0,0.0
N$_p$,-23.292991363157643,0.0,0.0
N$_p$,-23.287991363157644,0.0,0.0
N$_p$,-23.282991363157645,0.0,0.0
N$_p$,-23.277991363157646,0.0,0.0
N$_p$,-23.272991363157644,0.0,0.0
N$_p$,-23.267991363157645,0.0,0.0
N$_p$,-23.262991363157646,0.0,0.0
N$_p$,-23.257991363157643,0.0,0.0
N$_p$,-23.252991363157644,0.0,0.0
N$_p$,-23.247991363157645,0.0,0.0
N$_p$,-23.242891363157646,0.0,0.0
N$_p$,-23.237891363157644,0.0,0.0
N$_p$,-23.232891363157645,0.0,0.0
N$_p$,-23.227891363157646,0.0,0.0
N$_p$,-23.222891363157643,0.0,0.0
N$_p$,-23.217891363157644,0.0,0.0
N$_p$,-23.212891363157645,0.0,0.0
N$_p$,-23.207891363157646,0.0,0.0
N$_p$,-23.202891363157644,0.0,0.0
N$_p$,-23.197891363157645,0.0,0.0
N$_p$,-23.192891363157646,0.0,0.0
N$_p$,-23.187891363157643,0.0,0.0
N$_p$,-23.182891363157644,0.0,0.0
N$_p$,-23.177891363157645,0.0,0.0
N$_p$,-23.172891363157646,0.0,0.0
N$_p$,-23.167891363157644,0.0,0.0
N$_p$,-23.162891363157645,0.0,0.0
N$_p$,-23.157891363157646,0.0,0.0
N$_p$,-23.152891363157643,0.0,0.0
N$_p$,-23.147891363157644,0.0,0.0
N$_p$,-23.142891363157645,0.0,0.0
N$_p$,-23.137891363157646,0.0,0.0
N$_p$,-23.132891363157643,0.0,0.0
N$_p$,-23.127891363157644,0.0,0.0
N$_p$,-23.122891363157645,0.0,0.0
N$_p$,-23.117891363157646,0.0,0.0
N$_p$,-23.112891363157644,0.0,0.0
N$_p$,-23.107891363157645,0.0,0.0
N$_p$,-23.102891363157646,0.0,0.0
N$_p$,-23.097891363157643,0.0,0.0
N$_p$,-23.092891363157644,0.0,0.0
N$_p$,-23.087891363157645,0.0,0.0
N$_p$,-23.082891363157646,0.0,0.0
N$_p$,-23.077891363157644,0.0,0.0
N$_p$,-23.072891363157645,0.0,0.0
N$_p$,-23.067891363157646,0.0,0.0
N$_p$,-23.062891363157643,0.0,0.0
N$_p$,-23.057891363157644,0.0,0.0
N$_p$,-23.052891363157645,0.0,0.0
N$_p$,-23.047891363157646,0.0,0.0
N$_p$,-23.042891363157644,0.0,0.0
N$_p$,-23.037891363157645,0.0,0.0
N$_p$,-23.032891363157646,0.0,0.0
N$_p$,-23.027891363157643,0.0,0.0
N$_p$,-23.022891363157644,0.0,0.0
N$_p$,-23.017891363157645,0.0,0.0
N$_p$,-23.012891363157646,0.0,0.0
N$_p$,-23.007891363157643,0.0,0.0
N$_p$,-23.002891363157644,0.0,0.0
N$_p$,-22.997891363157645,0.0,0.0
N$_p$,-22.992891363157646,0.0,0.0
N$_p$,-22.987891363157644,0.0,0.0
N$_p$,-22.982891363157645,0.0,0.0
N$_p$,-22.977891363157646,0.0,0.0
N$_p$,-22.972891363157643,0.0,0.0
N$_p$,-22.967891363157644,0.0,0.0
N$_p$,-22.962891363157645,0.0,0.0
N$_p$,-22.957891363157646,0.0,0.0
N$_p$,-22.952891363157644,0.0,0.0
N$_p$,-22.947891363157645,0.0,0.0
N$_p$,-22.942891363157646,0.0,0.0
N$_p$,-22.937891363157643,0.0,0.0
N$_p$,-22.932891363157644,0.0,0.0
N$_p$,-22.927891363157645,0.0,0.0
N$_p$,-22.922891363157646,0.0,0.0
N$_p$,-22.917891363157644,0.0,0.0
N$_p$,-22.912891363157645,0.0,0.0
N$_p$,-22.907891363157646,0.0,0.0
N$_p$,-22.902891363157643,0.0,0.0
N$_p$,-22.897891363157644,0.0,0.0
N$_p$,-22.892891363157645,0.0,0.0
N$_p$,-22.887891363157646,0.0,0.0
N$_p$,-22.882891363157643,0.0,0.0
N$_p$,-22.877891363157644,0.0,0.0
N$_p$,-22.872891363157645,0.0,0.0
N$_p$,-22.867891363157646,0.0,0.0
N$_p$,-22.862891363157644,0.0,0.0
N$_p$,-22.857891363157645,0.0,0.0
N$_p$,-22.852891363157646,0.0,0.0
N$_p$,-22.847891363157643,0.0,0.0
N$_p$,-22.842891363157644,0.0,0.0
N$_p$,-22.837891363157645,0.0,0.0
N$_p$,-22.832891363157646,0.0,0.0
N$_p$,-22.827891363157644,0.0,0.0
N$_p$,-22.822891363157645,0.0,0.0
N$_p$,-22.817891363157646,0.0,0.0
N$_p$,-22.812891363157643,0.0,0.0
N$_p$,-22.807891363157644,0.0,0.0
N$_p$,-22.802891363157645,0.0,0.0
N$_p$,-22.797891363157646,0.0,0.0
N$_p$,-22.792891363157644,0.0,0.0
N$_p$,-22.787891363157645,0.0,0.0
