#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS:  72 112
# Band-Index    1
   0.00000    -44.164107    -44.164107
   0.05760    -44.164107    -44.164108
   0.11521    -44.164106    -44.164107
   0.17281    -44.164104    -44.164105
   0.23042    -44.164105    -44.164105
   0.28802    -44.164105    -44.164105
   0.34563    -44.164103    -44.164104
   0.40323    -44.164104    -44.164105
   0.46084    -44.164106    -44.164107
   0.46084    -44.162850    -44.162853
   0.52083    -44.163186    -44.163187
   0.58082    -44.163496    -44.163497
   0.64081    -44.163754    -44.163755
   0.70081    -44.163945    -44.163945
   0.76080    -44.164064    -44.164065
   0.82079    -44.164107    -44.164107
   0.82079    -44.164107    -44.164107
   0.88292    -44.164052    -44.164053
   0.94506    -44.163897    -44.163898
   1.00719    -44.163648    -44.163649
   1.06932    -44.163316    -44.163316
   1.13146    -44.162922    -44.162923
   1.19359    -44.162486    -44.162486
   1.25572    -44.162047    -44.162049
   1.25572    -44.161674    -44.161678
   1.31138    -44.161756    -44.161758
   1.36703    -44.161961    -44.161962
   1.42269    -44.162219    -44.162220
   1.47834    -44.162500    -44.162501
   1.53400    -44.162779    -44.162780
   1.58966    -44.163051    -44.163052
   1.64531    -44.163308    -44.163309
   1.70097    -44.163536    -44.163536
   1.75662    -44.163733    -44.163734
   1.81228    -44.163894    -44.163895
   1.86793    -44.164010    -44.164011
   1.92359    -44.164082    -44.164083
   1.97924    -44.164107    -44.164107
   1.97924    -44.164107    -44.164107
   2.03570    -44.164065    -44.164065
   2.09216    -44.163945    -44.163945
   2.14861    -44.163754    -44.163755
   2.20507    -44.163496    -44.163496
   2.26153    -44.163185    -44.163186
   2.31798    -44.162840    -44.162841
   2.37444    -44.162474    -44.162475
   2.43089    -44.162115    -44.162116
   2.48735    -44.161808    -44.161810
   2.54381    -44.161674    -44.161677
   2.54381    -44.162043    -44.162046
   2.60086    -44.162318    -44.162319
   2.65792    -44.162604    -44.162605
   2.71498    -44.162879    -44.162880
   2.77204    -44.163138    -44.163139
   2.82909    -44.163378    -44.163379
   2.88615    -44.163591    -44.163592
   2.94321    -44.163771    -44.163771
   3.00027    -44.163916    -44.163917
   3.05732    -44.164021    -44.164022
   3.11438    -44.164085    -44.164086
   3.17144    -44.164107    -44.164107
   3.17144    -44.164107    -44.164107
   3.22991    -44.164092    -44.164092
   3.28839    -44.164048    -44.164049
   3.34686    -44.163976    -44.163976
   3.40534    -44.163875    -44.163876
   3.46381    -44.163750    -44.163750
   3.52229    -44.163602    -44.163602
   3.58076    -44.163434    -44.163435
   3.63924    -44.163248    -44.163249
   3.69772    -44.163047    -44.163048
   3.75619    -44.162848    -44.162851
 
# Band-Index    2
   3.75619    -44.162822    -44.162820
   3.69772    -44.162613    -44.162613
   3.63924    -44.162386    -44.162387
   3.58076    -44.162162    -44.162162
   3.52229    -44.161942    -44.161943
   3.46381    -44.161727    -44.161728
   3.40534    -44.161529    -44.161530
   3.34686    -44.161352    -44.161353
   3.28839    -44.161206    -44.161207
   3.22991    -44.161108    -44.161108
   3.17144    -44.161073    -44.161074
   3.17144    -44.161073    -44.161074
   3.11438    -44.161069    -44.161069
   3.05732    -44.161061    -44.161061
   3.00027    -44.161052    -44.161053
   2.94321    -44.161043    -44.161044
   2.88615    -44.161043    -44.161043
   2.82909    -44.161067    -44.161068
   2.77204    -44.161140    -44.161141
   2.71498    -44.161286    -44.161286
   2.65792    -44.161498    -44.161499
   2.60086    -44.161752    -44.161753
   2.54381    -44.162018    -44.162017
   2.54381    -44.161643    -44.161640
   2.48735    -44.161652    -44.161650
   2.43089    -44.161650    -44.161650
   2.37444    -44.161631    -44.161630
   2.31798    -44.161584    -44.161584
   2.26153    -44.161509    -44.161509
   2.20507    -44.161410    -44.161411
   2.14861    -44.161298    -44.161299
   2.09216    -44.161188    -44.161189
   2.03570    -44.161105    -44.161105
   1.97924    -44.161073    -44.161074
   1.97924    -44.161073    -44.161074
   1.92359    -44.161091    -44.161091
   1.86793    -44.161143    -44.161143
   1.81228    -44.161219    -44.161220
   1.75662    -44.161306    -44.161307
   1.70097    -44.161393    -44.161394
   1.64531    -44.161474    -44.161474
   1.58966    -44.161541    -44.161541
   1.53400    -44.161592    -44.161592
   1.47834    -44.161628    -44.161628
   1.42269    -44.161647    -44.161646
   1.36703    -44.161653    -44.161652
   1.31138    -44.161652    -44.161650
   1.25572    -44.161643    -44.161641
   1.25572    -44.162021    -44.162020
   1.19359    -44.161603    -44.161604
   1.13146    -44.161258    -44.161258
   1.06932    -44.161079    -44.161080
   1.00719    -44.161041    -44.161042
   0.94506    -44.161050    -44.161050
   0.88292    -44.161066    -44.161066
   0.82079    -44.161073    -44.161074
   0.82079    -44.161073    -44.161074
   0.76080    -44.161169    -44.161170
   0.70081    -44.161407    -44.161408
   0.64081    -44.161727    -44.161727
   0.58082    -44.162089    -44.162089
   0.52083    -44.162464    -44.162464
   0.46084    -44.162824    -44.162822
   0.46084    -44.161077    -44.161077
   0.40323    -44.161076    -44.161077
   0.34563    -44.161076    -44.161076
   0.28802    -44.161075    -44.161076
   0.23042    -44.161075    -44.161075
   0.17281    -44.161073    -44.161074
   0.11521    -44.161072    -44.161072
   0.05760    -44.161072    -44.161073
   0.00000    -44.161073    -44.161074
 
# Band-Index    3
   0.00000    -44.160077    -44.160077
   0.05760    -44.160075    -44.160076
   0.11521    -44.160075    -44.160075
   0.17281    -44.160077    -44.160078
   0.23042    -44.160080    -44.160081
   0.28802    -44.160082    -44.160083
   0.34563    -44.160083    -44.160083
   0.40323    -44.160083    -44.160084
   0.46084    -44.160084    -44.160085
   0.46084    -44.159666    -44.159670
   0.52083    -44.159682    -44.159685
   0.58082    -44.159733    -44.159734
   0.64081    -44.159813    -44.159814
   0.70081    -44.159917    -44.159918
   0.76080    -44.160025    -44.160026
   0.82079    -44.160077    -44.160077
   0.82079    -44.160077    -44.160077
   0.88292    -44.160085    -44.160086
   0.94506    -44.160115    -44.160116
   1.00719    -44.160168    -44.160171
   1.06932    -44.160352    -44.160353
   1.13146    -44.160494    -44.160495
   1.19359    -44.160510    -44.160511
   1.25572    -44.160470    -44.160473
   1.25572    -44.160843    -44.160847
   1.31138    -44.160819    -44.160822
   1.36703    -44.160757    -44.160760
   1.42269    -44.160666    -44.160669
   1.47834    -44.160552    -44.160555
   1.53400    -44.160427    -44.160430
   1.58966    -44.160301    -44.160303
   1.64531    -44.160180    -44.160183
   1.70097    -44.160080    -44.160083
   1.75662    -44.160032    -44.160034
   1.81228    -44.160031    -44.160032
   1.86793    -44.160047    -44.160048
   1.92359    -44.160067    -44.160068
   1.97924    -44.160077    -44.160077
   1.97924    -44.160077    -44.160077
   2.03570    -44.160062    -44.160063
   2.09216    -44.160035    -44.160037
   2.14861    -44.160029    -44.160032
   2.20507    -44.160096    -44.160100
   2.26153    -44.160239    -44.160242
   2.31798    -44.160405    -44.160407
   2.37444    -44.160566    -44.160569
   2.43089    -44.160708    -44.160711
   2.48735    -44.160808    -44.160811
   2.54381    -44.160848    -44.160852
   2.54381    -44.160470    -44.160472
   2.60086    -44.160495    -44.160496
   2.65792    -44.160513    -44.160514
   2.71498    -44.160498    -44.160499
   2.77204    -44.160431    -44.160432
   2.82909    -44.160311    -44.160313
   2.88615    -44.160185    -44.160188
   2.94321    -44.160142    -44.160143
   3.00027    -44.160112    -44.160113
   3.05732    -44.160090    -44.160091
   3.11438    -44.160079    -44.160080
   3.17144    -44.160077    -44.160077
   3.17144    -44.160077    -44.160077
   3.22991    -44.160056    -44.160057
   3.28839    -44.160006    -44.160007
   3.34686    -44.159944    -44.159945
   3.40534    -44.159877    -44.159878
   3.46381    -44.159817    -44.159818
   3.52229    -44.159767    -44.159769
   3.58076    -44.159728    -44.159729
   3.63924    -44.159699    -44.159701
   3.69772    -44.159681    -44.159684
   3.75619    -44.159675    -44.159678
 
# Band-Index    4
   3.75619    -44.159649    -44.159647
   3.69772    -44.159650    -44.159648
   3.63924    -44.159654    -44.159653
   3.58076    -44.159661    -44.159661
   3.52229    -44.159671    -44.159670
   3.46381    -44.159683    -44.159683
   3.40534    -44.159693    -44.159693
   3.34686    -44.159701    -44.159701
   3.28839    -44.159708    -44.159709
   3.22991    -44.159714    -44.159714
   3.17144    -44.159716    -44.159716
   3.17144    -44.159716    -44.159716
   3.11438    -44.159736    -44.159736
   3.05732    -44.159796    -44.159796
   3.00027    -44.159890    -44.159890
   2.94321    -44.160013    -44.160013
   2.88615    -44.160152    -44.160150
   2.82909    -44.160215    -44.160215
   2.77204    -44.160263    -44.160263
   2.71498    -44.160311    -44.160311
   2.65792    -44.160361    -44.160361
   2.60086    -44.160410    -44.160410
   2.54381    -44.160444    -44.160443
   2.54381    -44.160817    -44.160815
   2.48735    -44.160713    -44.160711
   2.43089    -44.160506    -44.160505
   2.37444    -44.160306    -44.160305
   2.31798    -44.160148    -44.160147
   2.26153    -44.160039    -44.160037
   2.20507    -44.159968    -44.159966
   2.14861    -44.159890    -44.159888
   2.09216    -44.159801    -44.159800
   2.03570    -44.159738    -44.159738
   1.97924    -44.159716    -44.159716
   1.97924    -44.159716    -44.159716
   1.92359    -44.159729    -44.159729
   1.86793    -44.159767    -44.159767
   1.81228    -44.159826    -44.159826
   1.75662    -44.159896    -44.159895
   1.70097    -44.159957    -44.159955
   1.64531    -44.160009    -44.160007
   1.58966    -44.160077    -44.160076
   1.53400    -44.160170    -44.160169
   1.47834    -44.160293    -44.160292
   1.42269    -44.160441    -44.160439
   1.36703    -44.160602    -44.160601
   1.31138    -44.160747    -44.160745
   1.25572    -44.160812    -44.160810
   1.25572    -44.160445    -44.160444
   1.19359    -44.160382    -44.160382
   1.13146    -44.160302    -44.160302
   1.06932    -44.160225    -44.160225
   1.00719    -44.160114    -44.160113
   0.94506    -44.159906    -44.159906
   0.88292    -44.159767    -44.159767
   0.82079    -44.159716    -44.159716
   0.82079    -44.159716    -44.159716
   0.76080    -44.159710    -44.159710
   0.70081    -44.159698    -44.159698
   0.64081    -44.159680    -44.159680
   0.58082    -44.159659    -44.159658
   0.52083    -44.159646    -44.159644
   0.46084    -44.159640    -44.159638
   0.46084    -44.159727    -44.159727
   0.40323    -44.159725    -44.159725
   0.34563    -44.159722    -44.159722
   0.28802    -44.159720    -44.159721
   0.23042    -44.159720    -44.159720
   0.17281    -44.159720    -44.159720
   0.11521    -44.159718    -44.159719
   0.05760    -44.159717    -44.159717
   0.00000    -44.159716    -44.159716
 
# Band-Index    5
   0.00000    -26.236690    -26.236689
   0.05760    -26.236701    -26.236701
   0.11521    -26.236733    -26.236733
   0.17281    -26.236781    -26.236781
   0.23042    -26.236837    -26.236836
   0.28802    -26.236892    -26.236892
   0.34563    -26.236943    -26.236943
   0.40323    -26.236969    -26.236969
   0.46084    -26.236981    -26.236980
   0.46084    -26.236315    -26.236314
   0.52083    -26.236391    -26.236390
   0.58082    -26.236488    -26.236488
   0.64081    -26.236572    -26.236572
   0.70081    -26.236637    -26.236637
   0.76080    -26.236677    -26.236677
   0.82079    -26.236690    -26.236689
   0.82079    -26.236690    -26.236689
   0.88292    -26.236682    -26.236682
   0.94506    -26.236657    -26.236656
   1.00719    -26.236614    -26.236613
   1.06932    -26.236559    -26.236558
   1.13146    -26.236485    -26.236485
   1.19359    -26.236404    -26.236403
   1.25572    -26.236344    -26.236343
   1.25572    -26.236373    -26.236373
   1.31138    -26.236374    -26.236373
   1.36703    -26.236378    -26.236377
   1.42269    -26.236394    -26.236393
   1.47834    -26.236423    -26.236422
   1.53400    -26.236459    -26.236458
   1.58966    -26.236500    -26.236499
   1.64531    -26.236542    -26.236541
   1.70097    -26.236582    -26.236582
   1.75662    -26.236619    -26.236618
   1.81228    -26.236649    -26.236648
   1.86793    -26.236671    -26.236671
   1.92359    -26.236685    -26.236685
   1.97924    -26.236690    -26.236689
   1.97924    -26.236690    -26.236689
