Label,Energy (eV),Density (Spin Up) (states/eV),Density (Spin Down) (states/eV)
P$_p$,-23.57780508318789,0.0,0.0
P$_p$,-23.57280508318789,0.0,0.0
P$_p$,-23.56780508318789,0.0,0.0
P$_p$,-23.56280508318789,0.0,0.0
P$_p$,-23.55780508318789,0.0,0.0
P$_p$,-23.55280508318789,0.0,0.0
P$_p$,-23.54780508318789,0.0,0.0
P$_p$,-23.54280508318789,0.0,0.0
P$_p$,-23.53780508318789,0.0,0.0
P$_p$,-23.53280508318789,0.0,0.0
P$_p$,-23.52780508318789,0.0,0.0
P$_p$,-23.52280508318789,0.0,0.0
P$_p$,-23.51780508318789,0.0,0.0
P$_p$,-23.51280508318789,0.0,0.0
P$_p$,-23.50780508318789,0.0,0.0
P$_p$,-23.50280508318789,0.0,0.0
P$_p$,-23.49780508318789,0.0,0.0
P$_p$,-23.49280508318789,0.0,0.0
P$_p$,-23.48780508318789,0.0,0.0
P$_p$,-23.48280508318789,0.0,0.0
P$_p$,-23.47780508318789,0.0,0.0
P$_p$,-23.47280508318789,0.0,0.0
P$_p$,-23.46780508318789,0.0,0.0
P$_p$,-23.46280508318789,0.0,0.0
P$_p$,-23.45780508318789,0.0,0.0
P$_p$,-23.45280508318789,0.0,0.0
P$_p$,-23.44780508318789,0.0,0.0
P$_p$,-23.44280508318789,0.0,0.0
P$_p$,-23.43780508318789,0.0,0.0
P$_p$,-23.43280508318789,0.0,0.0
P$_p$,-23.42780508318789,0.0,0.0
P$_p$,-23.42280508318789,0.0,0.0
P$_p$,-23.41780508318789,0.0,0.0
P$_p$,-23.41280508318789,0.0,0.0
P$_p$,-23.40780508318789,0.0,0.0
P$_p$,-23.40280508318789,0.0,0.0
P$_p$,-23.39780508318789,0.0,0.0
P$_p$,-23.39280508318789,0.0,0.0
P$_p$,-23.38780508318789,0.0,0.0
P$_p$,-23.38280508318789,0.0,0.0
P$_p$,-23.37780508318789,0.0,0.0
P$_p$,-23.37280508318789,0.0,0.0
P$_p$,-23.36780508318789,0.0,0.0
P$_p$,-23.36280508318789,0.0,0.0
P$_p$,-23.35780508318789,0.0,0.0
P$_p$,-23.35280508318789,0.0,0.0
P$_p$,-23.34780508318789,0.0,0.0
P$_p$,-23.34280508318789,0.0,0.0
P$_p$,-23.33780508318789,0.0,0.0
P$_p$,-23.33280508318789,0.0,0.0
P$_p$,-23.32780508318789,0.0,0.0
P$_p$,-23.32280508318789,0.0,0.0
P$_p$,-23.31780508318789,0.0,0.0
P$_p$,-23.31280508318789,0.0,0.0
P$_p$,-23.30780508318789,0.0,0.0
P$_p$,-23.30280508318789,0.0,0.0
P$_p$,-23.29780508318789,0.0,0.0
P$_p$,-23.29280508318789,0.0,0.0
P$_p$,-23.28780508318789,0.0,0.0
P$_p$,-23.28280508318789,0.0,0.0
P$_p$,-23.27780508318789,0.0,0.0
P$_p$,-23.27280508318789,0.0,0.0
P$_p$,-23.26780508318789,0.0,0.0
P$_p$,-23.26280508318789,0.0,0.0
P$_p$,-23.25780508318789,0.0,0.0
P$_p$,-23.25280508318789,0.0,0.0
P$_p$,-23.24780508318789,0.0,0.0
P$_p$,-23.24280508318789,0.0,0.0
P$_p$,-23.23780508318789,0.0,0.0
P$_p$,-23.23280508318789,0.0,0.0
P$_p$,-23.22780508318789,0.0,0.0
P$_p$,-23.22280508318789,0.0,0.0
P$_p$,-23.21780508318789,0.0,0.0
P$_p$,-23.21280508318789,0.0,0.0
P$_p$,-23.20780508318789,0.0,0.0
P$_p$,-23.20280508318789,0.0,0.0
P$_p$,-23.19780508318789,0.0,0.0
P$_p$,-23.19280508318789,0.0,0.0
P$_p$,-23.18780508318789,0.0,0.0
P$_p$,-23.18280508318789,0.0,0.0
P$_p$,-23.17770508318789,0.0,0.0
P$_p$,-23.17270508318789,0.0,0.0
P$_p$,-23.16770508318789,0.0,0.0
P$_p$,-23.16270508318789,0.0,0.0
P$_p$,-23.15770508318789,0.0,0.0
P$_p$,-23.15270508318789,0.0,0.0
P$_p$,-23.14770508318789,0.0,0.0
P$_p$,-23.14270508318789,0.0,0.0
P$_p$,-23.13770508318789,0.0,0.0
P$_p$,-23.13270508318789,0.0,0.0
P$_p$,-23.12770508318789,0.0,0.0
P$_p$,-23.12270508318789,0.0,0.0
P$_p$,-23.11770508318789,0.0,0.0
P$_p$,-23.11270508318789,0.0,0.0
P$_p$,-23.10770508318789,0.0,0.0
P$_p$,-23.10270508318789,0.0,0.0
P$_p$,-23.09770508318789,0.0,0.0
P$_p$,-23.09270508318789,0.0,0.0
P$_p$,-23.08770508318789,0.0,0.0
P$_p$,-23.08270508318789,0.0,0.0
P$_p$,-23.07770508318789,0.0,0.0
P$_p$,-23.07270508318789,0.0,0.0
P$_p$,-23.06770508318789,0.0,0.0
P$_p$,-23.06270508318789,0.0,0.0
P$_p$,-23.05770508318789,0.0,0.0
P$_p$,-23.05270508318789,0.0,0.0
P$_p$,-23.04770508318789,0.0,0.0
P$_p$,-23.04270508318789,0.0,0.0
P$_p$,-23.03770508318789,0.0,0.0
