#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS:  81 112
# Band-Index    1
   0.00000    -42.464382    -42.464380
   0.05944    -42.464233    -42.464230
   0.11888    -42.463800    -42.463797
   0.17832    -42.463100    -42.463097
   0.23776    -42.462153    -42.462151
   0.29720    -42.461007    -42.461005
   0.35664    -42.459708    -42.459705
   0.41607    -42.458489    -42.458487
   0.41607    -42.452721    -42.452719
   0.47679    -42.454966    -42.454963
   0.53751    -42.457179    -42.457176
   0.59823    -42.459208    -42.459205
   0.65895    -42.460976    -42.460973
   0.71967    -42.462425    -42.462422
   0.78039    -42.463497    -42.463494
   0.84111    -42.464157    -42.464154
   0.90183    -42.464382    -42.464380
   0.90183    -42.464382    -42.464380
   0.95804    -42.464379    -42.464377
   1.01426    -42.464378    -42.464376
   1.07047    -42.464378    -42.464376
   1.12668    -42.464375    -42.464373
   1.18289    -42.464373    -42.464370
   1.23910    -42.464372    -42.464370
   1.29532    -42.464369    -42.464367
   1.35153    -42.464368    -42.464366
   1.40774    -42.464369    -42.464367
   1.40774    -42.450900    -42.450899
   1.46145    -42.451298    -42.451297
   1.51516    -42.452271    -42.452270
   1.56887    -42.453510    -42.453508
   1.62257    -42.454851    -42.454849
   1.67628    -42.456218    -42.456216
   1.72999    -42.457562    -42.457560
   1.78370    -42.458845    -42.458843
   1.83741    -42.460041    -42.460039
   1.89111    -42.461129    -42.461127
   1.94482    -42.462082    -42.462080
   1.99853    -42.462890    -42.462887
   2.05224    -42.463534    -42.463532
   2.10595    -42.464000    -42.463997
   2.15966    -42.464285    -42.464283
   2.21336    -42.464382    -42.464380
   2.21336    -42.464382    -42.464380
   2.27085    -42.464281    -42.464279
   2.32834    -42.463983    -42.463981
   2.38584    -42.463498    -42.463495
   2.44333    -42.462825    -42.462823
   2.50082    -42.461980    -42.461978
   2.55831    -42.460976    -42.460974
   2.61580    -42.459826    -42.459824
   2.67329    -42.458554    -42.458552
   2.73078    -42.457176    -42.457174
   2.78827    -42.455716    -42.455714
   2.84576    -42.454198    -42.454196
   2.90325    -42.452715    -42.452713
   2.90325    -42.458482    -42.458479
   2.95783    -42.459128    -42.459126
   3.01242    -42.459922    -42.459920
   3.06700    -42.460686    -42.460684
   3.12159    -42.461401    -42.461398
   3.17617    -42.462059    -42.462057
   3.23075    -42.462652    -42.462650
   3.28534    -42.463164    -42.463161
   3.33992    -42.463593    -42.463591
   3.39451    -42.463935    -42.463932
   3.44909    -42.464179    -42.464176
   3.50367    -42.464330    -42.464328
   3.55826    -42.464382    -42.464380
   3.55826    -42.464382    -42.464380
   3.61640    -42.464203    -42.464200
   3.67455    -42.463678    -42.463675
   3.73269    -42.462824    -42.462822
   3.79084    -42.461666    -42.461664
   3.84898    -42.460249    -42.460246
   3.90712    -42.458619    -42.458617
   3.96527    -42.456835    -42.456833
   4.02341    -42.454980    -42.454978
   4.08156    -42.453161    -42.453160
   4.13970    -42.451606    -42.451604
   4.19785    -42.450898    -42.450898
 
# Band-Index    2
   4.19785    -42.450706    -42.450702
   4.13970    -42.450754    -42.450751
   4.08156    -42.450872    -42.450869
   4.02341    -42.451009    -42.451006
   3.96527    -42.451129    -42.451126
   3.90712    -42.451211    -42.451208
   3.84898    -42.451250    -42.451248
   3.79084    -42.451256    -42.451253
   3.73269    -42.451239    -42.451236
   3.67455    -42.451211    -42.451209
   3.61640    -42.451192    -42.451189
   3.55826    -42.451186    -42.451184
   3.55826    -42.451186    -42.451184
   3.50367    -42.451254    -42.451252
   3.44909    -42.451457    -42.451454
   3.39451    -42.451790    -42.451788
   3.33992    -42.452240    -42.452237
   3.28534    -42.452792    -42.452790
   3.23075    -42.453435    -42.453433
   3.17617    -42.454148    -42.454146
   3.12159    -42.454917    -42.454914
   3.06700    -42.455726    -42.455724
   3.01242    -42.456559    -42.456557
   2.95783    -42.457396    -42.457394
   2.90325    -42.458059    -42.458057
   2.90325    -42.452564    -42.452562
   2.84576    -42.451070    -42.451068
   2.78827    -42.449517    -42.449515
   2.73078    -42.448001    -42.447999
