Label,Energy (eV),Density (Spin Up) (states/eV),Density (Spin Down) (states/eV)
N$_p$,-24.372943733559836,0.0,0.0
N$_p$,-24.36794373355984,0.0,0.0
N$_p$,-24.362943733559838,0.0,0.0
N$_p$,-24.357943733559836,0.0,0.0
N$_p$,-24.35294373355984,0.0,0.0
N$_p$,-24.347943733559838,0.0,0.0
N$_p$,-24.342943733559835,0.0,0.0
N$_p$,-24.33794373355984,0.0,0.0
N$_p$,-24.332943733559837,0.0,0.0
N$_p$,-24.327943733559835,0.0,0.0
N$_p$,-24.32294373355984,0.0,0.0
N$_p$,-24.317943733559837,0.0,0.0
N$_p$,-24.31294373355984,0.0,0.0
N$_p$,-24.30794373355984,0.0,0.0
N$_p$,-24.302943733559836,0.0,0.0
N$_p$,-24.29794373355984,0.0,0.0
N$_p$,-24.292943733559838,0.0,0.0
N$_p$,-24.287943733559835,0.0,0.0
N$_p$,-24.28294373355984,0.0,0.0
N$_p$,-24.277943733559837,0.0,0.0
N$_p$,-24.272943733559835,0.0,0.0
N$_p$,-24.26794373355984,0.0,0.0
N$_p$,-24.262943733559837,0.0,0.0
N$_p$,-24.25794373355984,0.0,0.0
N$_p$,-24.25294373355984,0.0,0.0
N$_p$,-24.247943733559836,0.0,0.0
N$_p$,-24.24294373355984,0.0,0.0
N$_p$,-24.237943733559838,0.0,0.0
N$_p$,-24.232943733559836,0.0,0.0
N$_p$,-24.22794373355984,0.0,0.0
N$_p$,-24.222943733559838,0.0182,0.0182
N$_p$,-24.217943733559835,0.0217,0.0217
N$_p$,-24.21294373355984,0.0,0.0
N$_p$,-24.207943733559837,0.0,0.0
N$_p$,-24.202943733559835,0.0,0.0
N$_p$,-24.19794373355984,0.0,0.0
N$_p$,-24.192943733559837,0.0,0.0
N$_p$,-24.18794373355984,0.0,0.0
N$_p$,-24.18294373355984,0.0736,0.0736
N$_p$,-24.177943733559836,0.03699999999999999,0.03699999999999999
N$_p$,-24.17294373355984,0.0,0.0
N$_p$,-24.167943733559838,0.0,0.0
N$_p$,-24.162943733559835,0.0,0.0
N$_p$,-24.15794373355984,0.023499999999999997,0.023499999999999997
N$_p$,-24.152943733559837,0.0667,0.0667
N$_p$,-24.147943733559835,0.020599999999999997,0.020599999999999997
N$_p$,-24.14294373355984,0.0,0.0
N$_p$,-24.137943733559837,0.0,0.0
N$_p$,-24.13294373355984,0.0,0.0
N$_p$,-24.12794373355984,0.0353,0.0353
N$_p$,-24.122943733559836,0.0437,0.0437
N$_p$,-24.11794373355984,0.0,0.0
N$_p$,-24.112943733559838,0.0,0.0
N$_p$,-24.107943733559836,0.0,0.0
N$_p$,-24.10294373355984,0.0,0.0
N$_p$,-24.097943733559838,0.0,0.0
N$_p$,-24.092943733559835,0.0,0.0
N$_p$,-24.08794373355984,0.0,0.0
N$_p$,-24.082943733559837,0.0,0.0
N$_p$,-24.077943733559835,0.0,0.0
N$_p$,-24.07294373355984,0.582,0.5821
N$_p$,-24.067943733559837,0.05170000000000001,0.05170000000000001
N$_p$,-24.06294373355984,0.0,0.0
N$_p$,-24.05794373355984,0.0,0.0
N$_p$,-24.052943733559836,0.0,0.0
N$_p$,-24.04794373355984,0.0,0.0
N$_p$,-24.042943733559838,0.0,0.0
N$_p$,-24.037943733559835,0.0,0.0
N$_p$,-24.03294373355984,0.0,0.0
N$_p$,-24.027943733559837,0.0,0.0
N$_p$,-24.022943733559835,0.0,0.0
N$_p$,-24.01794373355984,0.0,0.0
N$_p$,-24.012943733559837,0.0,0.0
N$_p$,-24.00794373355984,0.0,0.0
N$_p$,-24.00294373355984,0.0,0.0
N$_p$,-23.997943733559836,0.0,0.0
N$_p$,-23.99294373355984,0.0,0.0
N$_p$,-23.987943733559838,0.0,0.0
N$_p$,-23.982943733559836,0.0,0.0
N$_p$,-23.97794373355984,0.0,0.0
N$_p$,-23.97284373355984,0.0,0.0
N$_p$,-23.96784373355984,0.0,0.0
N$_p$,-23.962843733559836,0.0,0.0
N$_p$,-23.95784373355984,0.0,0.0
N$_p$,-23.95284373355984,0.0,0.0
N$_p$,-23.947843733559836,0.0,0.0
N$_p$,-23.94284373355984,0.0,0.0
N$_p$,-23.937843733559838,0.0,0.0
N$_p$,-23.932843733559835,0.0,0.0
N$_p$,-23.92784373355984,0.0,0.0
N$_p$,-23.922843733559837,0.0,0.0
N$_p$,-23.917843733559835,0.0,0.0
N$_p$,-23.91284373355984,0.0,0.0
N$_p$,-23.907843733559837,0.0,0.0
N$_p$,-23.90284373355984,0.0,0.0
N$_p$,-23.89784373355984,0.0,0.0
N$_p$,-23.892843733559836,0.0,0.0
N$_p$,-23.88784373355984,0.0,0.0
N$_p$,-23.882843733559838,0.0,0.0
N$_p$,-23.877843733559835,0.0,0.0
N$_p$,-23.87284373355984,0.0,0.0
N$_p$,-23.867843733559837,0.0,0.0
N$_p$,-23.862843733559835,0.0,0.0
N$_p$,-23.85784373355984,0.0,0.0
N$_p$,-23.852843733559837,0.0,0.0
N$_p$,-23.84784373355984,0.0,0.0
N$_p$,-23.84284373355984,0.0,0.0
N$_p$,-23.837843733559836,0.0,0.0
N$_p$,-23.83284373355984,0.0,0.0
N$_p$,-23.82784373355984,0.0,0.0
N$_p$,-23.822843733559836,0.0,0.0
N$_p$,-23.81784373355984,0.0,0.0
N$_p$,-23.812843733559838,0.0,0.0
N$_p$,-23.807843733559835,0.0,0.0
N$_p$,-23.80284373355984,0.0,0.0
N$_p$,-23.797843733559837,0.0,0.0
N$_p$,-23.792843733559835,0.0,0.0
N$_p$,-23.78784373355984,0.0,0.0
N$_p$,-23.782843733559837,0.0,0.0
N$_p$,-23.77784373355984,0.0,0.0
N$_p$,-23.77284373355984,0.0,0.0
N$_p$,-23.767843733559836,0.0,0.0
N$_p$,-23.76284373355984,0.0,0.0
N$_p$,-23.757843733559838,0.0,0.0
N$_p$,-23.752843733559835,0.0,0.0
N$_p$,-23.74784373355984,0.0,0.0
N$_p$,-23.742843733559837,0.0,0.0
N$_p$,-23.737843733559835,0.0,0.0
N$_p$,-23.73284373355984,0.0,0.0
N$_p$,-23.727843733559837,0.0,0.0
N$_p$,-23.72284373355984,0.0,0.0
N$_p$,-23.71784373355984,0.0,0.0
N$_p$,-23.712843733559836,0.0,0.0
N$_p$,-23.70784373355984,0.0,0.0
N$_p$,-23.70284373355984,0.0,0.0
N$_p$,-23.697843733559836,0.0,0.0
N$_p$,-23.69284373355984,0.0,0.0
N$_p$,-23.687843733559838,0.0,0.0
N$_p$,-23.682843733559835,0.0,0.0
N$_p$,-23.67784373355984,0.0,0.0
N$_p$,-23.672843733559837,0.0,0.0
N$_p$,-23.667843733559835,0.0,0.0
N$_p$,-23.66284373355984,0.0,0.0
N$_p$,-23.657843733559837,0.0,0.0
N$_p$,-23.65284373355984,0.0,0.0
N$_p$,-23.64784373355984,0.0,0.0
N$_p$,-23.642843733559836,0.0,0.0
N$_p$,-23.63784373355984,0.0,0.0
N$_p$,-23.632843733559838,0.0,0.0
N$_p$,-23.627843733559835,0.0,0.0
N$_p$,-23.62284373355984,0.0,0.0
N$_p$,-23.617843733559837,0.0,0.0
N$_p$,-23.612843733559835,0.0,0.0
N$_p$,-23.60784373355984,0.0,0.0
N$_p$,-23.602843733559837,0.0,0.0
N$_p$,-23.59784373355984,0.0,0.0
N$_p$,-23.59284373355984,0.0,0.0
N$_p$,-23.587843733559836,0.0,0.0
N$_p$,-23.58284373355984,0.0,0.0
N$_p$,-23.57784373355984,0.0,0.0
N$_p$,-23.572843733559836,0.0,0.0
N$_p$,-23.56784373355984,0.0,0.0
N$_p$,-23.562843733559838,0.0,0.0
N$_p$,-23.557843733559835,0.0,0.0
N$_p$,-23.55284373355984,0.0,0.0
N$_p$,-23.547843733559837,0.0,0.0
N$_p$,-23.542843733559835,0.0,0.0
N$_p$,-23.53784373355984,0.0,0.0
N$_p$,-23.532843733559837,0.0,0.0
N$_p$,-23.52784373355984,0.0,0.0
N$_p$,-23.52284373355984,0.0,0.0
N$_p$,-23.517843733559836,0.0,0.0
N$_p$,-23.51284373355984,0.0,0.0
N$_p$,-23.507843733559838,0.0,0.0
N$_p$,-23.502843733559835,0.0,0.0
N$_p$,-23.49784373355984,0.0,0.0
N$_p$,-23.492843733559837,0.0,0.0
N$_p$,-23.487843733559835,0.0,0.0
N$_p$,-23.48284373355984,0.0,0.0
N$_p$,-23.477843733559837,0.0,0.0
N$_p$,-23.47284373355984,0.0,0.0
N$_p$,-23.46784373355984,0.0,0.0
N$_p$,-23.462843733559836,0.0,0.0
N$_p$,-23.45784373355984,0.0,0.0
N$_p$,-23.45284373355984,0.0,0.0
N$_p$,-23.447843733559836,0.0,0.0
N$_p$,-23.44284373355984,0.0,0.0
N$_p$,-23.437843733559838,0.0,0.0
N$_p$,-23.432843733559835,0.0,0.0
N$_p$,-23.42784373355984,0.0,0.0
N$_p$,-23.422843733559837,0.0,0.0
