Label,Energy (eV),Density (Spin Up) (states/eV),Density (Spin Down) (states/eV)
P$_p$,-24.002950320672355,0.0,0.0
P$_p$,-23.997950320672356,0.0,0.0
P$_p$,-23.992950320672353,0.0,0.0
P$_p$,-23.987950320672354,0.0,0.0
P$_p$,-23.982950320672355,0.0,0.0
P$_p$,-23.977950320672356,0.0,0.0
P$_p$,-23.972950320672354,0.0,0.0
P$_p$,-23.967950320672355,0.0,0.0
P$_p$,-23.962950320672356,0.0,0.0
P$_p$,-23.957950320672353,0.0,0.0
P$_p$,-23.952950320672354,0.0,0.0
P$_p$,-23.947950320672355,0.0,0.0
P$_p$,-23.942950320672356,0.0,0.0
P$_p$,-23.937950320672353,0.0,0.0
P$_p$,-23.932950320672354,0.0,0.0
P$_p$,-23.927950320672355,0.0,0.0
P$_p$,-23.922950320672356,0.0,0.0
P$_p$,-23.917950320672354,0.0,0.0
P$_p$,-23.912950320672355,0.0,0.0
P$_p$,-23.907950320672356,0.0,0.0
P$_p$,-23.902950320672353,0.0,0.0
P$_p$,-23.897950320672354,0.0,0.0
P$_p$,-23.892950320672355,0.0,0.0
P$_p$,-23.887950320672356,0.0,0.0
P$_p$,-23.882950320672354,0.0,0.0
P$_p$,-23.877950320672355,0.0,0.0
P$_p$,-23.872950320672356,0.0,0.0
P$_p$,-23.867950320672353,0.0,0.0
P$_p$,-23.862950320672354,0.0,0.0
P$_p$,-23.857950320672355,0.0,0.0
P$_p$,-23.852950320672356,0.0,0.0
P$_p$,-23.847950320672354,0.0,0.0
P$_p$,-23.842950320672355,0.0,0.0
P$_p$,-23.837950320672356,0.0,0.0
P$_p$,-23.832950320672353,0.0,0.0
P$_p$,-23.827950320672354,0.0,0.0
P$_p$,-23.822950320672355,0.0,0.0
P$_p$,-23.817950320672356,0.0,0.0
P$_p$,-23.812950320672353,0.0,0.0
P$_p$,-23.807950320672354,0.0,0.0
P$_p$,-23.802950320672355,0.0,0.0
P$_p$,-23.797950320672356,0.0,0.0
P$_p$,-23.792950320672354,0.0,0.0
P$_p$,-23.787950320672355,0.0,0.0
P$_p$,-23.782950320672356,0.0,0.0
P$_p$,-23.777950320672353,0.0,0.0
P$_p$,-23.772950320672354,0.0,0.0
P$_p$,-23.767950320672355,0.0,0.0
P$_p$,-23.762950320672356,0.0,0.0
P$_p$,-23.757950320672354,0.0,0.0
P$_p$,-23.752950320672355,0.0,0.0
P$_p$,-23.747950320672356,0.0,0.0
P$_p$,-23.742950320672353,0.0,0.0
P$_p$,-23.737950320672354,0.0,0.0
P$_p$,-23.732950320672355,0.0,0.0
P$_p$,-23.727950320672356,0.0,0.0
P$_p$,-23.722950320672354,0.0,0.0
P$_p$,-23.717950320672355,0.0,0.0
P$_p$,-23.712950320672356,0.0,0.0
P$_p$,-23.707950320672353,0.0,0.0
P$_p$,-23.702950320672354,0.0,0.0
P$_p$,-23.697950320672355,0.0,0.0
P$_p$,-23.692950320672356,0.0,0.0
P$_p$,-23.687950320672353,0.0,0.0
P$_p$,-23.682950320672354,0.0,0.0
P$_p$,-23.677950320672355,0.0,0.0
P$_p$,-23.672950320672356,0.0,0.0
P$_p$,-23.667950320672354,0.0,0.0
P$_p$,-23.662950320672355,0.0,0.0
P$_p$,-23.657950320672356,0.0,0.0
P$_p$,-23.652950320672353,0.0,0.0
P$_p$,-23.647950320672354,0.0,0.0
P$_p$,-23.642950320672355,0.0,0.0
P$_p$,-23.637950320672356,0.0,0.0
P$_p$,-23.632950320672354,0.0,0.0
P$_p$,-23.627950320672355,0.0,0.0
P$_p$,-23.622950320672356,0.0,0.0
P$_p$,-23.617950320672353,0.0,0.0
P$_p$,-23.612950320672354,0.0,0.0
P$_p$,-23.607950320672355,0.0,0.0
P$_p$,-23.602850320672356,0.0,0.0
P$_p$,-23.597850320672354,0.0,0.0
P$_p$,-23.592850320672355,0.0,0.0
P$_p$,-23.587850320672356,0.0,0.0
P$_p$,-23.582850320672353,0.0,0.0
P$_p$,-23.577850320672354,0.0,0.0
P$_p$,-23.572850320672355,0.0,0.0
P$_p$,-23.567850320672356,0.0,0.0
P$_p$,-23.562850320672354,0.0,0.0
P$_p$,-23.557850320672355,0.0,0.0
P$_p$,-23.552850320672356,0.0,0.0
P$_p$,-23.547850320672353,0.0,0.0
P$_p$,-23.542850320672354,0.0,0.0
P$_p$,-23.537850320672355,0.0,0.0
P$_p$,-23.532850320672356,0.0,0.0
P$_p$,-23.527850320672353,0.0,0.0
P$_p$,-23.522850320672354,0.0,0.0
P$_p$,-23.517850320672355,0.0,0.0
P$_p$,-23.512850320672353,0.0,0.0
P$_p$,-23.507850320672354,0.0,0.0
P$_p$,-23.502850320672355,0.0,0.0
P$_p$,-23.497850320672356,0.0,0.0
P$_p$,-23.492850320672353,0.0,0.0
P$_p$,-23.487850320672354,0.0,0.0
P$_p$,-23.482850320672355,0.0,0.0
P$_p$,-23.477850320672356,0.0,0.0
P$_p$,-23.472850320672354,0.0,0.0
P$_p$,-23.467850320672355,0.0,0.0
P$_p$,-23.462850320672356,0.0,0.0
P$_p$,-23.457850320672353,0.0,0.0
P$_p$,-23.452850320672354,0.0,0.0
P$_p$,-23.447850320672355,0.0,0.0
P$_p$,-23.442850320672356,0.0,0.0
P$_p$,-23.437850320672354,0.0,0.0
P$_p$,-23.432850320672355,0.0,0.0
P$_p$,-23.427850320672356,0.0,0.0
P$_p$,-23.422850320672353,0.0,0.0
P$_p$,-23.417850320672354,0.0,0.0
P$_p$,-23.412850320672355,0.0,0.0
