Label,Energy (eV),Density (Spin Up) (states/eV),Density (Spin Down) (states/eV)
N$_p$,-23.24789911138737,0.0,0.0
N$_p$,-23.24289911138737,0.0,0.0
N$_p$,-23.237899111387367,0.0,0.0
N$_p$,-23.23289911138737,0.0,0.0
N$_p$,-23.22789911138737,0.0,0.0
N$_p$,-23.22289911138737,0.0,0.0
N$_p$,-23.217899111387368,0.0,0.0
N$_p$,-23.21289911138737,0.0,0.0
N$_p$,-23.20789911138737,0.0,0.0
N$_p$,-23.202899111387367,0.0,0.0
N$_p$,-23.19789911138737,0.0,0.0
N$_p$,-23.19289911138737,0.0,0.0
N$_p$,-23.18789911138737,0.0,0.0
N$_p$,-23.182899111387368,0.0,0.0
N$_p$,-23.17789911138737,0.0,0.0
N$_p$,-23.17289911138737,0.0,0.0
N$_p$,-23.16789911138737,0.0,0.0
N$_p$,-23.162899111387368,0.0,0.0
N$_p$,-23.15789911138737,0.0,0.0
N$_p$,-23.15289911138737,0.0,0.0
N$_p$,-23.147899111387368,0.0,0.0
N$_p$,-23.14289911138737,0.0,0.0
N$_p$,-23.13789911138737,0.0,0.0
N$_p$,-23.13289911138737,0.0,0.0
N$_p$,-23.127899111387368,0.0,0.0
N$_p$,-23.12289911138737,0.0,0.0
N$_p$,-23.11789911138737,0.0,0.0
N$_p$,-23.112899111387367,0.0,0.0
N$_p$,-23.10789911138737,0.0,0.0
N$_p$,-23.10289911138737,0.0,0.0
N$_p$,-23.09789911138737,0.0,0.0
N$_p$,-23.092899111387368,0.0,0.0
N$_p$,-23.08789911138737,0.0,0.0
N$_p$,-23.08289911138737,0.0,0.0
N$_p$,-23.077899111387367,0.0,0.0
N$_p$,-23.07289911138737,0.0,0.0
N$_p$,-23.06789911138737,0.0,0.0
N$_p$,-23.06289911138737,0.0,0.0
N$_p$,-23.057899111387368,0.0,0.0
N$_p$,-23.05289911138737,0.0,0.0
N$_p$,-23.04789911138737,0.0,0.0
N$_p$,-23.04289911138737,0.0,0.0
N$_p$,-23.037899111387368,0.0,0.0
N$_p$,-23.03289911138737,0.0,0.0
N$_p$,-23.02789911138737,0.0,0.0
N$_p$,-23.022899111387368,0.0,0.0
N$_p$,-23.01789911138737,0.0,0.0
N$_p$,-23.01289911138737,0.0,0.0
N$_p$,-23.00789911138737,0.0,0.0
N$_p$,-23.002899111387368,0.0,0.0
N$_p$,-22.99789911138737,0.0,0.0
N$_p$,-22.99289911138737,0.0,0.0
N$_p$,-22.987899111387367,0.0,0.0
N$_p$,-22.98289911138737,0.0,0.0
N$_p$,-22.97789911138737,0.0,0.0
N$_p$,-22.97289911138737,0.0,0.0
N$_p$,-22.967899111387368,0.0,0.0
N$_p$,-22.96289911138737,0.0,0.0
N$_p$,-22.95789911138737,0.0,0.0
N$_p$,-22.952899111387367,0.0,0.0
N$_p$,-22.94789911138737,0.0,0.0
N$_p$,-22.94289911138737,0.0,0.0
N$_p$,-22.93789911138737,0.0,0.0
N$_p$,-22.932899111387368,0.0,0.0
N$_p$,-22.92789911138737,0.0,0.0
N$_p$,-22.92289911138737,0.0,0.0
N$_p$,-22.91789911138737,0.0,0.0
N$_p$,-22.912899111387368,0.0,0.0
N$_p$,-22.90789911138737,0.0,0.0
N$_p$,-22.90289911138737,0.0,0.0
N$_p$,-22.897899111387368,0.0,0.0
N$_p$,-22.89289911138737,0.0,0.0
N$_p$,-22.88789911138737,0.0,0.0
N$_p$,-22.88289911138737,0.0,0.0
N$_p$,-22.877899111387368,0.0,0.0
N$_p$,-22.87289911138737,0.0,0.0
N$_p$,-22.86789911138737,0.0,0.0
N$_p$,-22.862899111387367,0.0,0.0
N$_p$,-22.85789911138737,0.0,0.0
N$_p$,-22.85289911138737,0.0,0.0
N$_p$,-22.84779911138737,0.0,0.0
N$_p$,-22.842799111387368,0.0,0.0
N$_p$,-22.83779911138737,0.0,0.0
N$_p$,-22.83279911138737,0.0,0.0
N$_p$,-22.827799111387368,0.0,0.0
N$_p$,-22.82279911138737,0.0,0.0
N$_p$,-22.81779911138737,0.0,0.0
N$_p$,-22.81279911138737,0.0,0.0
N$_p$,-22.807799111387368,0.0,0.0
N$_p$,-22.80279911138737,0.0,0.0
N$_p$,-22.79779911138737,0.0,0.0
N$_p$,-22.792799111387367,0.0,0.0
N$_p$,-22.78779911138737,0.0,0.0
N$_p$,-22.78279911138737,0.0,0.0
N$_p$,-22.77779911138737,0.0,0.0
N$_p$,-22.772799111387368,0.0,0.0
N$_p$,-22.76779911138737,0.0,0.0
N$_p$,-22.76279911138737,0.0,0.0
N$_p$,-22.757799111387367,0.0,0.0
N$_p$,-22.752799111387368,0.0,0.0
N$_p$,-22.74779911138737,0.0,0.0
N$_p$,-22.74279911138737,0.0,0.0
N$_p$,-22.737799111387368,0.0,0.0
N$_p$,-22.73279911138737,0.0,0.0
N$_p$,-22.72779911138737,0.0,0.0
N$_p$,-22.72279911138737,0.0,0.0
N$_p$,-22.717799111387368,0.0,0.0
N$_p$,-22.71279911138737,0.0,0.0
N$_p$,-22.70779911138737,0.0,0.0
N$_p$,-22.702799111387368,0.0,0.0
N$_p$,-22.69779911138737,0.0,0.0
N$_p$,-22.69279911138737,0.0,0.0
N$_p$,-22.68779911138737,0.0,0.0
N$_p$,-22.682799111387368,0.0,0.0
N$_p$,-22.67779911138737,0.0,0.0
N$_p$,-22.67279911138737,0.0,0.0
N$_p$,-22.667799111387367,0.0,0.0
N$_p$,-22.66279911138737,0.0,0.0
N$_p$,-22.65779911138737,0.0,0.0
N$_p$,-22.65279911138737,0.0,0.0
N$_p$,-22.647799111387368,0.0,0.0
N$_p$,-22.64279911138737,0.0,0.0
N$_p$,-22.63779911138737,0.0,0.0
N$_p$,-22.632799111387367,0.0,0.0
N$_p$,-22.627799111387368,0.0,0.0
N$_p$,-22.62279911138737,0.0,0.0
N$_p$,-22.61779911138737,0.0,0.0
N$_p$,-22.612799111387368,0.0,0.0
N$_p$,-22.60779911138737,0.0,0.0
N$_p$,-22.60279911138737,0.0,0.0
N$_p$,-22.59779911138737,0.0,0.0
N$_p$,-22.592799111387368,0.0,0.0
N$_p$,-22.58779911138737,0.0,0.0
N$_p$,-22.58279911138737,0.0,0.0
N$_p$,-22.577799111387368,0.0,0.0
N$_p$,-22.57279911138737,0.0,0.0
N$_p$,-22.56779911138737,0.0,0.0
N$_p$,-22.56279911138737,0.0,0.0
N$_p$,-22.557799111387368,0.0,0.0
N$_p$,-22.55279911138737,0.0,0.0
N$_p$,-22.54779911138737,0.0,0.0
N$_p$,-22.542799111387367,0.0,0.0
N$_p$,-22.53779911138737,0.0,0.0
N$_p$,-22.53279911138737,0.0,0.0
N$_p$,-22.52779911138737,0.0,0.0
N$_p$,-22.522799111387368,0.0,0.0
N$_p$,-22.51779911138737,0.0,0.0
N$_p$,-22.51279911138737,0.0,0.0
N$_p$,-22.507799111387367,0.0,0.0
N$_p$,-22.502799111387368,0.0,0.0
N$_p$,-22.49779911138737,0.0,0.0
N$_p$,-22.49279911138737,0.0,0.0
N$_p$,-22.487799111387368,0.0,0.0
