Label,Energy (eV),Density (Spin Up) (states/eV),Density (Spin Down) (states/eV)
P$_p$,-23.07286745587344,0.0,0.0
P$_p$,-23.06786745587344,0.0,0.0
P$_p$,-23.062867455873437,0.0,0.0
P$_p$,-23.05786745587344,0.0,0.0
P$_p$,-23.05286745587344,0.0,0.0
P$_p$,-23.04786745587344,0.0,0.0
P$_p$,-23.042867455873438,0.0,0.0
P$_p$,-23.03786745587344,0.0,0.0
P$_p$,-23.03286745587344,0.0,0.0
P$_p$,-23.027867455873437,0.0,0.0
P$_p$,-23.02286745587344,0.0,0.0
P$_p$,-23.01786745587344,0.0,0.0
P$_p$,-23.01286745587344,0.0,0.0
P$_p$,-23.007867455873438,0.0,0.0
P$_p$,-23.00286745587344,0.0,0.0
P$_p$,-22.99786745587344,0.0,0.0
P$_p$,-22.99286745587344,0.0,0.0
P$_p$,-22.987867455873438,0.0,0.0
P$_p$,-22.98286745587344,0.0,0.0
P$_p$,-22.97786745587344,0.0,0.0
P$_p$,-22.972867455873438,0.0,0.0
P$_p$,-22.96786745587344,0.0,0.0
P$_p$,-22.96286745587344,0.0,0.0
P$_p$,-22.95786745587344,0.0,0.0
P$_p$,-22.952867455873438,0.0,0.0
P$_p$,-22.94786745587344,0.0,0.0
P$_p$,-22.94286745587344,0.0,0.0
P$_p$,-22.937867455873437,0.0,0.0
P$_p$,-22.93286745587344,0.0,0.0
P$_p$,-22.92786745587344,0.0,0.0
P$_p$,-22.92286745587344,0.0,0.0
P$_p$,-22.917867455873438,0.0,0.0
P$_p$,-22.91286745587344,0.0,0.0
P$_p$,-22.90786745587344,0.0,0.0
P$_p$,-22.902867455873437,0.0,0.0
P$_p$,-22.89786745587344,0.0,0.0
P$_p$,-22.89286745587344,0.0,0.0
P$_p$,-22.88786745587344,0.0,0.0
P$_p$,-22.882867455873438,0.0,0.0
P$_p$,-22.87786745587344,0.0,0.0
P$_p$,-22.87286745587344,0.0,0.0
P$_p$,-22.86786745587344,0.0,0.0
P$_p$,-22.862867455873438,0.0,0.0
P$_p$,-22.85786745587344,0.0,0.0
P$_p$,-22.85286745587344,0.0,0.0
P$_p$,-22.847867455873438,0.0,0.0
P$_p$,-22.84286745587344,0.0,0.0
P$_p$,-22.83786745587344,0.0,0.0
P$_p$,-22.83286745587344,0.0,0.0
P$_p$,-22.827867455873438,0.0,0.0
P$_p$,-22.82286745587344,0.0,0.0
P$_p$,-22.81786745587344,0.0,0.0
P$_p$,-22.812867455873437,0.0,0.0
P$_p$,-22.80786745587344,0.0,0.0
P$_p$,-22.80286745587344,0.0,0.0
P$_p$,-22.79786745587344,0.0,0.0
P$_p$,-22.792867455873438,0.0,0.0
P$_p$,-22.78786745587344,0.0,0.0
P$_p$,-22.78286745587344,0.0,0.0
P$_p$,-22.777867455873437,0.0,0.0
P$_p$,-22.77286745587344,0.0,0.0
P$_p$,-22.76786745587344,0.0,0.0
P$_p$,-22.76286745587344,0.0,0.0
P$_p$,-22.757867455873438,0.0,0.0
P$_p$,-22.75286745587344,0.0,0.0
P$_p$,-22.74786745587344,0.0,0.0
P$_p$,-22.74286745587344,0.0,0.0
P$_p$,-22.737867455873438,0.0,0.0
P$_p$,-22.73286745587344,0.0,0.0
P$_p$,-22.72786745587344,0.0,0.0
P$_p$,-22.722867455873438,0.0,0.0
P$_p$,-22.71786745587344,0.0,0.0
