#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS:  78 112
# Band-Index    1
   0.00000    -36.427931    -36.427933
   0.06184    -36.427929    -36.427932
   0.12367    -36.427925    -36.427928
   0.18551    -36.427919    -36.427921
   0.24734    -36.427913    -36.427915
   0.30918    -36.427909    -36.427911
   0.37101    -36.427902    -36.427905
   0.43285    -36.427899    -36.427901
   0.49468    -36.427898    -36.427900
   0.49468    -36.410765    -36.410767
   0.55240    -36.414786    -36.414789
   0.61012    -36.418501    -36.418504
   0.66784    -36.421730    -36.421732
   0.72556    -36.424371    -36.424373
   0.78328    -36.426325    -36.426327
   0.84100    -36.427524    -36.427526
   0.89872    -36.427931    -36.427933
   0.89872    -36.427931    -36.427933
   0.95836    -36.427459    -36.427461
   1.01799    -36.426069    -36.426071
   1.07762    -36.423810    -36.423812
   1.13726    -36.420765    -36.420768
   1.19689    -36.417054    -36.417056
   1.25653    -36.412813    -36.412815
   1.31616    -36.408212    -36.408214
   1.37579    -36.403487    -36.403489
   1.37579    -36.395735    -36.395737
   1.43249    -36.397193    -36.397195
   1.48919    -36.400121    -36.400124
   1.54589    -36.403407    -36.403410
   1.60260    -36.406794    -36.406796
   1.65930    -36.410164    -36.410167
   1.71600    -36.413428    -36.413430
   1.77270    -36.416503    -36.416505
   1.82940    -36.419326    -36.419328
   1.88610    -36.421831    -36.421833
   1.94280    -36.423959    -36.423961
   1.99950    -36.425668    -36.425670
   2.05620    -36.426916    -36.426918
   2.11290    -36.427674    -36.427676
   2.16960    -36.427931    -36.427933
   2.16960    -36.427931    -36.427933
   2.22643    -36.427516    -36.427518
   2.28327    -36.426294    -36.426296
   2.34010    -36.424306    -36.424309
   2.39693    -36.421623    -36.421625
   2.45377    -36.418343    -36.418345
   2.51060    -36.414583    -36.414585
   2.56743    -36.410480    -36.410483
   2.62427    -36.406191    -36.406194
   2.68110    -36.401905    -36.401907
   2.73793    -36.397937    -36.397939
   2.79477    -36.395736    -36.395738
   2.79477    -36.403465    -36.403467
   2.85171    -36.406604    -36.406606
   2.90865    -36.409754    -36.409756
   2.96559    -36.412796    -36.412798
   3.02253    -36.415678    -36.415680
   3.07947    -36.418343    -36.418346
   3.13641    -36.420755    -36.420757
   3.19335    -36.422870    -36.422872
   3.25029    -36.424649    -36.424651
   3.30724    -36.426068    -36.426070
   3.36418    -36.427098    -36.427100
   3.42112    -36.427720    -36.427723
   3.47806    -36.427931    -36.427933
   3.47806    -36.427931    -36.427933
   3.53612    -36.427764    -36.427766
   3.59419    -36.427273    -36.427275
   3.65225    -36.426459    -36.426461
   3.71032    -36.425338    -36.425340
   3.76838    -36.423926    -36.423928
   3.82645    -36.422240    -36.422242
   3.88451    -36.420308    -36.420310
   3.94258    -36.418155    -36.418157
   4.00064    -36.415810    -36.415812
