Label,Energy (eV),Density (Spin Up) (states/eV),Density (Spin Down) (states/eV)
N$_p$,-24.007975599220593,0.0,0.0
N$_p$,-24.00297559922059,0.0,0.0
N$_p$,-23.997975599220588,0.0,0.0
N$_p$,-23.992975599220593,0.0,0.0
N$_p$,-23.98797559922059,0.0,0.0
N$_p$,-23.982975599220595,0.0444,0.0444
N$_p$,-23.977975599220592,0.0,0.0
N$_p$,-23.97297559922059,0.0,0.0
N$_p$,-23.967975599220594,0.0,0.0
N$_p$,-23.96297559922059,0.0,0.0
N$_p$,-23.95797559922059,0.0,0.0
N$_p$,-23.952975599220593,0.0,0.0
N$_p$,-23.94797559922059,0.0,0.0
N$_p$,-23.94297559922059,0.0,0.0
N$_p$,-23.937975599220593,0.0402,0.0402
N$_p$,-23.93297559922059,0.055,0.055
N$_p$,-23.927975599220595,0.0031999999999999997,0.0031999999999999997
N$_p$,-23.922975599220592,0.0,0.0
N$_p$,-23.91797559922059,0.013300000000000003,0.013300000000000003
N$_p$,-23.912975599220594,0.06010000000000001,0.06010000000000001
N$_p$,-23.907975599220592,0.025500000000000005,0.025500000000000005
N$_p$,-23.90297559922059,0.19340000000000002,0.19340000000000002
N$_p$,-23.897975599220594,0.0020000000000000005,0.0020000000000000005
N$_p$,-23.89297559922059,0.0,0.0
N$_p$,-23.88797559922059,0.0,0.0
N$_p$,-23.882975599220593,0.0,0.0
N$_p$,-23.87797559922059,0.0,0.0
N$_p$,-23.872975599220588,0.0,0.0
N$_p$,-23.867975599220593,0.0,0.0
N$_p$,-23.86297559922059,0.0,0.0
N$_p$,-23.857975599220595,0.0,0.0
N$_p$,-23.852975599220592,0.0,0.0
N$_p$,-23.84797559922059,0.0,0.0
N$_p$,-23.842975599220594,0.0,0.0
N$_p$,-23.83797559922059,0.0,0.0
N$_p$,-23.83297559922059,0.1163,0.1163
N$_p$,-23.827975599220593,0.0073999999999999995,0.0073999999999999995
N$_p$,-23.82297559922059,0.0,0.0
N$_p$,-23.81797559922059,0.0,0.0
N$_p$,-23.812975599220593,0.0,0.0
N$_p$,-23.80797559922059,0.0,0.0
N$_p$,-23.802975599220595,0.0,0.0
N$_p$,-23.797975599220592,0.0,0.0
N$_p$,-23.79297559922059,0.0,0.0
N$_p$,-23.787975599220594,0.0,0.0
N$_p$,-23.782975599220592,0.0,0.0
N$_p$,-23.77797559922059,0.0,0.0
N$_p$,-23.772975599220594,0.0,0.0
N$_p$,-23.76797559922059,0.0,0.0
N$_p$,-23.76297559922059,0.0,0.0
N$_p$,-23.757975599220593,0.0,0.0
N$_p$,-23.75297559922059,0.0,0.0
N$_p$,-23.747975599220588,0.0,0.0
N$_p$,-23.742975599220593,0.0,0.0
N$_p$,-23.73797559922059,0.0,0.0
N$_p$,-23.732975599220595,0.0,0.0
N$_p$,-23.727975599220592,0.0,0.0
N$_p$,-23.72297559922059,0.0,0.0
N$_p$,-23.717975599220594,0.0,0.0
N$_p$,-23.71297559922059,0.0,0.0
N$_p$,-23.70797559922059,0.0,0.0
N$_p$,-23.702975599220593,0.0,0.0
N$_p$,-23.69797559922059,0.0,0.0
N$_p$,-23.69297559922059,0.0,0.0
N$_p$,-23.687975599220593,0.0,0.0
N$_p$,-23.68297559922059,0.0,0.0
N$_p$,-23.677975599220595,0.0,0.0
N$_p$,-23.672975599220592,0.0,0.0
N$_p$,-23.66797559922059,0.0,0.0
N$_p$,-23.662975599220594,0.0,0.0
N$_p$,-23.657975599220592,0.0,0.0
N$_p$,-23.65297559922059,0.0,0.0
N$_p$,-23.647975599220594,0.0,0.0
N$_p$,-23.64297559922059,0.0,0.0
N$_p$,-23.63797559922059,0.0,0.0
N$_p$,-23.632975599220593,0.0,0.0
N$_p$,-23.62797559922059,0.0,0.0
N$_p$,-23.622975599220588,0.0,0.0
N$_p$,-23.617975599220593,0.0,0.0
N$_p$,-23.61297559922059,0.0,0.0
N$_p$,-23.60787559922059,0.0,0.0
N$_p$,-23.60287559922059,0.0,0.0
N$_p$,-23.597875599220593,0.0,0.0
N$_p$,-23.59287559922059,0.0,0.0
N$_p$,-23.587875599220588,0.0,0.0
N$_p$,-23.582875599220593,0.0,0.0
N$_p$,-23.57787559922059,0.0,0.0
N$_p$,-23.572875599220595,0.0,0.0
N$_p$,-23.567875599220592,0.0,0.0
N$_p$,-23.56287559922059,0.0,0.0
N$_p$,-23.557875599220594,0.0,0.0
N$_p$,-23.55287559922059,0.0,0.0
N$_p$,-23.54787559922059,0.0,0.0
N$_p$,-23.542875599220594,0.0,0.0
N$_p$,-23.53787559922059,0.0,0.0
