Label,Energy (eV),Density (Spin Up) (states/eV),Density (Spin Down) (states/eV)
P$_p$,-23.50272928680893,0.0,0.0
P$_p$,-23.49772928680893,0.0,0.0
P$_p$,-23.492729286808927,0.0,0.0
P$_p$,-23.48772928680893,0.0,0.0
P$_p$,-23.48272928680893,0.0,0.0
P$_p$,-23.47772928680893,0.0,0.0
P$_p$,-23.472729286808928,0.0,0.0
P$_p$,-23.46772928680893,0.0,0.0
P$_p$,-23.46272928680893,0.0,0.0
P$_p$,-23.457729286808927,0.0,0.0
P$_p$,-23.45272928680893,0.0,0.0
P$_p$,-23.44772928680893,0.0,0.0
P$_p$,-23.44272928680893,0.0,0.0
P$_p$,-23.437729286808928,0.0,0.0
P$_p$,-23.43272928680893,0.0,0.0
P$_p$,-23.42772928680893,0.0,0.0
P$_p$,-23.42272928680893,0.0,0.0
P$_p$,-23.417729286808928,0.0,0.0
P$_p$,-23.41272928680893,0.0,0.0
P$_p$,-23.40772928680893,0.0,0.0
P$_p$,-23.402729286808928,0.0,0.0
P$_p$,-23.39772928680893,0.0,0.0
P$_p$,-23.39272928680893,0.0,0.0
P$_p$,-23.38772928680893,0.0,0.0
P$_p$,-23.382729286808928,0.0,0.0
P$_p$,-23.37772928680893,0.0,0.0
P$_p$,-23.37272928680893,0.0,0.0
P$_p$,-23.367729286808927,0.0,0.0
P$_p$,-23.36272928680893,0.0,0.0
P$_p$,-23.35772928680893,0.0,0.0
P$_p$,-23.35272928680893,0.0,0.0
P$_p$,-23.347729286808928,0.0,0.0
P$_p$,-23.34272928680893,0.0,0.0
P$_p$,-23.33772928680893,0.0,0.0
P$_p$,-23.332729286808927,0.0,0.0
P$_p$,-23.32772928680893,0.0,0.0
P$_p$,-23.32272928680893,0.0,0.0
P$_p$,-23.31772928680893,0.0,0.0
P$_p$,-23.312729286808928,0.0,0.0
P$_p$,-23.30772928680893,0.0,0.0
P$_p$,-23.30272928680893,0.0,0.0
P$_p$,-23.29772928680893,0.0,0.0
P$_p$,-23.292729286808928,0.0,0.0
P$_p$,-23.28772928680893,0.0,0.0
P$_p$,-23.28272928680893,0.0,0.0
P$_p$,-23.277729286808928,0.0,0.0
P$_p$,-23.27272928680893,0.0,0.0
P$_p$,-23.26772928680893,0.0,0.0
P$_p$,-23.26272928680893,0.0,0.0
P$_p$,-23.257729286808928,0.0,0.0
P$_p$,-23.25272928680893,0.0,0.0
P$_p$,-23.24772928680893,0.0,0.0
P$_p$,-23.242729286808927,0.0,0.0
P$_p$,-23.23772928680893,0.0,0.0
P$_p$,-23.23272928680893,0.0,0.0
P$_p$,-23.22772928680893,0.0,0.0
P$_p$,-23.222729286808928,0.0,0.0
P$_p$,-23.21772928680893,0.0,0.0
P$_p$,-23.21272928680893,0.0,0.0
P$_p$,-23.207729286808927,0.0,0.0
P$_p$,-23.20272928680893,0.0,0.0
P$_p$,-23.19772928680893,0.0,0.0
P$_p$,-23.19272928680893,0.0,0.0
P$_p$,-23.187729286808928,0.0,0.0
P$_p$,-23.18272928680893,0.0,0.0
P$_p$,-23.17772928680893,0.0,0.0
P$_p$,-23.17272928680893,0.0,0.0
P$_p$,-23.167729286808928,0.0,0.0
P$_p$,-23.16272928680893,0.0,0.0
P$_p$,-23.15772928680893,0.0,0.0
P$_p$,-23.152729286808928,0.0,0.0
P$_p$,-23.14772928680893,0.0,0.0
P$_p$,-23.14272928680893,0.0,0.0
P$_p$,-23.13772928680893,0.0,0.0
P$_p$,-23.132729286808928,0.0,0.0
P$_p$,-23.12772928680893,0.0,0.0
P$_p$,-23.12272928680893,0.0,0.0
P$_p$,-23.117729286808927,0.0,0.0
P$_p$,-23.11272928680893,0.0,0.0
P$_p$,-23.10772928680893,0.0,0.0
P$_p$,-23.10262928680893,0.0,0.0
P$_p$,-23.097629286808928,0.0,0.0
P$_p$,-23.09262928680893,0.0,0.0
P$_p$,-23.08762928680893,0.0,0.0
P$_p$,-23.082629286808928,0.0,0.0
P$_p$,-23.07762928680893,0.0,0.0
P$_p$,-23.07262928680893,0.0,0.0
P$_p$,-23.06762928680893,0.0,0.0
P$_p$,-23.062629286808928,0.0,0.0
P$_p$,-23.05762928680893,0.0,0.0
P$_p$,-23.05262928680893,0.0,0.0
P$_p$,-23.047629286808927,0.0,0.0
P$_p$,-23.04262928680893,0.0,0.0
P$_p$,-23.03762928680893,0.0,0.0
P$_p$,-23.03262928680893,0.0,0.0
P$_p$,-23.027629286808928,0.0,0.0
P$_p$,-23.02262928680893,0.0,0.0
P$_p$,-23.01762928680893,0.0,0.0
P$_p$,-23.012629286808927,0.0,0.0
P$_p$,-23.00762928680893,0.0,0.0
P$_p$,-23.00262928680893,0.0,0.0
P$_p$,-22.99762928680893,0.0,0.0
P$_p$,-22.992629286808928,0.0,0.0
P$_p$,-22.98762928680893,0.0,0.0
P$_p$,-22.98262928680893,0.0,0.0
P$_p$,-22.97762928680893,0.0,0.0
P$_p$,-22.972629286808928,0.0,0.0
P$_p$,-22.96762928680893,0.0,0.0
P$_p$,-22.96262928680893,0.0,0.0
P$_p$,-22.957629286808928,0.0,0.0
P$_p$,-22.95262928680893,0.0,0.0
P$_p$,-22.94762928680893,0.0,0.0
P$_p$,-22.94262928680893,0.0,0.0
P$_p$,-22.937629286808928,0.0,0.0
P$_p$,-22.93262928680893,0.0,0.0
P$_p$,-22.92762928680893,0.0,0.0
P$_p$,-22.922629286808927,0.0,0.0
P$_p$,-22.91762928680893,0.0,0.0
P$_p$,-22.91262928680893,0.0,0.0
P$_p$,-22.90762928680893,0.0,0.0
P$_p$,-22.902629286808928,0.0,0.0
P$_p$,-22.89762928680893,0.0,0.0
P$_p$,-22.89262928680893,0.0,0.0
P$_p$,-22.887629286808927,0.0,0.0
P$_p$,-22.88262928680893,0.0,0.0
P$_p$,-22.87762928680893,0.0,0.0
P$_p$,-22.87262928680893,0.0,0.0
P$_p$,-22.867629286808928,0.0,0.0
P$_p$,-22.86262928680893,0.0,0.0
P$_p$,-22.85762928680893,0.0,0.0
P$_p$,-22.85262928680893,0.0,0.0
P$_p$,-22.847629286808928,0.0,0.0
P$_p$,-22.84262928680893,0.0,0.0
P$_p$,-22.83762928680893,0.0,0.0
P$_p$,-22.832629286808928,0.0,0.0
P$_p$,-22.82762928680893,0.0,0.0
P$_p$,-22.82262928680893,0.0,0.0
P$_p$,-22.81762928680893,0.0,0.0
P$_p$,-22.812629286808928,0.0,0.0
P$_p$,-22.80762928680893,0.0,0.0
P$_p$,-22.80262928680893,0.0,0.0
P$_p$,-22.797629286808927,0.0,0.0
P$_p$,-22.79262928680893,0.0,0.0
P$_p$,-22.78762928680893,0.0,0.0
P$_p$,-22.78262928680893,0.0,0.0
P$_p$,-22.777629286808928,0.0,0.0
P$_p$,-22.77262928680893,0.0,0.0
P$_p$,-22.76762928680893,0.0,0.0
P$_p$,-22.762629286808927,0.0,0.0
P$_p$,-22.75762928680893,0.0,0.0
P$_p$,-22.75262928680893,0.0,0.0
P$_p$,-22.74762928680893,0.0,0.0
P$_p$,-22.742629286808928,0.0,0.0
P$_p$,-22.73762928680893,0.0,0.0
P$_p$,-22.73262928680893,0.0,0.0
P$_p$,-22.72762928680893,0.0,0.0
P$_p$,-22.722629286808928,0.0,0.0
P$_p$,-22.71762928680893,0.0,0.0
P$_p$,-22.71262928680893,0.0,0.0
P$_p$,-22.707629286808928,0.0,0.0
P$_p$,-22.70262928680893,0.0,0.0
P$_p$,-22.69762928680893,0.0,0.0
P$_p$,-22.69262928680893,0.0,0.0
P$_p$,-22.687629286808928,0.0,0.0
P$_p$,-22.68262928680893,0.0,0.0
P$_p$,-22.67762928680893,0.0,0.0
P$_p$,-22.672629286808927,0.0,0.0
P$_p$,-22.66762928680893,0.0,0.0
P$_p$,-22.66262928680893,0.0,0.0
P$_p$,-22.65762928680893,0.0,0.0
P$_p$,-22.652629286808928,0.0,0.0
P$_p$,-22.64762928680893,0.0,0.0
P$_p$,-22.64262928680893,0.0,0.0
P$_p$,-22.637629286808927,0.0,0.0
P$_p$,-22.63262928680893,0.0,0.0
P$_p$,-22.62762928680893,0.0,0.0
P$_p$,-22.62262928680893,0.0,0.0
P$_p$,-22.617629286808928,0.0,0.0
P$_p$,-22.61262928680893,0.0,0.0
P$_p$,-22.60762928680893,0.0,0.0
P$_p$,-22.60262928680893,0.0,0.0
P$_p$,-22.597629286808928,0.0,0.0
P$_p$,-22.59262928680893,0.0,0.0
P$_p$,-22.58762928680893,0.0,0.0
P$_p$,-22.582629286808928,0.0,0.0
P$_p$,-22.57762928680893,0.0,0.0
P$_p$,-22.57262928680893,0.0,0.0
P$_p$,-22.56762928680893,0.0,0.0
P$_p$,-22.562629286808928,0.0,0.0
P$_p$,-22.55762928680893,0.0,0.0
P$_p$,-22.55262928680893,0.0,0.0
P$_p$,-22.547629286808927,0.0,0.0
P$_p$,-22.54262928680893,0.0,0.0
P$_p$,-22.53762928680893,0.0,0.0
P$_p$,-22.53262928680893,0.0,0.0
P$_p$,-22.527629286808928,0.0,0.0
P$_p$,-22.52262928680893,0.0,0.0
P$_p$,-22.51762928680893,0.0,0.0
P$_p$,-22.512629286808927,0.0,0.0
P$_p$,-22.50762928680893,0.0,0.0
P$_p$,-22.50262928680893,0.0,0.0
P$_p$,-22.49762928680893,0.0,0.0
P$_p$,-22.492629286808928,0.0,0.0
P$_p$,-22.48762928680893,0.0,0.0
P$_p$,-22.48262928680893,0.0,0.0
P$_p$,-22.47762928680893,0.0,0.0
P$_p$,-22.472629286808928,0.0,0.0
