Label,Energy (eV),Density (Spin Up) (states/eV),Density (Spin Down) (states/eV)
N$_p$,-23.507896268002597,0.0,0.0
N$_p$,-23.5028962680026,0.0,0.0
N$_p$,-23.4978962680026,0.0,0.0
N$_p$,-23.492896268002596,0.0,0.0
N$_p$,-23.4878962680026,0.0,0.0
N$_p$,-23.482896268002598,0.0,0.0
N$_p$,-23.477896268002596,0.0,0.0
N$_p$,-23.4728962680026,0.0,0.0
N$_p$,-23.467896268002598,0.0,0.0
N$_p$,-23.462896268002595,0.0,0.0
N$_p$,-23.4578962680026,0.0,0.0
N$_p$,-23.452896268002597,0.0,0.0
N$_p$,-23.4478962680026,0.0,0.0
N$_p$,-23.4428962680026,0.0,0.0
N$_p$,-23.437896268002596,0.0,0.0
N$_p$,-23.4328962680026,0.0,0.0
N$_p$,-23.4278962680026,0.0,0.0
N$_p$,-23.422896268002596,0.0,0.0
N$_p$,-23.4178962680026,0.0,0.0
N$_p$,-23.412896268002598,0.0,0.0
N$_p$,-23.407896268002595,0.0,0.0
N$_p$,-23.4028962680026,0.0,0.0
N$_p$,-23.397896268002597,0.0,0.0
N$_p$,-23.392896268002602,0.0,0.0
N$_p$,-23.3878962680026,0.0,0.0
N$_p$,-23.382896268002597,0.0,0.0
N$_p$,-23.3778962680026,0.0,0.0
N$_p$,-23.3728962680026,0.0,0.0
N$_p$,-23.367896268002596,0.0,0.0
N$_p$,-23.3628962680026,0.0,0.0
N$_p$,-23.357896268002598,0.0,0.0
N$_p$,-23.352896268002596,0.0,0.0
N$_p$,-23.3478962680026,0.0,0.0
N$_p$,-23.342896268002598,0.0,0.0
N$_p$,-23.337896268002595,0.0,0.0
N$_p$,-23.3328962680026,0.0,0.0
N$_p$,-23.327896268002597,0.0,0.0
N$_p$,-23.3228962680026,0.0,0.0
N$_p$,-23.3178962680026,0.0,0.0
N$_p$,-23.312896268002596,0.0,0.0
N$_p$,-23.3078962680026,0.0,0.0
N$_p$,-23.3028962680026,0.0,0.0
N$_p$,-23.297896268002596,0.0,0.0
N$_p$,-23.2928962680026,0.0,0.0
N$_p$,-23.287896268002598,0.0,0.0
N$_p$,-23.282896268002595,0.0,0.0
N$_p$,-23.2778962680026,0.0,0.0
N$_p$,-23.272896268002597,0.0,0.0
N$_p$,-23.267896268002602,0.0,0.0
N$_p$,-23.2628962680026,0.0,0.0
N$_p$,-23.257896268002597,0.0,0.0
