#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 117  24
# Band-Index    1
   0.00000    -45.364669    -45.364669
   0.05705    -45.364670    -45.364670
   0.11409    -45.364727    -45.364728
   0.17114    -45.364734    -45.364735
   0.22818    -45.364673    -45.364674
   0.28523    -45.364773    -45.364774
   0.34227    -45.364807    -45.364808
   0.39932    -45.364770    -45.364771
   0.45636    -45.364763    -45.364764
   0.45636    -45.364593    -45.364594
   0.51153    -45.364575    -45.364575
   0.56670    -45.364562    -45.364563
   0.62187    -45.364577    -45.364577
   0.67703    -45.364605    -45.364605
   0.73220    -45.364599    -45.364600
   0.78737    -45.364614    -45.364615
   0.84254    -45.364626    -45.364627
   0.89770    -45.364642    -45.364642
   0.95287    -45.364640    -45.364641
   1.00804    -45.364655    -45.364655
   1.06320    -45.364669    -45.364670
   1.11837    -45.364680    -45.364681
   1.17354    -45.364685    -45.364686
   1.22871    -45.364675    -45.364676
   1.28387    -45.364669    -45.364670
   1.33904    -45.364669    -45.364669
   1.33904    -45.364669    -45.364669
   1.39421    -45.364669    -45.364670
   1.44938    -45.364675    -45.364676
   1.50454    -45.364685    -45.364686
   1.55971    -45.364680    -45.364681
   1.61488    -45.364669    -45.364670
   1.67004    -45.364655    -45.364655
   1.72521    -45.364640    -45.364641
   1.78038    -45.364642    -45.364642
   1.83555    -45.364626    -45.364627
   1.89071    -45.364614    -45.364615
   1.94588    -45.364599    -45.364600
   2.00105    -45.364605    -45.364605
   2.05622    -45.364577    -45.364577
   2.11138    -45.364562    -45.364563
   2.16655    -45.364575    -45.364575
   2.22172    -45.364593    -45.364594
   2.22172    -45.364589    -45.364590
   2.27696    -45.364589    -45.364589
   2.33221    -45.364577    -45.364577
   2.38746    -45.364604    -45.364604
   2.44270    -45.364609    -45.364609
   2.49795    -45.364624    -45.364625
   2.55320    -45.364625    -45.364625
   2.60844    -45.364624    -45.364624
   2.66369    -45.364630    -45.364631
   2.71894    -45.364658    -45.364659
   2.77418    -45.364680    -45.364681
   2.82943    -45.364676    -45.364676
   2.88468    -45.364692    -45.364693
   2.93992    -45.364678    -45.364679
   2.99517    -45.364685    -45.364685
   3.05041    -45.364678    -45.364678
   3.10566    -45.364683    -45.364684
   3.16091    -45.364677    -45.364677
   3.21615    -45.364669    -45.364669
   3.21615    -45.364669    -45.364669
   3.27141    -45.364666    -45.364666
   3.32666    -45.364679    -45.364680
   3.38191    -45.364686    -45.364687
   3.43716    -45.364676    -45.364676
   3.49241    -45.364667    -45.364668
   3.54766    -45.364652    -45.364653
   3.60291    -45.364640    -45.364640
   3.65816    -45.364643    -45.364643
   3.71341    -45.364623    -45.364623
   3.76866    -45.364618    -45.364619
   3.82392    -45.364607    -45.364608
   3.87917    -45.364586    -45.364587
   3.93442    -45.364573    -45.364573
   3.98967    -45.364562    -45.364562
   4.04492    -45.364568    -45.364568
   4.10017    -45.364592    -45.364592
   4.10017    -45.364586    -45.364586
   4.15536    -45.364590    -45.364591
   4.21055    -45.364579    -45.364580
   4.26575    -45.364602    -45.364602
   4.32094    -45.364613    -45.364613
   4.37613    -45.364618    -45.364618
   4.43132    -45.364621    -45.364621
   4.48652    -45.364620    -45.364620
   4.54171    -45.364630    -45.364630
   4.59690    -45.364663    -45.364663
   4.65209    -45.364676    -45.364677
   4.70728    -45.364676    -45.364677
   4.76248    -45.364688    -45.364688
   4.81767    -45.364674    -45.364675
   4.87286    -45.364684    -45.364685
   4.92805    -45.364680    -45.364680
   4.98325    -45.364684    -45.364684
   5.03844    -45.364672    -45.364672
   5.09363    -45.364669    -45.364669
   5.09363    -45.364669    -45.364669
   5.14882    -45.364672    -45.364672
   5.20401    -45.364684    -45.364684
   5.25921    -45.364680    -45.364680
   5.31440    -45.364684    -45.364685
   5.36959    -45.364674    -45.364675
   5.42478    -45.364688    -45.364688
   5.47998    -45.364676    -45.364677
   5.53517    -45.364676    -45.364677
   5.59036    -45.364663    -45.364663
   5.64555    -45.364630    -45.364630
   5.70074    -45.364620    -45.364620
   5.75594    -45.364621    -45.364621
   5.81113    -45.364618    -45.364618
   5.86632    -45.364613    -45.364613
   5.92151    -45.364602    -45.364602
   5.97671    -45.364579    -45.364580
   6.03190    -45.364590    -45.364591
   6.08709    -45.364586    -45.364586
 
# Band-Index    2
   6.08709    -45.358312    -45.358313
   6.03190    -45.358312    -45.358313
   5.97671    -45.358273    -45.358274
   5.92151    -45.358184    -45.358185
   5.86632    -45.358071    -45.358072
   5.81113    -45.357943    -45.357944
   5.75594    -45.357804    -45.357805
   5.70074    -45.357640    -45.357641
   5.64555    -45.357472    -45.357473
   5.59036    -45.357308    -45.357309
   5.53517    -45.357137    -45.357138
   5.47998    -45.356968    -45.356969
   5.42478    -45.356822    -45.356823
   5.36959    -45.356664    -45.356665
   5.31440    -45.356541    -45.356542
   5.25921    -45.356453    -45.356454
   5.20401    -45.356412    -45.356413
   5.14882    -45.356388    -45.356389
   5.09363    -45.356370    -45.356371
   5.09363    -45.356370    -45.356371
   5.03844    -45.356387    -45.356389
   4.98325    -45.356412    -45.356413
   4.92805    -45.356453    -45.356454
   4.87286    -45.356541    -45.356542
   4.81767    -45.356663    -45.356665
   4.76248    -45.356822    -45.356823
   4.70728    -45.356967    -45.356969
   4.65209    -45.357137    -45.357138
   4.59690    -45.357308    -45.357310
   4.54171    -45.357471    -45.357473
   4.48652    -45.357640    -45.357641
   4.43132    -45.357803    -45.357805
   4.37613    -45.357943    -45.357944
   4.32094    -45.358070    -45.358072
   4.26575    -45.358184    -45.358185
   4.21055    -45.358273    -45.358274
   4.15536    -45.358312    -45.358313
   4.10017    -45.358311    -45.358313
   4.10017    -45.358173    -45.358176
   4.04492    -45.358152    -45.358155
   3.98967    -45.358051    -45.358053
   3.93442    -45.357948    -45.357950
   3.87917    -45.357842    -45.357844
   3.82392    -45.357696    -45.357699
   3.76866    -45.357522    -45.357525
   3.71341    -45.357320    -45.357323
   3.65816    -45.357136    -45.357139
   3.60291    -45.356930    -45.356933
   3.54766    -45.356753    -45.356756
   3.49241    -45.356567    -45.356570
   3.43716    -45.356467    -45.356468
   3.38191    -45.356450    -45.356451
   3.32666    -45.356414    -45.356416
   3.27141    -45.356372    -45.356373
   3.21615    -45.356370    -45.356371
   3.21615    -45.356370    -45.356371
   3.16091    -45.356377    -45.356378
   3.10566    -45.356404    -45.356406
   3.05041    -45.356418    -45.356419
   2.99517    -45.356430    -45.356432
   2.93992    -45.356477    -45.356480
   2.88468    -45.356634    -45.356636
   2.82943    -45.356785    -45.356788
   2.77418    -45.356948    -45.356951
   2.71894    -45.357128    -45.357131
   2.66369    -45.357296    -45.357299
   2.60844    -45.357463    -45.357466
   2.55320    -45.357620    -45.357623
   2.49795    -45.357768    -45.357771
   2.44270    -45.357878    -45.357881
   2.38746    -45.358006    -45.358009
   2.33221    -45.358095    -45.358098
   2.27696    -45.358136    -45.358139
   2.22172    -45.358128    -45.358130
   2.22172    -45.358365    -45.358367
   2.16655    -45.358334    -45.358336
   2.11138    -45.358230    -45.358231
   2.05622    -45.358134    -45.358136
   2.00105    -45.358021    -45.358022
   1.94588    -45.357864    -45.357865
   1.89071    -45.357692    -45.357694
   1.83555    -45.357515    -45.357517
   1.78038    -45.357307    -45.357309
   1.72521    -45.357116    -45.357118
   1.67004    -45.356940    -45.356942
   1.61488    -45.356760    -45.356761
   1.55971    -45.356598    -45.356600
   1.50454    -45.356486    -45.356488
   1.44938    -45.356420    -45.356421
   1.39421    -45.356391    -45.356392
   1.33904    -45.356370    -45.356371
   1.33904    -45.356370    -45.356371
   1.28387    -45.356391    -45.356392
   1.22871    -45.356420    -45.356421
   1.17354    -45.356486    -45.356487
   1.11837    -45.356599    -45.356600
   1.06320    -45.356760    -45.356761
   1.00804    -45.356941    -45.356942
   0.95287    -45.357116    -45.357117
   0.89770    -45.357308    -45.357309
   0.84254    -45.357516    -45.357517
