#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 161  24
# Band-Index    1
   0.00000    -43.754925    -43.754927
   0.05646    -43.754891    -43.754893
   0.11293    -43.754833    -43.754835
   0.16939    -43.754804    -43.754806
   0.22585    -43.754731    -43.754733
   0.28232    -43.754636    -43.754638
   0.33878    -43.754597    -43.754599
   0.39525    -43.754502    -43.754504
   0.45171    -43.754401    -43.754403
   0.50817    -43.754295    -43.754297
   0.56464    -43.754191    -43.754193
   0.62110    -43.754062    -43.754064
   0.67756    -43.753962    -43.753964
   0.67756    -43.753954    -43.753956
   0.74532    -43.753850    -43.753852
   0.81308    -43.753777    -43.753779
   0.88084    -43.753730    -43.753732
   0.94859    -43.753687    -43.753689
   1.01635    -43.753666    -43.753667
   1.01635    -43.753666    -43.753667
   1.06813    -43.753674    -43.753676
   1.11991    -43.753673    -43.753675
   1.17168    -43.753634    -43.753635
   1.22346    -43.753624    -43.753625
   1.27524    -43.753605    -43.753607
   1.32701    -43.753582    -43.753584
   1.37879    -43.753522    -43.753524
   1.43056    -43.753508    -43.753509
   1.48234    -43.753508    -43.753510
   1.53412    -43.753497    -43.753498
   1.58589    -43.753463    -43.753464
   1.63767    -43.753466    -43.753468
   1.68945    -43.753445    -43.753447
   1.74122    -43.753468    -43.753469
   1.79300    -43.753486    -43.753488
   1.84478    -43.753513    -43.753515
   1.89655    -43.753558    -43.753560
   1.94833    -43.753594    -43.753596
   2.00011    -43.753687    -43.753689
   2.05188    -43.753778    -43.753780
   2.10366    -43.753847    -43.753849
   2.15544    -43.753957    -43.753959
   2.20721    -43.754084    -43.754086
   2.25899    -43.754186    -43.754187
   2.31077    -43.754299    -43.754301
   2.36254    -43.754427    -43.754429
   2.41432    -43.754522    -43.754524
   2.46610    -43.754591    -43.754593
   2.51787    -43.754672    -43.754674
   2.56965    -43.754767    -43.754769
   2.62142    -43.754793    -43.754794
   2.67320    -43.754835    -43.754837
   2.72498    -43.754905    -43.754907
   2.77675    -43.754925    -43.754927
   2.77675    -43.754925    -43.754927
   2.82906    -43.754891    -43.754893
   2.88137    -43.754850    -43.754852
   2.93368    -43.754812    -43.754814
   2.98598    -43.754766    -43.754768
   3.03829    -43.754716    -43.754718
   3.09060    -43.754660    -43.754661
   3.14291    -43.754642    -43.754644
   3.19521    -43.754597    -43.754598
   3.24752    -43.754590    -43.754592
   3.29983    -43.754587    -43.754588
   3.35214    -43.754592    -43.754594
   3.40444    -43.754605    -43.754607
   3.45675    -43.754645    -43.754647
   3.50906    -43.754699    -43.754700
   3.56137    -43.754739    -43.754741
   3.61367    -43.754795    -43.754797
   3.66598    -43.754846    -43.754848
   3.71829    -43.754889    -43.754890
   3.77060    -43.754912    -43.754914
   3.82290    -43.754915    -43.754917
   3.87521    -43.754895    -43.754897
   3.92752    -43.754834    -43.754836
   3.97983    -43.754776    -43.754777
   4.03213    -43.754707    -43.754709
   4.08444    -43.754639    -43.754641
   4.13675    -43.754520    -43.754522
   4.18906    -43.754374    -43.754376
   4.24136    -43.754219    -43.754221
   4.29367    -43.754065    -43.754067
   4.34598    -43.753929    -43.753930
   4.39829    -43.753797    -43.753799
   4.45059    -43.753694    -43.753696
   4.50290    -43.753582    -43.753584
   4.55521    -43.753526    -43.753527
   4.60752    -43.753488    -43.753490
   4.60752    -43.753488    -43.753490
   4.67528    -43.753513    -43.753515
   4.74303    -43.753566    -43.753568
   4.81079    -43.753634    -43.753635
   4.87855    -43.753726    -43.753728
   4.94631    -43.753838    -43.753839
   4.94631    -43.753846    -43.753848
   5.00277    -43.753972    -43.753974
   5.05924    -43.754051    -43.754052
   5.11570    -43.754152    -43.754154
   5.17216    -43.754243    -43.754245
   5.22863    -43.754332    -43.754333
   5.28509    -43.754394    -43.754396
   5.34155    -43.754476    -43.754477
   5.39802    -43.754566    -43.754568
   5.45448    -43.754627    -43.754629
   5.51094    -43.754672    -43.754674
   5.56741    -43.754733    -43.754734
   5.62387    -43.754751    -43.754753
   5.62387    -43.754751    -43.754753
   5.67972    -43.754741    -43.754742
   5.73558    -43.754746    -43.754747
   5.79143    -43.754762    -43.754764
   5.84728    -43.754835    -43.754837
   5.90313    -43.754854    -43.754856
   5.95899    -43.754863    -43.754864
   6.01484    -43.754870    -43.754872
   6.07069    -43.754851    -43.754853
   6.12654    -43.754925    -43.754927
   6.12654    -43.756507    -43.756508
   6.18054    -43.756513    -43.756515
   6.23453    -43.756468    -43.756469
   6.28853    -43.756379    -43.756381
   6.34252    -43.756277    -43.756279
   6.39651    -43.756135    -43.756136
   6.45051    -43.755979    -43.755980
   6.50450    -43.755831    -43.755833
   6.55850    -43.755657    -43.755659
   6.61249    -43.755484    -43.755486
   6.66648    -43.755324    -43.755326
   6.72048    -43.755221    -43.755222
   6.77447    -43.755095    -43.755097
   6.82847    -43.755006    -43.755008
   6.88246    -43.754967    -43.754969
   6.93646    -43.754920    -43.754922
   6.99045    -43.754883    -43.754885
   7.04444    -43.754875    -43.754876
   7.09844    -43.754891    -43.754892
   7.15243    -43.754885    -43.754887
   7.20643    -43.754887    -43.754889
   7.26042    -43.754925    -43.754927
   7.26042    -43.754925    -43.754927
   7.31391    -43.754899    -43.754901
   7.36741    -43.754865    -43.754867
   7.42090    -43.754877    -43.754878
   7.47439    -43.754859    -43.754861
   7.52789    -43.754865    -43.754866
   7.58138    -43.754885    -43.754887
   7.63487    -43.754907    -43.754909
   7.68836    -43.754925    -43.754927
   7.74186    -43.754950    -43.754952
   7.79535    -43.754985    -43.754987
   7.84884    -43.755016    -43.755018
   7.90234    -43.755036    -43.755038
   7.95583    -43.755096    -43.755098
   8.00932    -43.755108    -43.755110
   8.06281    -43.755155    -43.755157
   8.11631    -43.755186    -43.755188
   8.16980    -43.755221    -43.755222
   8.22329    -43.755231    -43.755233
   8.27679    -43.755227    -43.755229
 
# Band-Index    2
   8.27679    -43.698686    -43.698684
   8.22329    -43.698656    -43.698654
   8.16980    -43.698488    -43.698487
   8.11631    -43.698170    -43.698168
   8.06281    -43.697778    -43.697777
   8.00932    -43.697269    -43.697267
   7.95583    -43.696723    -43.696722
   7.90234    -43.696108    -43.696107
   7.84884    -43.695461    -43.695459
   7.79535    -43.694810    -43.694808
   7.74186    -43.694196    -43.694194
   7.68836    -43.693595    -43.693593
   7.63487    -43.693040    -43.693038
   7.58138    -43.692539    -43.692537
   7.52789    -43.692134    -43.692133
   7.47439    -43.691803    -43.691802
   7.42090    -43.691570    -43.691569
   7.36741    -43.691404    -43.691402
   7.31391    -43.691294    -43.691293
   7.26042    -43.691266    -43.691264
   7.26042    -43.691266    -43.691264
   7.20643    -43.691284    -43.691282
   7.15243    -43.691383    -43.691381
   7.09844    -43.691524    -43.691522
   7.04444    -43.691698    -43.691697
   6.99045    -43.691958    -43.691956
   6.93646    -43.692272    -43.692271
   6.88246    -43.692664    -43.692663
   6.82847    -43.693093    -43.693091
   6.77447    -43.693597    -43.693596
   6.72048    -43.694162    -43.694160
   6.66648    -43.694724    -43.694723
   6.61249    -43.695334    -43.695332
   6.55850    -43.695932    -43.695930
   6.50450    -43.696522    -43.696521
   6.45051    -43.697068    -43.697067
   6.39651    -43.697571    -43.697570
   6.34252    -43.698000    -43.697998
   6.28853    -43.698351    -43.698349
   6.23453    -43.698589    -43.698587
   6.18054    -43.698736    -43.698735
   6.12654    -43.698764    -43.698763
   6.12654    -43.691266    -43.691264
   6.07069    -43.691242    -43.691241
   6.01484    -43.691259    -43.691258
   5.95899    -43.691322    -43.691320
   5.90313    -43.691350    -43.691348
   5.84728    -43.691390    -43.691389
   5.79143    -43.691411    -43.691410
   5.73558    -43.691426    -43.691424
   5.67972    -43.691465    -43.691463
   5.62387    -43.691504    -43.691503
   5.62387    -43.691504    -43.691503
   5.56741    -43.691627    -43.691626
   5.51094    -43.692021    -43.692019
   5.45448    -43.692717    -43.692715
   5.39802    -43.693694    -43.693692
   5.34155    -43.694822    -43.694821
   5.28509    -43.696203    -43.696201
   5.22863    -43.697670    -43.697669
   5.17216    -43.699209    -43.699208
   5.11570    -43.700814    -43.700813
   5.05924    -43.702407    -43.702406
   5.00277    -43.703942    -43.703941
   4.94631    -43.705338    -43.705337
   4.94631    -43.705328    -43.705327
   4.87855    -43.706803    -43.706802
   4.81079    -43.708067    -43.708066
   4.74303    -43.708994    -43.708993
   4.67528    -43.709545    -43.709544
   4.60752    -43.709684    -43.709683
   4.60752    -43.709684    -43.709683
   4.55521    -43.709686    -43.709685
   4.50290    -43.709645    -43.709644
   4.45059    -43.709587    -43.709586
   4.39829    -43.709487    -43.709486
   4.34598    -43.709354    -43.709353
   4.29367    -43.709180    -43.709179
   4.24136    -43.708989    -43.708988
   4.18906    -43.708781    -43.708780
   4.13675    -43.708537    -43.708536
   4.08444    -43.708211    -43.708209
   4.03213    -43.707889    -43.707888
   3.97983    -43.707526    -43.707525
   3.92752    -43.707122    -43.707120
   3.87521    -43.706673    -43.706672
   3.82290    -43.706163    -43.706161
   3.77060    -43.705578    -43.705576
   3.71829    -43.704935    -43.704934
   3.66598    -43.704224    -43.704222
   3.61367    -43.703431    -43.703429
   3.56137    -43.702575    -43.702573
   3.50906    -43.701649    -43.701648
   3.45675    -43.700647    -43.700645
   3.40444    -43.699609    -43.699607
   3.35214    -43.698578    -43.698576
   3.29983    -43.697526    -43.697525
