#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 140  24
# Band-Index    1
   0.00000    -45.351964    -45.351964
   0.05278    -45.351974    -45.351974
   0.10556    -45.351996    -45.351996
   0.15834    -45.352034    -45.352035
   0.21112    -45.352043    -45.352043
   0.26390    -45.352078    -45.352078
   0.31669    -45.352120    -45.352120
   0.36947    -45.352155    -45.352155
   0.42225    -45.352226    -45.352226
   0.47503    -45.352261    -45.352261
   0.52781    -45.352311    -45.352311
   0.58059    -45.352382    -45.352382
   0.63337    -45.352461    -45.352462
   0.68615    -45.352538    -45.352538
   0.73893    -45.352603    -45.352603
   0.79171    -45.352674    -45.352674
   0.84449    -45.352741    -45.352742
   0.89727    -45.352821    -45.352821
   0.95006    -45.352921    -45.352921
   1.00284    -45.352982    -45.352983
   1.00284    -45.352971    -45.352971
   1.05855    -45.353061    -45.353062
   1.11427    -45.353128    -45.353129
   1.16998    -45.353200    -45.353201
   1.22570    -45.353297    -45.353297
   1.28141    -45.353359    -45.353359
   1.33713    -45.353409    -45.353410
   1.39284    -45.353448    -45.353449
   1.44856    -45.353472    -45.353472
   1.50427    -45.353484    -45.353485
   1.50427    -45.353484    -45.353485
   1.55855    -45.353449    -45.353450
   1.61283    -45.353348    -45.353348
   1.66711    -45.353189    -45.353189
   1.72139    -45.353009    -45.353009
   1.77567    -45.352810    -45.352811
   1.82995    -45.352607    -45.352607
   1.88423    -45.352444    -45.352444
   1.93851    -45.352297    -45.352297
   1.99279    -45.352200    -45.352201
   2.04707    -45.352121    -45.352121
   2.10135    -45.352079    -45.352079
   2.15563    -45.352019    -45.352019
   2.20991    -45.352023    -45.352024
   2.26419    -45.351986    -45.351986
   2.31846    -45.351970    -45.351970
   2.37274    -45.351964    -45.351964
   2.37274    -45.351964    -45.351964
   2.42678    -45.351975    -45.351975
   2.48082    -45.352001    -45.352002
   2.53486    -45.352017    -45.352018
   2.58889    -45.352059    -45.352059
   2.64293    -45.352103    -45.352103
   2.69697    -45.352126    -45.352126
   2.75100    -45.352202    -45.352202
   2.80504    -45.352288    -45.352289
   2.85908    -45.352424    -45.352424
   2.91311    -45.352583    -45.352584
   2.96715    -45.352768    -45.352768
   3.02119    -45.352968    -45.352968
   3.07523    -45.353182    -45.353182
   3.12926    -45.353391    -45.353392
   3.18330    -45.353566    -45.353567
   3.23734    -45.353705    -45.353706
   3.29137    -45.353784    -45.353785
   3.34541    -45.353799    -45.353799
   3.34541    -45.353799    -45.353799
   3.40113    -45.353810    -45.353811
   3.45684    -45.353792    -45.353792
   3.51256    -45.353728    -45.353729
   3.56827    -45.353634    -45.353635
   3.62399    -45.353522    -45.353523
   3.67971    -45.353420    -45.353421
   3.73542    -45.353295    -45.353295
   3.79114    -45.353172    -45.353173
   3.84685    -45.353026    -45.353026
   3.84685    -45.353037    -45.353038
   3.89963    -45.352922    -45.352923
   3.95241    -45.352789    -45.352789
   4.00519    -45.352642    -45.352642
   4.05798    -45.352518    -45.352519
   4.11076    -45.352417    -45.352418
   4.16354    -45.352331    -45.352331
   4.21632    -45.352252    -45.352252
   4.26910    -45.352194    -45.352194
   4.32188    -45.352116    -45.352116
   4.37466    -45.352061    -45.352061
   4.42744    -45.352025    -45.352025
   4.48022    -45.351987    -45.351987
   4.53300    -45.351955    -45.351955
   4.58578    -45.351948    -45.351948
   4.63856    -45.351948    -45.351948
   4.69134    -45.351922    -45.351922
   4.74412    -45.351920    -45.351920
   4.79690    -45.351909    -45.351910
   4.84968    -45.351886    -45.351886
   4.84968    -45.351886    -45.351886
   4.91226    -45.351934    -45.351935
   4.97483    -45.351942    -45.351942
   5.03740    -45.351951    -45.351951
   5.09998    -45.351983    -45.351984
   5.16255    -45.352031    -45.352031
   5.22512    -45.351993    -45.351993
   5.28770    -45.351964    -45.351964
   5.28770    -45.353096    -45.353097
   5.34174    -45.353085    -45.353085
   5.39577    -45.353056    -45.353056
   5.44981    -45.352996    -45.352997
   5.50385    -45.352922    -45.352922
   5.55789    -45.352834    -45.352835
   5.61193    -45.352723    -45.352724
   5.66596    -45.352614    -45.352615
   5.72000    -45.352512    -45.352512
   5.77404    -45.352408    -45.352408
   5.82808    -45.352316    -45.352316
   5.88212    -45.352244    -45.352245
   5.93616    -45.352171    -45.352171
   5.99019    -45.352135    -45.352135
   6.04423    -45.352075    -45.352075
   6.09827    -45.352030    -45.352030
   6.15231    -45.352002    -45.352003
   6.20635    -45.351975    -45.351976
   6.26038    -45.351964    -45.351964
   6.26038    -45.351964    -45.351964
   6.31466    -45.351974    -45.351974
   6.36894    -45.351999    -45.351999
   6.42322    -45.352051    -45.352052
   6.47751    -45.352065    -45.352065
   6.53179    -45.352143    -45.352144
   6.58607    -45.352199    -45.352199
   6.64035    -45.352281    -45.352281
   6.69463    -45.352363    -45.352364
   6.74891    -45.352471    -45.352472
   6.80319    -45.352559    -45.352559
   6.85747    -45.352658    -45.352658
   6.91175    -45.352734    -45.352734
   6.96603    -45.352779    -45.352779
   7.02031    -45.352838    -45.352838
   7.07459    -45.352866    -45.352866
   7.12887    -45.352878    -45.352878
 
# Band-Index    2
   7.12887    -45.344248    -45.344249
   7.07459    -45.344228    -45.344229
   7.02031    -45.344184    -45.344185
   6.96603    -45.344122    -45.344123
   6.91175    -45.344035    -45.344037
   6.85747    -45.343939    -45.343941
   6.80319    -45.343809    -45.343810
   6.74891    -45.343683    -45.343684
   6.69463    -45.343568    -45.343569
   6.64035    -45.343486    -45.343488
   6.58607    -45.343393    -45.343395
   6.53179    -45.343332    -45.343334
   6.47751    -45.343281    -45.343282
   6.42322    -45.343254    -45.343256
   6.36894    -45.343215    -45.343217
   6.31466    -45.343190    -45.343191
   6.26038    -45.343165    -45.343167
   6.26038    -45.343165    -45.343167
   6.20635    -45.343196    -45.343198
   6.15231    -45.343213    -45.343214
   6.09827    -45.343232    -45.343234
   6.04423    -45.343272    -45.343273
   5.99019    -45.343320    -45.343321
   5.93616    -45.343379    -45.343381
   5.88212    -45.343471    -45.343472
   5.82808    -45.343577    -45.343578
   5.77404    -45.343717    -45.343719
   5.72000    -45.343876    -45.343877
   5.66596    -45.344032    -45.344033
   5.61193    -45.344195    -45.344197
   5.55789    -45.344349    -45.344350
   5.50385    -45.344490    -45.344492
   5.44981    -45.344594    -45.344595
   5.39577    -45.344675    -45.344676
   5.34174    -45.344716    -45.344718
   5.28770    -45.344717    -45.344719
   5.28770    -45.343165    -45.343167
   5.22512    -45.343207    -45.343209
   5.16255    -45.343227    -45.343229
   5.09998    -45.343229    -45.343231
   5.03740    -45.343234    -45.343236
   4.97483    -45.343264    -45.343265
   4.91226    -45.343271    -45.343272
   4.84968    -45.343244    -45.343245
   4.84968    -45.343244    -45.343245
   4.79690    -45.343297    -45.343298
   4.74412    -45.343391    -45.343393
   4.69134    -45.343540    -45.343541
   4.63856    -45.343755    -45.343756
   4.58578    -45.343993    -45.343995
   4.53300    -45.344281    -45.344283
   4.48022    -45.344607    -45.344609
   4.42744    -45.344958    -45.344959
   4.37466    -45.345315    -45.345316
   4.32188    -45.345683    -45.345684
   4.26910    -45.346053    -45.346054
   4.21632    -45.346387    -45.346389
   4.16354    -45.346718    -45.346720
   4.11076    -45.347016    -45.347018
   4.05798    -45.347301    -45.347302
   4.00519    -45.347575    -45.347577
   3.95241    -45.347826    -45.347828
   3.89963    -45.348038    -45.348039
   3.84685    -45.348202    -45.348204
   3.84685    -45.348190    -45.348192
   3.79114    -45.348354    -45.348355
   3.73542    -45.348472    -45.348474
   3.67971    -45.348576    -45.348577
   3.62399    -45.348644    -45.348646
   3.56827    -45.348716    -45.348718
   3.51256    -45.348769    -45.348771
   3.45684    -45.348802    -45.348803
   3.40113    -45.348804    -45.348805
   3.34541    -45.348786    -45.348787
   3.34541    -45.348786    -45.348787
   3.29137    -45.348779    -45.348780
   3.23734    -45.348718    -45.348720
   3.18330    -45.348598    -45.348599
   3.12926    -45.348413    -45.348415
   3.07523    -45.348180    -45.348182
   3.02119    -45.347862    -45.347864
   2.96715    -45.347468    -45.347470
   2.91311    -45.347032    -45.347034
   2.85908    -45.346533    -45.346535
   2.80504    -45.346012    -45.346014
   2.75100    -45.345484    -45.345485
   2.69697    -45.344959    -45.344960
   2.64293    -45.344487    -45.344489
   2.58889    -45.344042    -45.344043
   2.53486    -45.343688    -45.343689
   2.48082    -45.343417    -45.343418
   2.42678    -45.343251    -45.343252
   2.37274    -45.343165    -45.343167
   2.37274    -45.343165    -45.343167
   2.31846    -45.343265    -45.343266
   2.26419    -45.343491    -45.343492
   2.20991    -45.343855    -45.343856
   2.15563    -45.344299    -45.344300
   2.10135    -45.344853    -45.344855
   2.04707    -45.345432    -45.345434
   1.99279    -45.346077    -45.346078
   1.93851    -45.346699    -45.346700
   1.88423    -45.347309    -45.347311
   1.82995    -45.347849    -45.347850
   1.77567    -45.348311    -45.348312
   1.72139    -45.348654    -45.348656
   1.66711    -45.348897    -45.348898
   1.61283    -45.349065    -45.349066
   1.55855    -45.349158    -45.349159
   1.50427    -45.349187    -45.349188
   1.50427    -45.349187    -45.349188
   1.44856    -45.349168    -45.349169
   1.39284    -45.349125    -45.349126
   1.33713    -45.349060    -45.349061
   1.28141    -45.348967    -45.348968
   1.22570    -45.348850    -45.348851
   1.16998    -45.348685    -45.348687
   1.11427    -45.348527    -45.348528
   1.05855    -45.348356    -45.348357
   1.00284    -45.348134    -45.348136
   1.00284    -45.348146    -45.348148
   0.95006    -45.347951    -45.347953
   0.89727    -45.347704    -45.347705
   0.84449    -45.347442    -45.347444
   0.79171    -45.347177    -45.347179
   0.73893    -45.346891    -45.346893
   0.68615    -45.346574    -45.346576
   0.63337    -45.346241    -45.346242
   0.58059    -45.345883    -45.345885
   0.52781    -45.345528    -45.345530
   0.47503    -45.345172    -45.345173
   0.42225    -45.344848    -45.344850
   0.36947    -45.344502    -45.344504
   0.31669    -45.344198    -45.344199
   0.26390    -45.343921    -45.343923
   0.21112    -45.343669    -45.343671
   0.15834    -45.343488    -45.343490
   0.10556    -45.343328    -45.343330
   0.05278    -45.343220    -45.343221
   0.00000    -45.343165    -45.343167
 
# Band-Index    3
   0.00000    -45.333204    -45.333205
   0.05278    -45.333216    -45.333217
   0.10556    -45.333185    -45.333186
   0.15834    -45.333123    -45.333124
   0.21112    -45.332998    -45.332999
   0.26390    -45.332879    -45.332880
   0.31669    -45.332720    -45.332721
   0.36947    -45.332543    -45.332544
   0.42225    -45.332373    -45.332374
   0.47503    -45.332152    -45.332153
   0.52781    -45.331952    -45.331953
   0.58059    -45.331736    -45.331737
   0.63337    -45.331522    -45.331523
   0.68615    -45.331283    -45.331283
   0.73893    -45.331035    -45.331036
   0.79171    -45.330760    -45.330761
   0.84449    -45.330465    -45.330466
   0.89727    -45.330191    -45.330192
   0.95006    -45.329913    -45.329913
   1.00284    -45.329591    -45.329592
   1.00284    -45.329570    -45.329571
   1.05855    -45.329298    -45.329299
   1.11427    -45.328976    -45.328977
   1.16998    -45.328686    -45.328687
   1.22570    -45.328469    -45.328470
   1.28141    -45.328238    -45.328239
   1.33713    -45.328053    -45.328054
   1.39284    -45.327914    -45.327915
   1.44856    -45.327829    -45.327830
   1.50427    -45.327798    -45.327799
   1.50427    -45.327798    -45.327799
   1.55855    -45.327849    -45.327850
   1.61283    -45.327997    -45.327998
   1.66711    -45.328249    -45.328250
   1.72139    -45.328569    -45.328570
   1.77567    -45.328967    -45.328968
   1.82995    -45.329396    -45.329397
   1.88423    -45.329878    -45.329879
   1.93851    -45.330390    -45.330391
   1.99279    -45.330935    -45.330936
   2.04707    -45.331448    -45.331449
   2.10135    -45.331962    -45.331963
   2.15563    -45.332392    -45.332393
   2.20991    -45.332765    -45.332766
   2.26419    -45.333018    -45.333019
   2.31846    -45.333174    -45.333175
   2.37274    -45.333204    -45.333205
   2.37274    -45.333204    -45.333205
   2.42678    -45.333193    -45.333194
   2.48082    -45.333070    -45.333071
   2.53486    -45.332860    -45.332861
   2.58889    -45.332579    -45.332580
   2.64293    -45.332234    -45.332235
   2.69697    -45.331810    -45.331811
   2.75100    -45.331370    -45.331371
   2.80504    -45.330897    -45.330898
   2.85908    -45.330428    -45.330429
   2.91311    -45.329968    -45.329969
   2.96715    -45.329517    -45.329518
   3.02119    -45.329108    -45.329109
   3.07523    -45.328735    -45.328736
   3.12926    -45.328414    -45.328415
   3.18330    -45.328156    -45.328157
   3.23734    -45.327961    -45.327962
   3.29137    -45.327832    -45.327833
   3.34541    -45.327762    -45.327763
   3.34541    -45.327762    -45.327763
   3.40113    -45.327829    -45.327830
   3.45684    -45.327939    -45.327940
   3.51256    -45.328079    -45.328080
   3.56827    -45.328252    -45.328254
   3.62399    -45.328474    -45.328475
   3.67971    -45.328753    -45.328754
   3.73542    -45.329041    -45.329042
   3.79114    -45.329358    -45.329359
   3.84685    -45.329665    -45.329666
   3.84685    -45.329686    -45.329687
   3.89963    -45.329981    -45.329982
   3.95241    -45.330259    -45.330260
   4.00519    -45.330523    -45.330524
   4.05798    -45.330772    -45.330773
   4.11076    -45.331034    -45.331035
   4.16354    -45.331297    -45.331298
   4.21632    -45.331536    -45.331537
   4.26910    -45.331775    -45.331776
   4.32188    -45.331977    -45.331978
   4.37466    -45.332170    -45.332171
   4.42744    -45.332358    -45.332359
   4.48022    -45.332525    -45.332526
   4.53300    -45.332676    -45.332677
   4.58578    -45.332817    -45.332818
   4.63856    -45.332947    -45.332948
   4.69134    -45.333028    -45.333029
   4.74412    -45.333098    -45.333099
   4.79690    -45.333140    -45.333141
   4.84968    -45.333130    -45.333132
   4.84968    -45.333131    -45.333132
   4.91226    -45.333165    -45.333166
   4.97483    -45.333179    -45.333180
   5.03740    -45.333179    -45.333180
   5.09998    -45.333208    -45.333209
   5.16255    -45.333235    -45.333236
   5.22512    -45.333239    -45.333240
   5.28770    -45.333204    -45.333205
   5.28770    -45.328796    -45.328797
   5.34174    -45.328863    -45.328864
   5.39577    -45.328955    -45.328956
   5.44981    -45.329085    -45.329086
   5.50385    -45.329246    -45.329247
   5.55789    -45.329472    -45.329473
   5.61193    -45.329736    -45.329737
   5.66596    -45.330027    -45.330028
   5.72000    -45.330365    -45.330366
   5.77404    -45.330724    -45.330725
   5.82808    -45.331105    -45.331106
   5.88212    -45.331506    -45.331507
   5.93616    -45.331888    -45.331889
   5.99019    -45.332289    -45.332290
   6.04423    -45.332604    -45.332605
   6.09827    -45.332875    -45.332876
   6.15231    -45.333077    -45.333078
   6.20635    -45.333197    -45.333198
   6.26038    -45.333204    -45.333205
   6.26038    -45.333204    -45.333205
   6.31466    -45.333182    -45.333183
   6.36894    -45.333031    -45.333032
   6.42322    -45.332792    -45.332793
   6.47751    -45.332436    -45.332437
   6.53179    -45.332047    -45.332048
   6.58607    -45.331559    -45.331560
   6.64035    -45.331109    -45.331110
   6.69463    -45.330647    -45.330648
   6.74891    -45.330235    -45.330236
   6.80319    -45.329854    -45.329855
   6.85747    -45.329532    -45.329533
   6.91175    -45.329236    -45.329237
   6.96603    -45.329000    -45.329001
   7.02031    -45.328810    -45.328811
   7.07459    -45.328701    -45.328701
   7.12887    -45.328657    -45.328658
 
# Band-Index    4
   7.12887    -37.577125    -37.577114
   7.07459    -37.577277    -37.577266
   7.02031    -37.577728    -37.577717
   6.96603    -37.578461    -37.578450
   6.91175    -37.579445    -37.579434
   6.85747    -37.580642    -37.580631
   6.80319    -37.582002    -37.581990
   6.74891    -37.583475    -37.583464
   6.69463    -37.585001    -37.584989
   6.64035    -37.586520    -37.586509
   6.58607    -37.587976    -37.587965
   6.53179    -37.589315    -37.589303
   6.47751    -37.590482    -37.590470
   6.42322    -37.591438    -37.591427
   6.36894    -37.592144    -37.592133
   6.31466    -37.592578    -37.592567
   6.26038    -37.592725    -37.592713
   6.26038    -37.592725    -37.592713
   6.20635    -37.592609    -37.592598
   6.15231    -37.592265    -37.592254
   6.09827    -37.591700    -37.591689
   6.04423    -37.590930    -37.590919
   5.99019    -37.589980    -37.589969
   5.93616    -37.588873    -37.588862
   5.88212    -37.587642    -37.587630
   5.82808    -37.586326    -37.586315
   5.77404    -37.584960    -37.584949
   5.72000    -37.583590    -37.583578
   5.66596    -37.582256    -37.582245
   5.61193    -37.580999    -37.580988
   5.55789    -37.579859    -37.579848
   5.50385    -37.578873    -37.578862
   5.44981    -37.578070    -37.578059
   5.39577    -37.577480    -37.577468
   5.34174    -37.577117    -37.577105
   5.28770    -37.576993    -37.576982
   5.28770    -37.592725    -37.592713
   5.22512    -37.592725    -37.592713
   5.16255    -37.592724    -37.592713
   5.09998    -37.592722    -37.592710
   5.03740    -37.592721    -37.592710
   4.97483    -37.592719    -37.592708
   4.91226    -37.592719    -37.592708
   4.84968    -37.592722    -37.592711
   4.84968    -37.592722    -37.592711
   4.79690    -37.592575    -37.592563
   4.74412    -37.592136    -37.592125
   4.69134    -37.591426    -37.591415
   4.63856    -37.590465    -37.590454
   4.58578    -37.589290    -37.589278
   4.53300    -37.587943    -37.587932
   4.48022    -37.586471    -37.586459
   4.42744    -37.584920    -37.584909
   4.37466    -37.583341    -37.583330
   4.32188    -37.581790    -37.581778
   4.26910    -37.580312    -37.580301
   4.21632    -37.578945    -37.578933
   4.16354    -37.577725    -37.577714
   4.11076    -37.576685    -37.576674
   4.05798    -37.575842    -37.575831
   4.00519    -37.575195    -37.575183
   3.95241    -37.574751    -37.574739
   3.89963    -37.574502    -37.574491
   3.84685    -37.574425    -37.574414
   3.84685    -37.574425    -37.574414
   3.79114    -37.574503    -37.574492
   3.73542    -37.574709    -37.574698
   3.67971    -37.574998    -37.574987
   3.62399    -37.575337    -37.575325
   3.56827    -37.575682    -37.575671
   3.51256    -37.575992    -37.575980
   3.45684    -37.576238    -37.576227
   3.40113    -37.576397    -37.576386
   3.34541    -37.576449    -37.576438
   3.34541    -37.576449    -37.576438
   3.29137    -37.576575    -37.576563
   3.23734    -37.576941    -37.576930
   3.18330    -37.577540    -37.577529
   3.12926    -37.578355    -37.578344
   3.07523    -37.579358    -37.579347
   3.02119    -37.580521    -37.580510
   2.96715    -37.581808    -37.581797
   2.91311    -37.583177    -37.583166
   2.85908    -37.584591    -37.584579
   2.80504    -37.586006    -37.585994
   2.75100    -37.587374    -37.587363
   2.69697    -37.588660    -37.588649
   2.64293    -37.589823    -37.589811
   2.58889    -37.590823    -37.590812
   2.53486    -37.591637    -37.591626
   2.48082    -37.592236    -37.592225
   2.42678    -37.592602    -37.592591
   2.37274    -37.592725    -37.592713
   2.37274    -37.592725    -37.592713
   2.31846    -37.592569    -37.592557
   2.26419    -37.592107    -37.592096
   2.20991    -37.591359    -37.591347
   2.15563    -37.590347    -37.590335
   2.10135    -37.589115    -37.589104
   2.04707    -37.587708    -37.587697
   1.99279    -37.586181    -37.586170
   1.93851    -37.584594    -37.584583
   1.88423    -37.583006    -37.582995
   1.82995    -37.581477    -37.581465
   1.77567    -37.580069    -37.580058
   1.72139    -37.578833    -37.578822
   1.66711    -37.577819    -37.577807
   1.61283    -37.577065    -37.577053
   1.55855    -37.576601    -37.576589
   1.50427    -37.576445    -37.576433
   1.50427    -37.576445    -37.576433
   1.44856    -37.576390    -37.576379
   1.39284    -37.576233    -37.576221
   1.33713    -37.575985    -37.575973
   1.28141    -37.575671    -37.575660
   1.22570    -37.575327    -37.575315
   1.16998    -37.574983    -37.574972
   1.11427    -37.574686    -37.574675
   1.05855    -37.574484    -37.574473
   1.00284    -37.574407    -37.574396
   1.00284    -37.574407    -37.574395
   0.95006    -37.574487    -37.574476
   0.89727    -37.574740    -37.574729
   0.84449    -37.575182    -37.575171
   0.79171    -37.575826    -37.575815
   0.73893    -37.576674    -37.576663
   0.68615    -37.577719    -37.577708
   0.63337    -37.578941    -37.578929
   0.58059    -37.580307    -37.580295
   0.52781    -37.581788    -37.581776
   0.47503    -37.583343    -37.583332
   0.42225    -37.584920    -37.584909
   0.36947    -37.586469    -37.586458
   0.31669    -37.587946    -37.587934
   0.26390    -37.589297    -37.589285
   0.21112    -37.590471    -37.590460
   0.15834    -37.591432    -37.591421
   0.10556    -37.592142    -37.592131
   0.05278    -37.592577    -37.592566
   0.00000    -37.592725    -37.592713
 
# Band-Index    5
   0.00000    -18.480232    -18.480224
   0.05278    -18.479379    -18.479371
   0.10556    -18.476853    -18.476845
   0.15834    -18.472755    -18.472747
   0.21112    -18.467240    -18.467232
   0.26390    -18.460545    -18.460537
   0.31669    -18.452998    -18.452990
   0.36947    -18.445195    -18.445187
   0.42225    -18.440267    -18.440261
   0.47503    -18.453921    -18.453916
   0.52781    -18.474356    -18.474351
   0.58059    -18.492818    -18.492813
   0.63337    -18.507877    -18.507872
   0.68615    -18.518863    -18.518858
   0.73893    -18.525395    -18.525390
   0.79171    -18.527324    -18.527319
   0.84449    -18.524807    -18.524802
   0.89727    -18.518392    -18.518387
   0.95006    -18.509543    -18.509538
   1.00284    -18.503872    -18.503866
   1.00284    -18.503872    -18.503866
   1.05855    -18.511069    -18.511063
   1.11427    -18.524390    -18.524385
   1.16998    -18.538053    -18.538048
   1.22570    -18.550619    -18.550614
   1.28141    -18.561486    -18.561481
   1.33713    -18.570289    -18.570284
   1.39284    -18.576756    -18.576751
   1.44856    -18.580715    -18.580710
   1.50427    -18.582043    -18.582038
   1.50427    -18.582043    -18.582038
   1.55855    -18.579431    -18.579426
   1.61283    -18.571677    -18.571672
   1.66711    -18.559051    -18.559046
   1.72139    -18.541956    -18.541951
   1.77567    -18.520998    -18.520993
   1.82995    -18.496941    -18.496936
   1.88423    -18.470826    -18.470821
   1.93851    -18.445677    -18.445672
   1.99279    -18.443401    -18.443393
   2.04707    -18.451402    -18.451394
   2.10135    -18.459364    -18.459356
   2.15563    -18.466448    -18.466440
   2.20991    -18.472295    -18.472287
   2.26419    -18.476644    -18.476636
   2.31846    -18.479326    -18.479318
   2.37274    -18.480232    -18.480224
   2.37274    -18.480232    -18.480224
   2.42678    -18.479551    -18.479543
   2.48082    -18.477525    -18.477517
   2.53486    -18.474207    -18.474199
   2.58889    -18.469687    -18.469679
   2.64293    -18.464098    -18.464090
   2.69697    -18.457617    -18.457609
   2.75100    -18.450524    -18.450516
   2.80504    -18.443508    -18.443500
   2.85908    -18.445252    -18.445247
   2.91311    -18.467262    -18.467257
   2.96715    -18.490602    -18.490597
   3.02119    -18.512539    -18.512534
   3.07523    -18.532265    -18.532260
   3.12926    -18.549183    -18.549178
   3.18330    -18.562833    -18.562828
   3.23734    -18.572853    -18.572848
   3.29137    -18.578955    -18.578950
   3.34541    -18.580996    -18.580991
   3.34541    -18.580996    -18.580991
   3.40113    -18.579680    -18.579675
   3.45684    -18.575757    -18.575752
   3.51256    -18.569321    -18.569316
   3.56827    -18.560568    -18.560563
   3.62399    -18.549766    -18.549761
   3.67971    -18.537286    -18.537281
   3.73542    -18.523716    -18.523711
   3.79114    -18.510497    -18.510491
   3.84685    -18.503371    -18.503366
   3.84685    -18.503371    -18.503365
   3.89963    -18.508958    -18.508952
   3.95241    -18.517707    -18.517702
   4.00519    -18.524056    -18.524051
   4.05798    -18.526518    -18.526513
   4.11076    -18.524546    -18.524541
   4.16354    -18.518000    -18.517995
   4.21632    -18.507016    -18.507011
   4.26910    -18.491980    -18.491975
   4.32188    -18.473574    -18.473569
   4.37466    -18.453314    -18.453309
   4.42744    -18.441680    -18.441673
   4.48022    -18.447886    -18.447879
   4.53300    -18.456185    -18.456177
   4.58578    -18.464115    -18.464107
   4.63856    -18.471133    -18.471125
   4.69134    -18.476912    -18.476904
   4.74412    -18.481208    -18.481200
   4.79690    -18.483848    -18.483840
   4.84968    -18.484738    -18.484730
   4.84968    -18.484738    -18.484730
   4.91226    -18.484526    -18.484518
   4.97483    -18.483901    -18.483893
   5.03740    -18.482987    -18.482979
   5.09998    -18.481986    -18.481978
   5.16255    -18.481087    -18.481079
   5.22512    -18.480462    -18.480454
   5.28770    -18.480232    -18.480224
   5.28770    -18.564356    -18.564351
   5.34174    -18.562358    -18.562353
   5.39577    -18.556385    -18.556380
   5.44981    -18.546581    -18.546576
   5.50385    -18.533238    -18.533233
   5.55789    -18.516714    -18.516709
   5.61193    -18.497463    -18.497458
   5.66596    -18.476066    -18.476061
   5.72000    -18.453322    -18.453318
   5.77404    -18.436081    -18.436074
   5.82808    -18.442181    -18.442173
   5.88212    -18.449848    -18.449840
   5.93616    -18.457146    -18.457138
   5.99019    -18.463755    -18.463747
   6.04423    -18.469452    -18.469444
   6.09827    -18.474065    -18.474057
   6.15231    -18.477459    -18.477451
   6.20635    -18.479534    -18.479527
   6.26038    -18.480232    -18.480224
   6.26038    -18.480232    -18.480224
   6.31466    -18.479307    -18.479299
   6.36894    -18.476566    -18.476558
   6.42322    -18.472120    -18.472112
   6.47751    -18.466138    -18.466130
   6.53179    -18.458867    -18.458860
   6.58607    -18.450602    -18.450594
   6.64035    -18.441756    -18.441748
   6.69463    -18.434730    -18.434723
   6.74891    -18.456286    -18.456282
   6.80319    -18.481810    -18.481806
   6.85747    -18.505279    -18.505275
   6.91175    -18.525727    -18.525723
   6.96603    -18.542418    -18.542413
   7.02031    -18.554753    -18.554748
   7.07459    -18.562333    -18.562329
   7.12887    -18.564887    -18.564883
 
# Band-Index    6
   7.12887    -18.384215    -18.384207
   7.07459    -18.385100    -18.385092
   7.02031    -18.387740    -18.387732
   6.96603    -18.392072    -18.392064
   6.91175    -18.397948    -18.397940
   6.85747    -18.405141    -18.405133
   6.80319    -18.413340    -18.413332
   6.74891    -18.422090    -18.422082
   6.69463    -18.425974    -18.425969
   6.64035    -18.401061    -18.401057
   6.58607    -18.374793    -18.374789
   6.53179    -18.350301    -18.350297
   6.47751    -18.328787    -18.328783
   6.42322    -18.311624    -18.311619
   6.36894    -18.301947    -18.301942
   6.31466    -18.299036    -18.299031
   6.26038    -18.298301    -18.298296
   6.26038    -18.298301    -18.298296
   6.20635    -18.298875    -18.298870
   6.15231    -18.300959    -18.300954
   6.09827    -18.307310    -18.307305
   6.04423    -18.320480    -18.320475
   5.99019    -18.337874    -18.337870
   5.93616    -18.358130    -18.358125
   5.88212    -18.380421    -18.380416
   5.82808    -18.403874    -18.403870
   5.77404    -18.426025    -18.426020
   5.72000    -18.424600    -18.424592
   5.66596    -18.416972    -18.416965
   5.61193    -18.409565    -18.409557
   5.55789    -18.402812    -18.402804
   5.50385    -18.396958    -18.396950
   5.44981    -18.392211    -18.392203
   5.39577    -18.388724    -18.388717
   5.34174    -18.386591    -18.386583
   5.28770    -18.385874    -18.385866
   5.28770    -18.298301    -18.298296
   5.22512    -18.298313    -18.298308
   5.16255    -18.298331    -18.298325
   5.09998    -18.298356    -18.298351
   5.03740    -18.298390    -18.298385
   4.97483    -18.298431    -18.298425
   4.91226    -18.298449    -18.298443
   4.84968    -18.298450    -18.298445
   4.84968    -18.298450    -18.298445
   4.79690    -18.300219    -18.300213
   4.74412    -18.306323    -18.306318
   4.69134    -18.317850    -18.317845
   4.63856    -18.334344    -18.334339
   4.58578    -18.354593    -18.354588
   4.53300    -18.377317    -18.377312
   4.48022    -18.401035    -18.401029
   4.42744    -18.422419    -18.422413
   4.37466    -18.424955    -18.424947
   4.32188    -18.417171    -18.417163
   4.26910    -18.409014    -18.409006
   4.21632    -18.401852    -18.401844
